id,ItemCode,N
20589,6001 001 03 0 0 025 0 a,A001-003-025
20590,6001 001 03 0 0 030 0 a,A001-003-030
20591,6001 001 03 0 0 038 0 a,A001-003-038
20592,6001 001 03 0 0 040 0 a,A001-003-040
20593,6001 001 03 0 0 050 0 a,A001-003-050
20594,6001 001 04 0 0 050 0 a,A001-004-050
20595,6001 001 05 0 0 020 0 a,A001-005-020
20596,6001 001 05 0 0 025 0 a,A001-005-025
20597,6001 001 05 0 0 030 0 a,A001-005-030
20598,6001 001 05 0 0 032 0 a,A001-005-032
20599,6001 001 05 0 0 038 0 a,A001-005-038
20600,6001 001 05 0 0 040 0 a,A001-005-040
20601,6001 001 05 0 0 050 0 a,A001-005-050
20602,6001 001 05 0 0 075 0 a,A001-005-075
20603,6001 001 05 0 0 100 0 a,A001-005-100
20604,6001 001 05 0 0 150 0 a,A001-005-150
20605,6001 001 06 0 0 015 0 a,A001-006-015
20606,6001 001 06 0 0 016 0 a,A001-006-016
20607,6001 001 06 0 0 020 0 a,A001-006-020
20608,6001 001 06 0 0 021 0 a,A001-006-021
20609,6001 001 06 0 0 025 0 a,A001-006-025
20610,6001 001 06 0 0 028 0 a,A001-006-028
20611,6001 001 06 0 0 030 0 a,A001-006-030
20612,6001 001 06 0 0 032 0 a,A001-006-032
20613,6001 001 06 0 0 040 0 a,A001-006-040
20614,6001 001 06 0 0 050 0 a,A001-006-050
20615,6001 001 06 0 0 060 0 a,A001-006-060
20616,6001 001 06 0 0 063 0 a,A001-006-063
20617,6001 001 06 0 0 075 0 a,A001-006-075
20618,6001 001 06 0 0 100 0 a,A001-006-100
20619,6001 001 06 0 0 125 0 a,A001-006-125
20620,6001 001 06 0 0 150 0 a,A001-006-150
20621,6001 001 06 0 0 200 0 a,A001-006-200
20622,6001 001 06 0 0 250 0 a,A001-006-250
20623,6001 001 06 0 0 300 0 a,A001-006-300
20624,6001 001 08 0 0 020 0 a,A001-008-020
20625,6001 001 08 0 0 025 0 a,A001-008-025
20626,6001 001 08 0 0 032 0 a,A001-008-032
20627,6001 001 08 0 0 040 0 a,A001-008-040
20628,6001 001 08 0 0 050 0 a,A001-008-050
20629,6001 001 08 0 0 063 0 a,A001-008-063
20630,6001 001 08 0 0 075 0 a,A001-008-075
20631,6001 001 08 0 0 100 0 a,A001-008-100
20632,6001 001 08 0 0 125 0 a,A001-008-125
20633,6001 001 08 0 0 150 0 a,A001-008-150
20634,6001 001 08 0 0 250 0 a,A001-008-250
20635,6001 001 08 0 0 300 0 a,A001-008-300
20636,6001 001 09 0 0 025 0 a,A001-009-025
20637,6001 001 10 0 0 025 0 a,A001-010-025
20638,6001 001 10 0 0 032 0 a,A001-010-032
20639,6001 001 10 0 0 035 0 a,A001-010-035
20640,6001 001 10 0 0 040 0 a,A001-010-040
20641,6001 001 10 0 0 050 0 a,A001-010-050
20642,6001 001 10 0 0 060 0 a,A001-010-060
20643,6001 001 10 0 0 065 0 a,A001-010-065
20644,6001 001 10 0 0 075 0 a,A001-010-075
20645,6001 001 10 0 0 100 0 a,A001-010-100
20646,6001 001 10 0 0 125 0 a,A001-010-125
20647,6001 001 10 0 0 150 0 a,A001-010-150
20648,6001 001 10 0 0 200 0 a,A001-010-200
20649,6001 001 10 0 0 250 0 a,A001-010-250
20650,6001 001 10 0 0 300 0 a,A001-010-300
20651,6001 001 12 0 0 025 0 a,A001-012-025
20652,6001 001 12 0 0 032 0 a,A001-012-032
20653,6001 001 12 0 0 038 0 a,A001-012-038
20654,6001 001 12 0 0 040 0 a,A001-012-040
20655,6001 001 12 0 0 045 0 a,A001-012-045
20656,6001 001 12 0 0 050 0 a,A001-012-050
20657,6001 001 12 0 0 063 0 a,A001-012-063
20658,6001 001 12 0 0 065 0 a,A001-012-065
20659,6001 001 12 0 0 075 0 a,A001-012-075
20660,6001 001 12 0 0 100 0 a,A001-012-100
20661,6001 001 12 0 0 125 0 a,A001-012-125
20662,6001 001 12 0 0 150 0 a,A001-012-150
20663,6001 001 12 0 0 175 0 a,A001-012-175
20664,6001 001 12 0 0 200 0 a,A001-012-200
20665,6001 001 12 0 0 250 0 a,A001-012-250
20666,6001 001 12 0 0 300 0 a,A001-012-300
20667,6001 001 14 0 0 025 0 a,A001-014-025
20668,6001 001 14 0 0 040 0 0,A001-014-040
20669,6001 001 14 0 0 050 0 a,A001-014-050
20670,6001 001 14 0 0 065 0 a,A001-014-065
20671,6001 001 14 0 0 075 0 a,A001-014-075
20672,6001 001 14 0 0 100 0 a,A001-014-100
20673,6001 001 14 0 0 125 0 a,A001-014-125
20674,6001 001 14 0 0 150 0 a,A001-014-150
20675,6001 001 14 0 0 175 0 a,A001-014-175
20676,6001 001 14 0 0 200 0 a,A001-014-200
20677,6001 001 16 0 0 030 0 a,A001-016-030
20678,6001 001 16 0 0 040 0 a,A001-016-040
20679,6001 001 16 0 0 050 0 a,A001-016-050
20680,6001 001 16 0 0 063 0 a,A001-016-063
20681,6001 001 16 0 0 065 0 a,A001-016-065
20682,6001 001 16 0 0 075 0 a,A001-016-075
20683,6001 001 16 0 0 100 0 a,A001-016-100
20684,6001 001 16 0 0 125 0 a,A001-016-125
20685,6001 001 16 0 0 150 0 a,A001-016-150
20686,6001 001 16 0 0 200 0 a,A001-016-200
20687,6001 001 16 0 0 250 0 a,A001-016-250
20688,6001 001 16 0 0 300 0 a,A001-016-300
20689,6001 001 16 0 0 350 0 a,A001-016-350
20690,6001 001 18 0 0 040 0 0,A001-018-040
20691,6001 001 18 0 0 050 0 a,A001-018-050
20692,6001 001 18 0 0 075 0 0,A001-018-075
20693,6001 001 18 0 0 100 0 0,A001-018-100
20694,6001 001 18 0 0 125 0 0,A001-018-125
20695,6001 001 18 0 0 250 0 a,A001-018-250
20696,6001 001 18 0 0 300 0 0,A001-018-250
20697,6001 001 20 0 0 025 0 a,A001-020-025
20698,6001 001 20 0 0 040 0 a,A001-020-040
20699,6001 001 20 0 0 050 0 a,A001-020-050
20700,6001 001 20 0 0 060 0 a,A001-020-060
20701,6001 001 20 0 0 065 0 a,A001-020-065
20702,6001 001 20 0 0 075 0 a,A001-020-075
20703,6001 001 20 0 0 100 0 a,A001-020-100
20704,6001 001 20 0 0 125 0 a,A001-020-125
20705,6001 001 20 0 0 150 0 a,A001-020-150
20706,6001 001 20 0 0 200 0 a,A001-020-200
20707,6001 001 20 0 0 250 0 a,A001-020-250
20708,6001 001 20 0 0 300 0 a,A001-020-300
20709,6001 001 20 0 0 350 0 a,A001-020-350
20710,6001 001 22 0 0 040 0 a,A001-022-040
20711,6001 001 22 0 0 050 0 a,A001-022-050
20712,6001 001 22 0 0 100 0 a,A001-022-100
20713,6001 001 22 0 0 175 0 a,A001-022-175
20714,6001 001 22 0 0 255 0 a,A001-022-255
20715,6001 001 23 0 0 040 0 a,A001-023-040
20716,6001 001 24 0 0 040 0 a,A001-024-040
20717,6001 001 25 0 0 040 0 a,A001-025-040
20718,6001 001 25 0 0 050 0 a,A001-025-050
20719,6001 001 25 0 0 065 0 a,A001-025-065
20720,6001 001 25 0 0 075 0 a,A001-025-075
20721,6001 001 25 0 0 100 0 a,A001-025-100
20722,6001 001 25 0 0 125 0 a,A001-025-125
20723,6001 001 25 0 0 150 0 a,A001-025-150
20724,6001 001 25 0 0 200 0 a,A001-025-200
20725,6001 001 25 0 0 250 0 a,A001-025-250
20726,6001 001 27 0 0 040 0 a,A001-027-040
20727,6001 001 27 0 0 255 0 a,A001-027-255
20728,6001 001 29 0 0 040 0 a,A001-029-040
20729,6001 001 32 0 0 016 0 a,A001-032-016
20730,6001 001 32 0 0 020 0 a,A001-032-020
20731,6001 001 32 0 0 032 0 a,A001-032-032
20732,6001 001 32 0 0 050 0 a,A001-032-050
20733,6001 001 32 0 0 075 0 a,A001-032-075
20734,6001 001 34 0 0 075 0 a,A001-034-075
20735,6001 001 35 0 0 075 0 a,A001-035-075
20736,6001 001 38 0 0 076 0 a,A001-038-075
20737,6001 001 39 0 0 075 0 a,A001-039-075
20738,6001 001 40 0 0 050 0 a,A001-040-050
20739,6001 001 40 0 0 065 0 a,A001-040-065
20740,6001 001 40 0 0 075 0 a,A001-040-075
20741,6001 001 44 0 0 075 0 a,A001-044-075
20742,6001 001 50 0 0 025 0 a,A001-050-025
20743,6001 001 50 0 0 028 0 a,A001-050-028
20744,6001 001 56 0 0 075 0 a,A001-056-075
20745,6001 001 59 0 0 075 0 a,A001-059-075
20746,6001 001 63 0 0 075 0 a,A001-063-075
20747,6001 001 76 0 0 075 0 a,A001-076-075
20748,6001 001 77 0 0 075 0 a,A001-077-075
20749,6001 001 80 0 0 030 0 a,A001-080-030
20750,6001 001 90 0 0 150 0 a,A001-090-150
20751,6001 002 03 0 0 025 0 a,A002-003-025
20752,6001 002 03 0 0 030 0 a,A002-003-030
20753,6001 002 03 0 0 038 0 a,A002-003-038
20754,6001 002 04 0 0 050 0 a,A002-004-050
20755,6001 002 05 0 0 025 0 a,A002-005-025
20756,6001 002 05 0 0 030 0 a,A002-005-030
20757,6001 002 05 0 0 032 0 a,A002-005-032
20758,6001 002 05 0 0 038 0 a,A002-005-038
20759,6001 002 05 0 0 040 0 a,A002-005-040
20760,6001 002 05 0 0 050 0 a,A002-005-050
20761,6001 002 06 0 0 021 0 a,A002-006-021
20762,6001 002 06 0 0 025 0 a,A002-006-025
20763,6001 002 06 0 0 028 0 a,A002-006-028
20764,6001 002 06 0 0 030 0 a,A002-006-030
20765,6001 002 06 0 0 032 0 a,A002-006-032
20766,6001 002 06 0 0 040 0 a,A002-006-040
20767,6001 002 06 0 0 050 0 a,A002-006-050
20768,6001 002 06 0 0 060 0 a,A002-006-060
20769,6001 002 06 0 0 063 0 a,A002-006-063
20770,6001 002 06 0 0 075 0 a,A002-006-075
20771,6001 002 06 0 0 100 0 a,A002-006-100
20772,6001 002 06 0 0 125 0 a,A002-006-125
20773,6001 002 06 0 0 150 0 a,A002-006-150
20774,6001 002 06 0 0 250 0 a,A002-006-250
20775,6001 002 06 0 0 300 0 a,A002-006-300
20776,6001 002 08 0 0 025 0 a,A002-008-025
20777,6001 002 08 0 0 032 0 a,A002-008-032
20778,6001 002 08 0 0 040 0 a,A002-008-040
20779,6001 002 08 0 0 050 0 a,A002-008-050
20780,6001 002 08 0 0 065 0 a,A002-008-065
20781,6001 002 08 0 0 075 0 a,A002-008-075
20782,6001 002 08 0 0 100 0 a,A002-008-100
20783,6001 002 08 0 0 125 0 a,A002-008-125
20784,6001 002 08 0 0 150 0 a,A002-008-150
20785,6001 002 08 0 0 250 0 a,A002-008-250
20786,6001 002 08 0 0 300 0 a,A002-008-300
20787,6001 002 10 0 0 025 0 a,A002-010-025
20788,6001 002 10 0 0 032 0 a,A002-010-032
20789,6001 002 10 0 0 040 0 a,A002-010-040
20790,6001 002 10 0 0 050 0 a,A002-010-050
20791,6001 002 10 0 0 065 0 a,A002-010-065
20792,6001 002 10 0 0 075 0 a,A002-010-075
20793,6001 002 10 0 0 100 0 a,A002-010-100
20794,6001 002 10 0 0 125 0 a,A002-010-125
20795,6001 002 10 0 0 150 0 a,A002-010-150
20796,6001 002 10 0 0 200 0 a,A002-010-200
20797,6001 002 10 0 0 250 0 a,A002-010-250
20798,6001 002 10 0 0 300 0 a,A002-010-300
20799,6001 002 12 0 0 025 0 a,A002-012-025
20800,6001 002 12 0 0 032 0 a,A002-012-032
20801,6001 002 12 0 0 038 0 a,A002-012-038
20802,6001 002 12 0 0 040 0 a,A002-012-040
20803,6001 002 12 0 0 045 0 a,A002-012-045
20804,6001 002 12 0 0 050 0 a,A002-012-050
20805,6001 002 12 0 0 065 0 a,A002-012-065
20806,6001 002 12 0 0 075 0 a,A002-012-075
20807,6001 002 12 0 0 100 0 a,A002-012-100
20808,6001 002 12 0 0 125 0 a,A002-012-125
20809,6001 002 12 0 0 150 0 a,A002-012-150
20810,6001 002 12 0 0 200 0 a,A002-012-200
20811,6001 002 12 0 0 250 0 a,A002-012-250
20812,6001 002 12 0 0 300 0 a,A002-012-300
20813,6001 002 16 0 0 040 0 a,A002-016-040
20814,6001 002 16 0 0 050 0 a,A002-016-050
20815,6001 002 16 0 0 065 0 a,A002-016-065
20816,6001 002 16 0 0 075 0 a,A002-016-075
20817,6001 002 16 0 0 100 0 a,A002-016-100
20818,6001 002 16 0 0 125 0 a,A002-016-125
20819,6001 002 16 0 0 150 0 a,A002-016-150
20820,6001 002 16 0 0 200 0 a,A002-016-200
20821,6001 002 16 0 0 250 0 a,A002-016-250
20822,6001 002 16 0 0 300 0 a,A002-016-300
20823,6001 002 20 0 0 040 0 a,A002-020-040
20824,6001 002 20 0 0 050 0 a,A002-020-050
20825,6001 002 20 0 0 065 0 a,A002-020-065
20826,6001 002 20 0 0 075 0 a,A002-020-075
20827,6001 002 20 0 0 100 0 a,A002-020-100
20828,6001 002 20 0 0 125 0 a,A002-020-125
20829,6001 002 20 0 0 150 0 a,A002-020-150
20830,6001 002 20 0 0 200 0 a,A002-020-200
20831,6001 002 20 0 0 250 0 a,A002-020-250
20832,6001 002 25 0 0 040 0 a,A002-025-040
20833,6001 002 25 0 0 050 0 a,A002-025-050
20834,6001 002 25 0 0 065 0 a,A002-025-065
20835,6001 002 25 0 0 075 0 a,A002-025-075
20836,6001 002 25 0 0 100 0 a,A002-025-100
20837,6001 002 25 0 0 125 0 a,A002-025-125
20838,6001 002 25 0 0 150 0 a,A002-025-150
20839,6001 002 25 0 0 200 0 a,A002-025-200
20840,6001 002 25 0 0 250 0 a,A002-025-250
20841,6001 002 32 0 0 075 0 a,A002-032-075
20842,6001 002 32 0 0 100 0 a,A002-032-100
20843,6001 002 40 0 0 075 0 a,A002-040-075
20844,6001 002 80 0 0 038 0 a,A002-080-038
20845,6001 003 05 0 0 025 0 a,A003-005-025
20846,6001 003 10 0 0 032 0 a,A003-010-032
20847,6001 003 10 0 0 100 0 a,A003-010-100
20848,6001 003 12 0 0 032 0 a,A003-012-032
20849,6001 003 12 0 0 075 0 a,A003-012-075
20850,6001 003 16 0 0 050 0 a,A003-016-050
20851,6001 003 20 0 0 050 0 a,A003-020-050
20852,6001 003 25 0 0 040 0 a,A003-025-040
20853,6001 017 12 0 0 063 0 a,A004-012-063
20854,6001 017 60 0 0 025 0 a,A004-060-025
20855,6001 004 05 0 0 025 0 a,A005-005-025
20856,6001 004 10 0 0 032 0 a,A005-010-032
20857,6001 004 10 0 0 100 0 a,A005-010-100
20858,6001 004 12 0 0 032 0 a,A005-012-032
20859,6001 004 12 0 0 075 0 a,A005-012-075
20860,6001 004 16 0 0 050 0 a,A005-016-050
20861,6001 004 20 0 0 050 0 a,A005-020-050
20862,6001 004 25 0 0 040 0 a,A005-025-040
20863,6001 004 60 0 0 025 0 0,A005-060-025
20864,6001 005 05 0 0 025 0 a,A006-005-025
20865,6001 005 10 0 0 032 0 a,A006-010-032
20866,6001 005 10 0 0 100 0 a,A006-010-100
20867,6001 005 12 0 0 032 0 a,A006-012-032
20868,6001 005 12 0 0 075 0 a,A006-012-075
20869,6001 005 16 0 0 050 0 a,A006-016-050
20870,6001 005 20 0 0 050 0 a,A006-020-050
20871,6001 005 25 0 0 040 0 a,A006-025-040
20872,6001 005 30 0 0 040 0 a,A006-030-040
20873,6001 006 05 0 0 025 0 a,A007-005-025
20874,6001 006 10 0 0 032 0 a,A007-010-032
20875,6001 006 10 0 0 100 0 a,A007-010-100
20876,6001 006 12 0 0 032 0 a,A007-012-032
20877,6001 006 12 0 0 075 0 a,A007-012-075
20878,6001 006 16 0 0 050 0 a,A007-016-050
20879,6001 006 20 0 0 050 0 a,A007-020-050
20880,6001 006 25 0 0 040 0 a,A007-025-040
20881,6001 007 05 0 0 025 0 a,A008-005-025
20882,6001 007 06 0 0 050 0 a,A008-006-050
20883,6001 007 10 0 0 032 0 a,A008-010-032
20884,6001 007 10 0 0 100 0 a,A008-010-100
20885,6001 007 12 0 0 032 0 a,A008-012-032
20886,6001 007 12 0 0 075 0 a,A008-012-075
20887,6001 007 16 0 0 050 0 a,A008-016-050
20888,6001 007 20 0 0 050 0 a,A008-020-050
20889,6001 007 25 0 0 040 0 a,A008-025-040
20890,6001 008 05 0 0 025 0 a,A009-005-025
20891,6001 008 09 0 0 038 0 a,A009-009-038
20892,6001 008 10 0 0 032 0 a,A009-010-032
20893,6001 008 10 0 0 060 0 a,A009-010-060
20894,6001 008 10 0 0 100 0 a,A009-010-100
20895,6001 008 12 0 0 032 0 a,A009-012-032
20896,6001 008 12 0 0 075 0 a,A009-012-075
20897,6001 008 15 0 0 030 0 a,A009-015-030
20898,6001 008 16 0 0 050 0 a,A009-016-050
20899,6001 008 18 0 0 100 0 a,A009-018-100
20900,6001 008 19 0 0 075 0 a,A009-019-075
20901,6001 008 19 0 0 100 0 a,A009-019-100
20902,6001 008 20 0 0 050 0 a,A009-020-050
20903,6001 008 20 0 0 060 0 a,A009-020-060
20904,6001 008 20 0 0 080 0 a,A009-020-080
20905,6001 008 22 0 0 100 0 a,A009-022-100
20906,6001 008 25 0 0 040 0 a,A009-025-040
20907,6001 008 25 0 0 100 0 a,A009-025-100
20908,6001 008 50 0 0 030 0 a,A009-050-030
20909,6001 008 50 0 0 065 0 a,A009-050-065
20910,6001 009 05 0 0 025 0 a,A010-005-025
20911,6001 009 05 0 0 055 0 a,A010-005-055
20912,6001 009 05 0 0 065 0 a,A010-005-065
20913,6001 009 08 0 0 025 0 0,A010-008-025
20914,6001 009 08 0 0 030 0 0,A010-008-030
20915,6001 009 08 0 0 045 0 a,A010-008-045
20916,6001 009 08 0 0 050 0 a,A010-008-050
20917,6001 009 10 0 0 032 0 a,A010-010-032
20918,6001 009 10 0 0 040 0 a,A010-010-040
20919,6001 009 10 0 0 050 0 a,A010-010-050
20920,6001 009 10 0 0 075 0 a,A010-010-075
20921,6001 009 10 0 0 080 0 a,A010-010-080
20922,6001 009 10 0 0 100 0 a,A010-010-100
20923,6001 009 12 0 0 020 0 a,A010-012-020
20924,6001 009 12 0 0 025 0 a,A010-012-025
20925,6001 009 12 0 0 030 0 a,A010-012-030
20926,6001 009 12 0 0 032 0 a,A010-012-032
20927,6001 009 12 0 0 045 0 a,A010-012-045
20928,6001 009 12 0 0 050 0 a,A010-012-050
20929,6001 009 12 0 0 060 0 a,A010-012-060
20930,6001 009 12 0 0 075 0 a,A010-012-075
20931,6001 009 12 0 0 080 0 a,A010-012-080
20932,6001 009 12 0 0 090 0 a,A010-012-090
20933,6001 009 12 0 0 100 0 a,A010-012-100
20934,6001 009 14 0 0 020 0 a,A010-014-020
20935,6001 009 16 0 0 050 0 a,A010-016-050
20936,6001 009 16 0 0 060 0 a,A010-016-060
20937,6001 009 16 0 0 075 0 a,A010-016-075
20938,6001 009 19 0 0 019 0 a,A010-019-019
20939,6001 009 20 0 0 020 0 a,A010-020-020
20940,6001 009 20 0 0 038 0 a,A010-020-038
20941,6001 009 20 0 0 040 0 a,A010-020-040
20942,6001 009 20 0 0 050 0 a,A010-020-050
20943,6001 009 20 0 0 075 0 a,A010-020-075
20944,6001 009 22 0 0 080 0 a,A010-022-080
20945,6001 009 25 0 0 038 0 a,A010-025-038
20946,6001 009 25 0 0 040 0 a,A010-025-040
20947,6001 009 25 0 0 070 0 a,A010-025-070
20948,6001 009 25 0 0 080 0 a,A010-025-080
20949,6001 009 30 0 0 130 0 a,A010-030-130
20950,6001 009 36 0 0 063 0 a,A010-036-063
20951,6001 009 38 0 0 063 0 a,A010-038-063
20952,6001 010 05 0 0 025 0 a,A011-005-025
20953,6001 010 12 0 0 075 0 a,A011-012-075
20954,6001 011 05 0 0 025 0 a,A012-005-025
20955,6001 011 05 0 0 030 0 a,A012-005-030
20956,6001 011 05 0 0 050 0 a,A012-005-050
20957,6001 011 05 0 0 060 0 a,A012-005-060
20958,6001 011 05 0 0 075 0 a,A012-005-075
20959,6001 011 06 0 0 050 0 a,A012-006-050
20960,6001 011 06 0 0 060 0 a,A012-006-060
20961,6001 011 08 0 0 040 0 a,A012-008-040
20962,6001 011 08 0 0 100 0 a,A012-008-100
20963,6001 011 10 0 0 032 0 a,A012-010-032
20964,6001 011 10 0 0 040 0 a,A012-010-040
20965,6001 011 10 0 0 050 0 a,A012-010-050
20966,6001 011 10 0 0 075 0 a,A012-010-075
20967,6001 011 10 0 0 100 0 a,A012-010-100
20968,6001 011 15 0 0 200 0 a,A012-015-200
20969,6001 011 20 0 0 025 0 a,A012-020-025
20970,6001 011 20 0 0 030 0 a,A012-020-030
20971,6001 011 20 0 0 050 0 a,A012-020-050
20972,6001 011 20 0 0 055 0 a,A012-020-055
20973,6001 011 20 0 0 120 0 a,A012-020-120
20974,6001 011 25 0 0 040 0 a,A012-025-040
20975,6001 011 25 0 0 050 0 a,A012-025-050
20976,6001 011 25 0 0 060 0 a,A012-025-060
20977,6001 011 25 0 0 070 0 a,A012-025-070
20978,6001 011 25 0 0 075 0 a,A012-025-075
20979,6001 011 25 0 0 080 0 a,A012-025-080
20980,6001 011 25 0 0 100 0 a,A012-025-100
20981,6001 011 30 0 0 040 0 a,A012-030-040
20982,6001 011 30 0 0 070 0 a,A012-030-070
20983,6001 011 32 0 0 050 0 a,A012-032-050
20984,6001 011 40 0 0 055 0 a,A012-040-055
20985,6001 011 60 0 0 100 0 a,A012-060-100
20986,6001 015 03 0 0 025 0 a,A013-003-025
20987,6001 015 03 0 0 030 0 a,A013-003-030
20988,6001 015 03 0 0 038 0 a,A013-003-038
20989,6001 015 05 0 0 025 0 a,A013-005-025
20990,6001 015 05 0 0 030 0 a,A013-005-030
20991,6001 015 05 0 0 032 0 a,A013-005-032
20992,6001 015 05 0 0 038 0 a,A013-005-038
20993,6001 015 05 0 0 040 0 a,A013-005-040
20994,6001 015 05 0 0 050 0 a,A013-005-050
20995,6001 015 06 0 0 021 0 a,A013-006-021
20996,6001 015 06 0 0 025 0 a,A013-006-025
20997,6001 015 06 0 0 028 0 a,A013-006-028
20998,6001 015 06 0 0 030 0 a,A013-006-030
20999,6001 015 06 0 0 032 0 a,A013-006-032
21000,6001 015 06 0 0 040 0 a,A013-006-040
21001,6001 015 06 0 0 050 0 a,A013-006-050
21002,6001 015 06 0 0 063 0 a,A013-006-063
21003,6001 015 06 0 0 075 0 a,A013-006-075
21004,6001 015 06 0 0 100 0 a,A013-006-100
21005,6001 015 06 0 0 125 0 a,A013-006-125
21006,6001 015 06 0 0 150 0 a,A013-006-150
21007,6001 015 06 0 0 250 0 a,A013-006-250
21008,6001 015 06 0 0 300 0 a,A013-006-300
21009,6001 015 08 0 0 020 0 a,A013-008-020
21010,6001 015 08 0 0 025 0 a,A013-008-025
21011,6001 015 08 0 0 032 0 a,A013-008-032
21012,6001 015 08 0 0 040 0 a,A013-008-040
21013,6001 015 08 0 0 050 0 a,A013-008-050
21014,6001 015 08 0 0 075 0 a,A013-008-075
21015,6001 015 08 0 0 100 0 a,A013-008-100
21016,6001 015 08 0 0 125 0 a,A013-008-125
21017,6001 015 08 0 0 150 0 a,A013-008-150
21018,6001 015 08 0 0 250 0 a,A013-008-250
