id,ItemCode,Rate,Discount
37947,6791 015 00 0 0 023 0 0,75.75,0
37948,6791 015 00 0 0 023 0 0,55,0
37949,6791 015 00 0 0 023 0 0,80,0
37950,6791 015 00 0 0 023 0 0,85,0
37951,6791 015 00 0 0 023 0 0,70,0
37952,6791 015 00 0 0 023 0 0,80.00,0
37953,6791 015 00 0 0 023 0 0,90.00,0
37954,6791 015 00 0 0 023 0 0,90,0
37955,6791 015 00 0 0 023 0 0,105.00,0
37956,6791 015 00 0 0 025 0 0,139,0.00
37957,6791 015 00 0 0 025 0 0,142,0.00
37958,6791 015 00 0 0 025 0 0,142.25,0
37959,6791 015 00 0 0 025 0 0,139,0
37960,6791 015 00 0 0 025 0 0,160,0
37961,6791 015 00 0 0 025 0 0,120,0
37962,6791 015 00 0 0 025 0 0,125,0
37963,6791 015 00 0 0 025 0 0,205,0
37964,6791 015 00 0 0 025 0 0,130,0
37965,6791 015 00 0 0 025 0 0,108,0
37966,6791 015 00 0 0 025 0 0,135,0
37967,6791 015 00 0 0 025 0 0,108.00,0
37968,6791 015 00 0 0 025 0 0,135.00,0
37969,6791 015 00 0 0 025 0 0,150,0
37970,6791 015 00 0 0 025 0 0,155,0
37971,6791 015 00 0 0 026 0 0,124.50,0
37972,6791 015 00 0 0 026 0 0,124.5,0
37973,6791 015 00 0 0 026 0 0,129,0
37974,6791 015 00 0 0 026 0 0,190,0
37975,6791 015 00 0 0 026 0 0,90,0
37976,6791 015 00 0 0 026 0 0,135,0
37977,6791 015 00 0 0 026 0 0,135.00,0
37978,6791 015 00 0 0 026 0 0,160.00,0
37979,6791 015 00 0 0 027 0 0,144.50,0.00
37980,6791 015 00 0 0 027 0 0,142.25,0
37981,6791 015 00 0 0 027 0 0,110,0.00
37982,6791 015 00 0 0 027 0 0,144.50,0
37983,6791 015 00 0 0 027 0 0,110,0
37984,6791 015 00 0 0 027 0 0,200,0
37985,6791 015 00 0 0 027 0 0,120,0
37986,6791 015 00 0 0 027 0 0,215,0
37987,6791 015 00 0 0 027 0 0,125,0
37988,6791 015 00 0 0 027 0 0,108,0
37989,6791 015 00 0 0 027 0 0,135,0
37990,6791 015 00 0 0 027 0 0,135.00,0
37991,6791 015 00 0 0 027 0 0,145,0
37992,6791 015 00 0 0 027 0 0,145.00,0
37993,6791 015 00 0 0 027 0 0,150,0
37994,6791 015 00 0 0 027 0 0,108.00,0
