Id,Name
1,Overhead Monorail System
2,Manipulator & Gripper
3,BIW Welding Fixture
4,Hoist
6,Inspection Fixtures
7,Assembly Fixtures
8,Slat Conveyor
9,Chain Conveyor Skid Type
10,Skid Conveyor
11,Gravity Conveyor
12,Roller Conveyor
13,Stub roller Conveyor
14,Power & Free Conveyor
15,Belt Conveyor
16,Flex link Conveyor
17,Lift & Carry System
18,Pick & Place Gantry System
20,Electrified Monorail System(EMS)
21,Jib Cranes
22,CNG Gas/Plasma/Laser Cutting Machine
23,Spot Welding Guns
24,System Integration
25,Robotic Integration
26,Inversion Systems
27,Automated Feeding Machines
28,Scissor Lifts
