Id,CustomerName,Address,GST,DCNo,DCDate,Attention,Contact,Responsible_By,Type,ItemCode,Description,HSN,Quantity,Rate,Amount,TQty,TAmt,Gst_per,GTotal,Remark,Transport,vehicleNo,LRNo,Acknowledgement,UOM,SysDate,SysTime,SessionId,CompId,FinYearId,GrandTotal,GSTWORDS
1,SAI ENTERPRIZES,GUJARWADI,27AABCT2018B8ZR,518,22-11-2019,-,9898989898,KONDE,ORIGINAL,650-25-66,SPACER,-,95,5.0,475.0,95.0,475.0,18.0,560.5,-,ANIKET JADHAV,-,-,Received material in good condition,,,,,,,,
2,K.K. HEAT TREATMENT,NARHE,-,519,22-11-2019,-,0000000000,SHUBHANGI KHAWADGAVE,ORIGINAL,00660-01-02,HOUSING,-,2,1.0,2.0,2.0,2.0,0.0,2.0,-,-,-,-,Received material in good condition,,,,,,,,
3,sai enterprises ,gujarwadi,,520,23-11-2019,-,0000000000,SHUBHANGI KHAWADGAVE,ORIGINAL,651-05-01,SHAFT,&nbsp;,2,1.0,2.0,26.0,26.0,0.0,0.0,FOR BLACHODISING,BOLERO,-,-,Received material in good condition,,,,,,,,
4,sai enterprises ,gujarwadi,,520,23-11-2019,-,0000000000,SHUBHANGI KHAWADGAVE,ORIGINAL,651-03-02,SHAFT,&nbsp;,2,1.0,2.0,26.0,26.0,0.0,0.0,FOR BLACHODISING,BOLERO,-,-,Received material in good condition,,,,,,,,
5,sai enterprises ,gujarwadi,,520,23-11-2019,-,0000000000,SHUBHANGI KHAWADGAVE,ORIGINAL,650-25-12,PIN,&nbsp;,5,1.0,5.0,26.0,26.0,0.0,0.0,FOR BLACHODISING,BOLERO,-,-,Received material in good condition,,,,,,,,
6,sai enterprises ,gujarwadi,,520,23-11-2019,-,0000000000,SHUBHANGI KHAWADGAVE,ORIGINAL,650-05-01,SHAFT,&nbsp;,17,1.0,17.0,26.0,26.0,0.0,0.0,FOR BLACHODISING,BOLERO,-,-,Received material in good condition,,,,,,,,
7,AMIT KEY WAY,"DALVI NAGAR, NANDED PHATA,
PUNE 41",-,521,24-11-2019,MR  AMIT,9921871187,SHUBHANGI KHAWADGAVE,Returnable,H001-003-016,SOC HD SCREW - IS 2269 - GRADE 12.9 - M3X16,7876,66,4.0,264.0,72.0,270.0,0.0,0.0,FOR KEY WAY ,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
8,AMIT KEY WAY,"DALVI NAGAR, NANDED PHATA,
PUNE 41",-,521,24-11-2019,MR  AMIT,9921871187,SHUBHANGI KHAWADGAVE,Returnable,00649-03-91, ROLLER WHEEL,-,6,1.0,6.0,72.0,270.0,0.0,0.0,FOR KEY WAY ,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
9,KAILASH VAHAN UDYOG LIMITED,"Village Dhanore, Alandi Markal Road, Tal: Khed, Pune-412105",-,524,24-11-2019,MR AMBEKAR,9850312525,MR SWPNIL PATIL,Non-Returnable,Q090-006-014,WAGO MAKE TERMINAL FOR 2.5 SQ MM PART NO -280-101,-,20,5.0,100.0,24.0,180.0,0.0,180.0,FOR SITE WORK,BY HAND MR SWPNIL PATIL,BY HAND,NA,Received material in good condition,,,,,,,,
10,KAILASH VAHAN UDYOG LIMITED,"Village Dhanore, Alandi Markal Road, Tal: Khed, Pune-412105",-,524,24-11-2019,MR AMBEKAR,9850312525,MR SWPNIL PATIL,Non-Returnable,Q044-016-005,CONNECT-WELL MAKE CONDUIT GLAND FOR CPS16B CAT NO. TNC-P16B.,-,4,20.0,80.0,24.0,180.0,0.0,180.0,FOR SITE WORK,BY HAND MR SWPNIL PATIL,BY HAND,NA,Received material in good condition,,,,,,,,
11,RELIANCE CALIBRATION LAB,"SR NO 21/7, GOKUL NAGAR, NARHE,
OFF SINHAGAD ROAD, PUNE 411041",-,525,25-11-2019,MR PATIL,9422715640,MR MADAN KUMBHAR,Returnable,0,INSPECTION INSTRUMENTS AS PER LIST ATTACHED,0,45,1.0,45.0,45.0,45.0,0.0,45.0,FOR CALIBRATION,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
12,SIDDHANT ENGINEERING,"SHREE SAI INDL ESTATE, JADHAV NAGAR, GUJARWADI ROAD, KATRAJ, PUNE 411046",-,526,25-11-2019,MR MAHINDRA MAHADIK,9011250275,SHUBHANGI KHAWADGAVE,Returnable,00650-15-880,TAPER ROLLER,0,80,1.0,80.0,80.0,80.0,0.0,80.0,FOR CNC MACHNING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
13,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-07-710,PLATE,-,4,1.0,4.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
14,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00650-27-110,PIN,-,10,1.0,10.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
15,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-43-480,L BKT,-,2,1.0,2.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
16,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-43-480,L BKT,-,2,1.0,2.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
17,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-33-480,L BKT,-,2,1.0,2.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
18,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-55-480,L BKT,-,2,1.0,2.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
19,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00650-25-890,GIUDE ROD,-,10,1.0,10.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
20,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-53-420,CLAMP MYLER,-,2,1.0,2.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
21,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,&nbsp;,&nbsp;,&nbsp;,0,0.0,0.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
22,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-53-710,PLATE,-,2,1.0,2.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
23,SAI ENTERPRISES,"GUJARWADI PHATA, KATRAJ, PUNE 411043",-,527,25-11-2019,MR AKSHAY BHOSARE,9850798888,AMAR BARGE,Returnable,00652-07-480,L BKT,-,2,1.0,2.0,38.0,38.0,0.0,38.0,FOR BLACHODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
24,NIRMAL ENTERPRISES,"SR NO 41 KOLEWADI, NIPANE MALA, NEAR JAMBULWADI, PUNE 411041",-,528,25-11-2019,MR NANA POMAN,9422032284,AMAR BARGE,Returnable,00650-15-880,TAPER ROLLER,-,106,1.0,106.0,106.0,106.0,0.0,106.0,FOR CNC MACHNING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
25,PATIL ENTERPRISES,"GANPATI MATHA, DANGAT PATIL INDUSTRIAL ESTATE, SHIVNE,
PUNE 411041",-,522,24-11-2019,MR PATIL,8421873630,SHUBHANGI KHAWADGAVE,,00650-07-01,ROLLER ASSY DRIVE,-,2,1.0,2.0,54.0,54.0,0.0,54.0,FOR GRINDING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
26,PATIL ENTERPRISES,"GANPATI MATHA, DANGAT PATIL INDUSTRIAL ESTATE, SHIVNE,
PUNE 411041",-,522,24-11-2019,MR PATIL,8421873630,SHUBHANGI KHAWADGAVE,,00650-05-010,ROLLER ASSEMBLY IDLER,-,52,1.0,52.0,54.0,54.0,0.0,54.0,FOR GRINDING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
27,GLORIOUS ENTERPRISES,"GANESH NAGAR, TALAWADE, PUNE ",-,523,24-11-2019,MR VINOD SURVE,9823444812,MR MADAN KUMBHAR,Returnable,00650-05-010,ROLLER ASSEMBLY IDLER,0,1,700.0,700.0,1.0,700.0,0.0,700.0,FOR TESTING,BY HAND MR SURVE,BY HAND,NA,Received material in good condition,,,,,,,,
33,KAILASH VAHAN UDYOG LIMITED,"Village Dhanore, Alandi Markal Road, Tal: Khed, Pune-412105",-,529,25-11-2019,Swapnil patil,8888970562,Amit shedge,Returnable,Q123-003-000,"ALTOS MAKE BARREL TYPE INDICATOR(LED) DIA - 8 MM, OPERATING VTG- 24VDC,COLOUR- GREEN",-,10,50.0,500.0,10.0,500.0,0.0,500.0,For On Site Work,BY HAND MR SWPNIL PATIL,BY HAND,NA,Received material in good condition,,,,,,,,
34,RAJAN ENGINEERING WORKS,"s.no. 131, Barganimala, Near Laxmimangal karyalay,Dhayri, Pune 411041",-,530,26-11-2019,harichchand,9561263215,SHUBHANGI KHAWADGAVE,Returnable,00650-25-110,PIN,-,110,12.0,1320.0,110.0,1320.0,0.0,1320.0,FOR DRILLING,SELF,By hand Chawghule sir,-,Received material in good condition,,,,,,,,
35,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00563-01-030,POST DRIVE SIDE,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
36,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00652-43-310,L BKT,0,4,1.0,4.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
37,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00547-52-050,SPACER,0,4,1.0,4.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
38,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-03-490,L BKT 2,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
39,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-05-480,L BKT,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
40,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-03-500,L BKT 3,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
41,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-07-490,L BKT 2,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
42,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-07-510,L BKT 4,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
43,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-03-480,L BKT 1,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
44,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-25-890,GIUDE ROD,0,10,1.0,10.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
45,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00652-23-580,WELDMENT BKT,0,4,1.0,4.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
46,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-05-610,Z BKT,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
47,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-07-480,L BKT 1,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
48,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,531,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00662-05-410,CLAMP MYLER,0,1,1.0,1.0,32.0,32.0,0.0,32.0,FOR BLACKODISING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
49,NIRMAL INDUSTRIES,"AT POST KOLEWADI, NEAR JAMBULWADI PUNE 411041",-,532,27-11-2019,MR NANA POMAN,9422032284,AMAR BARGE,Returnable,00650-25-010,ROLLER,0,64,1.0,64.0,64.0,64.0,0.0,64.0,FOR CNC MACHNING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
50,NIRMAL INDUSTRIES,"AT POST KOLEWADI, NEAR JAMBULWADI PUNE 411041",-,533,27-11-2019,MR NANA POMAN,9422032284,AMAR BARGE,Returnable,00652-41-010,ROLLER,0,64,1.0,64.0,64.0,64.0,0.0,110.0,FOR CNC MACHNING,SELF,MH 12 EF 5483,NA,Received material in good condition,,,,,,,,
51,"SHREE ENGINEERING, Katraj","Survey No 120, Santosh Nagar,Katraj, Pune 411046",-,534,27-11-2019,Mr. Ameya Gharpure,9822255721,SHUBHANGI KHAWADGAVE,Returnable,00650-25-010,ROLLER,0,110,1.0,110.0,110.0,110.0,0.0,110.0,FOR CNC MACHNING,BY HAND MR AMEYA GHARPURE,BY HAND,NA,Received material in good condition,,,,,,,,
52,"GLORIOUS ENTERPRISES,GANESH NAGAR,TALAWADE",-,-,535,27-11-2019,VINOD SURVE,9823444812,AMAR BARGE,Returnable,00650-05-010,ROLLER ASSEMBLY IDLER,-,1,1.0,1.0,1.0,1.0,0.0,0.0,FOR SAMPLE,Self,BY HAND AMAR BARGE,-,Received material in good condition,,,,,,,,
53,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00641-05-150,SPROCKET,0,1,1.0,1.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
54,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00641-05-140,SPROCKET,0,1,1.0,1.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
55,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00663-03-410,CLAMP MYLER,0,2,1.0,2.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
56,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00663-07-490,L BRACKET 2,0,2,1.0,2.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
57,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00651-03-050,SPROCKET,0,8,1.0,8.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
58,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-05-010,ROLLER ASSEMBLY IDLER,0,55,1.0,55.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
59,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00563-11-030,PIN 1,0,1,1.0,1.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
