No,DCNo,ItemCode,Description,HSN,Quantity,Rate,Amount,UOM
1,1800,-,GI TREY FOR PU DUNNAGE 40 MM,0,140,1.0,140.0,NOS
2,1800,-,GI TREY FOR PU DUNNAGE 50 MM,0,320,1.0,320.0,NOS
3,1800,-,emty theener drum (20 ltr),0,2,1.0,2.0,NOS
4,1800,-,emty theener drum (20 ltr),0,2,1.0,2.0,NOS
5,1801,-,THEENER DRUM EMTY ,0,2,1.0,2.0,NOS
6,1802,-,c trap forbrush,0,20,1.0,20.0,NOS
7,1802,-,PAINT 1024   (40 LTR),,2,1.0,2.0,NOS
8,1802,-,self threding screw,,80,1.0,80.0,NOS
9,1803,-,32*16 flat796,0,50,1.0,50.0,NOS
10,1803,-,32*16flat 371,0,50,1.0,50.0,NOS
11,1803,-,32*16 flab 376,0,50,1.0,50.0,NOS
12,1803,-,32*16 flab 370,0,150,1.0,150.0,NOS
13,1803,-,32*16 flat 769,0,50,1.0,50.0,NOS
14,1803,-,32*16 flat371,0,50,1.0,50.0,NOS
15,1803,-,32*16 flat376,0,50,1.0,50.0,NOS
16,1803,-,100*6 flat,0,50,1.0,50.0,NOS
17,1804,-,100*6 flat 286,0,50,1.0,50.0,NOS
18,1804,-,100*6 flat 1137,0,150,1.0,150.0,NOS
19,1804,-,32*16 flat 796,0,50,1.0,50.0,NOS
20,1804,-,32*16 flat371,0,50,1.0,50.0,NOS
21,1804,-,32*16 flat 376,0,50,1.0,50.0,NOS
22,1804,-,32*16 flat 370,0,150,1.0,150.0,NOS
23,1804,-,32*16 flat 1558,0,150,1.0,150.0,NOS
33,1805,-,MS FLAT 100 X 6 X 1137 MM,0,120,1.0,120.0,NOS
34,1805,-,MS FLAT 100 X 6 X 286 MM,0,3,1.0,3.0,NOS
35,1806,-,MS FLAT 32*16 786,0,50,1.0,50.0,NOS
36,1807,-,MS FLAT 32*16 786,0,50,1.0,50.0,NOS
37,1807,-,ms flat 100*6  1137,0,120,1.0,120.0,NOS
38,1807,-,body side tencin 1 set,0,1,1.0,1.0,NOS
39,1808,-,GAS SPRING,0,4,1.0,4.0,NOS
40,1809,-,ms flat32*16 371,0,40,1.0,40.0,NOS
41,1809,-,ms flat32*16 376,0,40,1.0,40.0,NOS
42,1809,-,ms flat 32*16 370 ,0,120,1.0,120.0,NOS
43,1809,-,ms flat 100*6 286,0,40,1.0,40.0,NOS
44,1809,-,ms flat 100*6  1137,0,10,1.0,10.0,NOS
45,1809,-,ms flat 30*10 96,0,16,1.0,16.0,NOS
46,1810,00791-03-03,SHAFT,0,32,1.0,32.0,NOS
47,1811,,00819-07-18,0,2,1.0,2.0,NOS
48,1811,,00819-11-02,,2,1.0,2.0,NOS
49,1811,,00819-09-03,,3,1.0,3.0,NOS
50,1811,,00819-00-03,,2,1.0,2.0,NOS
51,1812,00819-19-05,00819-19-05,0,2,1.0,2.0,NOS
52,1812,00819-07-08,00819-07-08,0,4,1.0,4.0,NOS
53,1812,00815-09-90,00815-09-90,0,2,1.0,2.0,NOS
54,1812,00816-19-01,00816-19-01,0,2,1.0,2.0,NOS
55,1813,00817-15-89,00817-15-89,0,3,1.0,3.0,NOS
56,1813,00817-03-89,00817-03-89,0,3,1.0,3.0,NOS
57,1813,00817-05-89,00817-05-89,0,3,1.0,3.0,NOS
58,1814,00816-09-01,00816-09-01,0,2,1.0,2.0,NOS
59,1814,00817-09-90,00817-09-90,0,2,1.0,2.0,NOS
60,1814,00791-03-09,00791-03-09,0,32,1.0,32.0,NOS
61,1815,-,ms flat 32*16 1558 mm,0,65,1.0,65.0,NOS
62,1815,-,ms flat 32*16 376 mm,0,15,1.0,15.0,NOS
63,1815,-,ms flat 32*16 796 mm,0,50,1.0,50.0,NOS
64,1816,00791-01-96,plate,0,1,1.0,1.0,NOS
65,1817,00816-13-88,SHAFT,0,1,1.0,1.0,NOS
66,1817,00815-09-90,SHAFT,0,2,1.0,2.0,NOS
67,1817,00816-09-01,SHAFT,0,2,1.0,2.0,NOS
68,1817,00816-19-01,SHAFT,0,2,1.0,2.0,NOS
69,1817,00815-07-11,SHAFT,0,2,1.0,2.0,NOS
70,1817,00817-05-89,SHAFT,0,3,1.0,3.0,NOS
71,1817,00817-03-89,SHAFT,0,3,1.0,3.0,NOS
72,1818,-,Container Modn Body side RH 6JM809606,0,1,1.0,1.0,NOS
73,1819,-,ms flat 100*6  1137,0,30,1.0,30.0,NOS
74,1821,-,MS FLAT 32*16 410 MM,0,82,1.0,82.0,NOS
83,1822,-,MS FLAT 32*16 300 MR,0,60,1.0,60.0,MTR
85,1823,-,MS FLAT 100*6   1 MTR,,37,1.0,37.0,MTR
86,1823,-,ms flat 100*6   3 mtr,0,10,1.0,10.0,MTR
87,1810,0778-26-02,PIN,0,8,1.0,8.0,NOS
88,1824,-,chain  (3mtr),0,1,1.0,1.0,NOS
89,1826,-,40*10 metal gi insert,0,12,1.0,12.0,NOS
90,1827,-,40*10 metal gi insert,0,12,1.0,12.0,NOS
91,1828,-,white dunnage,0,1,1.0,1.0,NOS
92,1829,008-28-04,location pin,0,24,1.0,24.0,NOS
93,1829,00791-03-03,SHAFT,0,32,1.0,32.0,NOS
94,1829,00778-25-02,pin,0,8,1.0,8.0,NOS
95,1830,-,TAIL-GATE VW SUV,0,1,1.0,1.0,NOS
99,1831,00819-07-07,sprocket axis trolley,0,10,1.0,10.0,NOS
108,1832,-,ms flat 100*6 *286,0,10,1.0,10.0,NOS
109,1832,-,ms flat 32*16 *371,0,10,1.0,10.0,NOS
110,1832,-,ms flat32*16 *376,0,10,1.0,10.0,NOS
111,1832,-,ms flat 32*16*370,0,40,1.0,40.0,NOS
112,1832,-,ms flat 32*16*1558,0,150,1.0,150.0,NOS
113,1832,-,ms flat 32*16*786,0,50,1.0,50.0,NOS
114,1832,-,weldmest50*50*4,0,40,1.0,40.0,NOS
115,1832,-,ms flat 15*6,0,61,1.0,61.0,NOS
116,1833,00778-27-02,00778-27-02,0,16,1.0,16.0,NOS
117,1833,00778-28-16,00778-28-16,0,4,1.0,4.0,NOS
118,1834,-,SHAFT,0,14,1.0,14.0,NOS
119,1835,-,SHAFT,0,32,1.0,32.0,NOS
120,1836,-,SHAFT,0,6,1.0,6.0,NOS
131,1837,-,TOP DUNNAGE STRAIGHT RH,0,23,1.0,23.0,NOS
132,1837,-,TOP DUNNAGE  DEGREE RH,0,23,1.0,23.0,NOS
133,1837,-,TOP DUNNAGE DEGREE LH,0,24,1.0,24.0,NOS
134,1837,-,TOP DUNNAGE STRAIGHT LH,0,24,1.0,24.0,NOS
135,1837,-,BOTTOM DUNNAGE,0,76,1.0,76.0,NOS
136,1838,-,RIB,0,12,1.0,12.0,NOS
137,1839,-,LOCK NUT,0,1,1.0,1.0,NOS
138,1839,-,LOCK WASHER,0,1,1.0,1.0,NOS
139,1840,-,BAR 1MTR,0,20,1.0,20.0,MTR
140,1841,-,DRILL MACHINE,0,1,1.0,1.0,NOS
141,1841,-,GRINDER,0,1,1.0,1.0,NOS
142,1841,-,MEGARING TEP,0,1,1.0,1.0,NOS
143,1841,-,SPANNER 12-13,00,2,1.0,2.0,NOS
144,1841,-,"DRILL 8.5 ,5,6.8",0,3,1.0,3.0,NOS
146,1842,00819-05-04,00819-05-04,0,1,1.0,1.0,NOS
147,1842,00819-07-04,00819-07-04,0,1,1.0,1.0,NOS
148,1842,00819-05-05,00819-05-05,0,1,1.0,1.0,NOS
149,1842,00819-09-02,00819-09-02,0,6,1.0,6.0,NOS
150,1843,00791-04-14,00791-04-14,0,4,1.0,4.0,NOS
151,1844,00819-07-33,00819-07-33,0,2,1.0,2.0,NOS
152,1844,00819-07-37,00819-07-37,0,2,1.0,2.0,NOS
153,1845,-,MS FLAT 32*16*1560 MM,0,300,1.0,300.0,NOS
154,1846,-,ROLLER SHAFT (CONVEYOR),0,20,1.0,20.0,NOS
166,1847,-,HELMET,0,7,1.0,7.0,NOS
167,1847,-,FALE SHAILD,0,2,1.0,2.0,NOS
168,1847,-,JACKET,0,4,1.0,4.0,NOS
169,1847,-,EXTENSHION BOARD,0,2,1.0,2.0,NOS
170,1847,-,YELLOW TEP,0,1,1.0,1.0,NOS
171,1847,-,WIRE ROPE,0,2,1.0,2.0,NOS
172,1847,-,FERRULE TUBE,0,1,1.0,1.0,NOS
173,1847,-,PUNCHING MACHINE,0,1,1.0,1.0,NOS
174,1847,-,TORCH,0,1,1.0,1.0,NOS
175,1847,-,PRINTING TOOL,0,1,1.0,1.0,NOS
176,1847,-,SCREW DRIVER,0,1,1.0,1.0,NOS
177,1847,-,TOOL BOX,0,1,1.0,1.0,NOS
178,1847,-,LED HELEZON,0,1,1.0,1.0,NOS
179,1847,-,3 TOP IND,0,2,1.0,2.0,NOS
180,1847,-,1.5 SQ MM CABLE,0,1,1.0,1.0,NOS
181,1847,-,MULTIMETER,0,1,1.0,1.0,NOS
182,1847,-,1.5 GREEN WIRE,0,1,1.0,1.0,NOS
183,1847,-,FEVIQUE,0,1,1.0,1.0,NOS
184,1847,-,CHAIN PULLEY,0,1,1.0,1.0,NOS
185,1847,-,SEFTY BELT,0,4,1.0,4.0,NOS
186,1847,-,MS PLET ,0,2,1.0,2.0,NOS
187,1847,-,HARDWARE MATERIAL BOX + Trolley,0,1,1.0,1.0,NOS
188,1847,-,GRESS GUN,0,1,1.0,1.0,NOS
189,1847,-,MIX HARD WARE BOX,0,1,1.0,1.0,NOS
190,1847,-,FASNER,0,50,1.0,50.0,NOS
191,1847,-,RUBBER GOMIT,0,15,1.0,15.0,NOS
192,1847,-,HAMMER,0,1,1.0,1.0,NOS
193,1847,-,TOOOL BOX SPANNER MIX SET,0,1,1.0,1.0,NOS
194,1847,-,LODER,0,1,1.0,1.0,NOS
195,1847,-,LOCK,0,2,1.0,2.0,NOS
197,1848,-,M8*20 ALLEN BOLT,0,200,1.0,200.0,NOS
198,1848,-,M10*20 ALLEN BOLT,0,100,1.0,100.0,NOS
199,1848,-,PLAIN WASHER  M8,0,200,1.0,200.0,NOS
200,1848,-,PLAIN WASHER M10,0,150,1.0,150.0,NOS
201,1848,-,SPRING WASHER M8,0,200,1.0,200.0,NOS
202,1848,-,spring washer m10,0,150,1.0,150.0,NOS
203,1848,-,DRILL MATCHINE,0,1,1.0,1.0,NOS
