EnqId,SysDate,SysTime,SessionId,CompId,FinYearId,CustomerId,CustomerName,RegdAddress,RegdCountry,RegdState,RegdCity,RegdPinNo,RegdContactNo,RegdFaxNo,WorkAddress,WorkCountry,WorkState,WorkCity,WorkPinNo,WorkContactNo,WorkFaxNo,MaterialDelAddress,MaterialDelCountry,MaterialDelState,MaterialDelCity,MaterialDelPinNo,MaterialDelContactNo,MaterialDelFaxNo,ContactPerson,JuridictionCode,Commissionurate,TinVatNo,Email,EccNo,Divn,TinCstNo,ContactNo,Range,PanNo,TDSCode,Remark,EnquiryFor,Flag,POStatus
6,2013-04-02,5:20:00 PM,Sapl0005,1,1,T002,TATA MOTORS LTD ,MPLP PIMPRI PLANT,1,21,405,411018,-,-,MPLP PIMPRI PLANT,1,21,405,411018,-,-,MPLP PIMPRI PLANT,1,21,405,411018,-,-,-,-,-,27390247811V DT.01/04/08,asdfg@tatamotors.com,"PIMPRI - AACT2727QXM003, CHINCHWAD - AAACT2727QXM007",-,27390247811C DT.01/04/08,-,-,-,-,-,Air Hoist with Tackle for Door handling at Safari Weld Line at J Block,1,1
7,2013-04-03,11:15:30 AM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,,"3022-R302K/R302N--ROBO PEDASTAL 1 - 2EA, 3022-R302 J--ROBO PEDASTAL 2 - 1, 3710-R372F--ROBO PEDASTAL 3 - 1,",1,1
8,2013-04-03,2:06:34 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,,"RISER-(FR-101)FOR-A265201-4,
RISER-(FR-151)FOR-A265201-2,
RISER-(FR-201)FOR-A265201-2,
RISER-(FR-251)FOR-A265201-4,
RISER-(FR-401)FOR-A265201-5,
RISER-(FR-101)FOR-A265203-8,
RISER-(FR-151)FOR-A265203-5,
RISER-(FR-201)FOR-A265203-6,
RISER-(FR-251)FOR-A265203-5,
RISER-(FR-301)FOR-A265203-2,",1,1
9,2013-04-04,9:25:58 AM,Sapl0005,1,1,A015,ALF ENGINEERING PVT.LTD-UNIT-1 ,"PLOT NO. E-60/61/62,MIDC,AMBAD",1,21,402,422 010,2382034-2380103,2386820,"PLOT NO. E-60/61/62,MIDC,AMBAD",1,21,402,422 010,2382034-2380103,2386820,"PLOT NO. E-60/61/62,MIDC,AMBAD",1,21,402,422 010,2382034-2380103,2386820,Mr. Dinesh Raut,-,-,27180524522-V,alfnsk@dataone.in,AAFCA6242GXM002,-,27180524522-C,9325379844,-,-,-,-,"Reverce Phase Protector ( Code
No.8030001011000200 ) for Synergytech Hoist : 3,
Break Shoe Assembly ( Code
No.8030001010000200 ) for Synergytech Hoist : 2",1,1
10,2013-04-08,10:06:14 AM,Sapl0005,1,1,P003,PANSE AUTO COMPS PVT.LTD UNIT II ,"Gat No.198/200,Village Borhadewadi,Dehu - Alandi Road,Moshi",1,21,405,412114,-,-,"Gat No.198/200,Village Borhadewadi,Dehu - Alandi Road,Moshi",1,21,405,412114,-,-,"Gat No.198/200,Village Borhadewadi,Dehu - Alandi Road,Moshi",1,21,405,412114,-,-,Mr. Yogesh Shirsat,-,-,27420317004V w.e.f 01.04.2006,papl1.purchase@pansegroup.com,AABCPO249CXM002,-,27420317004C w.e.f 01.04.2006,9960937069,-,-,-,-,"Pvc trolley - 40nos,
Wire rope 8mm -50mtrs",1,1
11,2013-04-08,12:07:36 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,-,8120-01-32-BASE PLATE -1,1,1
12,2013-04-08,12:28:30 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,-,"RISER-(FR-101)FOR-A265202 - 2,
RISER-(FR-151)FOR-A265202 -12,
RISER-(FR-101)FOR-A265101 -1,
RISER-(FR-151)FOR-A265101 -4,
RISER-(FR-201)FOR-A265101 -2,
RISER-(FR-251)FOR-A265101 -4,
RISER-(FR-401)FOR-A265101 -3,
RISER-(FR-101)FOR-A265102 -5,
RISER-(FR-151)FOR-A265102 -2,
RISER-(FR-201)FOR-A265102 -2,
RISER-(FR-251)FOR-A265102-6,
RISER-(FR-301)FOR-A265102-2,
RISER-(FR-401)FOR-A265102-3",1,1
13,2013-04-08,2:20:52 PM,Sapl0005,1,1,C011,CUMMINS INDIA LTD.,"PLOT NO. B-2,PHALTAN SEZ INDUSTRIAL AREA,VILLAGE-NANDAL AND SURAWADI,TAL. PHALTAN,SATARA.",1,21,409,415523,+1 (877) 3774357,25632365,"PLOT NO. B-2,PHALTAN SEZ INDUSTRIAL AREA,VILLAGE-NANDAL AND SURAWADI,TAL. PHALTAN,SATARA.",1,21,409,415523,+1 (877) 3774357,25632365,"PLOT NO. B-2,PHALTAN SEZ INDUSTRIAL AREA,VILLAGE-NANDAL AND SURAWADI,TAL. PHALTAN,SATARA.",1,21,409,415523,+1 (877) 3774357,25632365,SANDIP BHADANE,-,-,27410344315V dated 1 April 2006,sandip.v.bhadane@cummins.com,-,-,27410344315C dated 1 April 2006,9922434636,-,-,-,-,SEZ Manipulator - 1EA,1,1
14,2013-04-09,9:57:50 AM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,-,"3024-05-21 R & L-L Bracket - 2,
## 3024-01-31L-Pad - 1,",1,1
15,2013-04-09,2:28:01 PM,Sapl0005,1,1,A002,ANUSAYA AUTO PRESS PARTS PVT LTD. ,"Gat No.288,Mahalunge, Talegaon - chakan Road, Tal:Khed",1,21,405,410501,021-259026,02135-259090,"Gat No.288,Mahalunge, Talegaon - chakan Road, Tal:Khed",1,21,405,410501,021-259026,02135-259090,"Gat No.288,Mahalunge, Talegaon - chakan Road, Tal:Khed",1,21,405,410501,021-259026,02135-259090,Mr. Santosh Pudake,-,-,27620410014V 01/04/2006,mail@domain.com,AACCA3246KXM001,-,27620410014C 01/04/2006,9881700821,-,-,-,-,"GUN RAIL-HOIST TROLLY FOR C63 - 5NOS.,
GUN RAIL-LONG C63 WITH ALL FITTING ACCESSORIES - 20MTR",1,1
