POId,SysDate,SysTime,SessionId,CompId,FinYearId,CustomerId,QuotationNo,PONo,PODate,POReceivedDate,VendorCode,PaymentTerms,PF,VAT,Excise,Octroi,Warrenty,Insurance,Transport,NoteNo,RegistrationNo,Freight,Remarks,CST,Validity,OtherCharges,FileName,FileSize,ContentType,FileData,EnqId
11,2013-04-04,9:41:39 AM,Sapl0005,1,1,,,9000025349,2013-03-29,2013-03-30,S83470,90% against material receipt & acceptance & balance10%       within 60 days after commissioning .,,,12.36%,,,,,,,,- TESTING REDIRECT TO PO LIST,,,,,,,,6
12,2013-04-03,11:24:54 AM,Sapl0005,1,1,C002,9,10296871,2013-04-01,2013-04-02,809727,90 DAYS,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,30 DAYS,-,,,,,7
13,2013-04-03,2:24:29 PM,Sapl0005,1,1,C002,10,10297086,2013-04-03,2013-03-03,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,8
14,2013-04-04,9:37:49 AM,Sapl0005,1,1,A015,11,PO113000015,2013-04-03,2013-04-03,-,100% + 100% against delivery,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,9
15,2013-04-08,11:25:47 AM,Sapl0005,1,1,P003,12,7013000069,2013-04-04,2013-04-06,1001336,100% AGAINST DELIVERY,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,30 DAYS,-,,,,,10
16,2013-04-08,12:12:38 PM,Sapl0005,1,1,C002,13,10297282,2013-04-05,2013-04-05,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,2weeks,0,,,,,11
17,2013-04-08,12:43:00 PM,Sapl0005,1,1,C002,14,10297283,2013-04-05,2013-04-05,809727,90 DAYS,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,12
18,2013-06-19,3:04:37 PM,Sapl0005,1,1,C011,15,IND2448827,2013-03-28,2013-04-06,-,as per po,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,13
19,2013-04-09,10:13:49 AM,Sapl0005,1,1,C002,16,10295872,2013-03-21,2013-03-21,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,14
20,2013-04-09,2:35:16 PM,Sapl0005,1,1,A002,0,Con|2010|2|34,2013-04-09,2013-04-09,-,Emidiate,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,0,,,,,15
