Id,SessionId,CompId,FinYearId,ItemDesc,TotalQty,Rate,Discount,MId,Unit
19,Sapl0005,1,1,Air Hoist with Tackle for Door handling,4.0,144000.0,0.0,8,16
20,Sapl0005,1,1,3022-R302K/R302N--ROBO PEDASTAL 1,2.0,40500.0,0.0,9,1
21,Sapl0005,1,1,3022-R302 J--ROBO PEDASTAL 2,1.0,32000.0,0.0,9,1
22,Sapl0005,1,1,3710-R372F--ROBO PEDASTAL 3,1.0,29473.0,0.0,9,1
23,Sapl0005,1,1,RISER-(FR-101)FOR-A265201,4.0,925.0,0.0,10,1
24,Sapl0005,1,1,RISER-(FR-151)FOR-A265201,2.0,1030.0,0.0,10,1
25,Sapl0005,1,1,RISER-(FR-201)FOR-A265201,2.0,1240.0,0.0,10,1
26,Sapl0005,1,1,RISER-(FR-251)FOR-A265201,4.0,1370.0,0.0,10,1
27,Sapl0005,1,1,RISER-(FR-401)FOR-A265201,5.0,1880.0,0.0,10,1
28,Sapl0005,1,1,RISER-(FR-101)FOR-A265203,8.0,925.0,0.0,10,1
29,Sapl0005,1,1,RISER-(FR-151)FOR-A265203,5.0,1030.0,0.0,10,1
30,Sapl0005,1,1,RISER-(FR-201)FOR-A265203,6.0,1240.0,0.0,10,1
31,Sapl0005,1,1,RISER-(FR-251)FOR-A265203,5.0,1370.0,0.0,10,1
32,Sapl0005,1,1,RISER-(FR-301)FOR-A265203,2.0,1510.0,0.0,10,1
33,Sapl0005,1,1,"Reverce Phase Protector ( Code
No.8030001011000200 ) for Synergytech Hoist",3.0,1940.0,0.0,11,1
34,Sapl0005,1,1,"Break Shoe Assembly ( Code
No.8030001010000200 ) for Synergytech Hoist",2.0,5500.0,0.0,11,1
35,Sapl0005,1,1,PVC TROLLEYS,40.0,270.0,0.0,12,1
36,Sapl0005,1,1,Wire Rope of dia. 8mm,50.0,36.0,0.0,12,3
37,Sapl0005,1,1,RISER-(FR-101)FOR-A265202,2.0,925.0,0.0,14,1
38,Sapl0005,1,1,RISER-(FR-151)FOR-A265202,12.0,1030.0,0.0,14,1
39,Sapl0005,1,1,RISER-(FR-101)FOR-A265101,1.0,925.0,0.0,14,1
40,Sapl0005,1,1,RISER-(FR-151)FOR-A265101,4.0,1030.0,0.0,14,1
41,Sapl0005,1,1,RISER-(FR-201)FOR-A265101,2.0,1240.0,0.0,14,1
43,Sapl0005,1,1,RISER-(FR-401)FOR-A265101,3.0,1880.0,0.0,14,1
44,Sapl0005,1,1,RISER-(FR-101)FOR-A265102,5.0,925.0,0.0,14,1
45,Sapl0005,1,1,RISER-(FR-151)FOR-A265102,2.0,1030.0,0.0,14,1
46,Sapl0005,1,1,RISER-(FR-201)FOR-A265102,2.0,1240.0,0.0,14,1
48,Sapl0005,1,1,RISER-(FR-301)FOR-A265102,2.0,1510.0,0.0,14,1
49,Sapl0005,1,1,RISER-(FR-401)FOR-A265102,3.0,1880.0,0.0,14,1
50,Sapl0005,1,1,Long rail 3.5mtrs with its accessories -,20.0,30000.0,0.0,15,16
51,Sapl0005,1,1,"Cross rail 3 mtrs, With its accessories.",10.0,24000.0,0.0,15,16
52,Sapl0005,1,1,Hoist - 2 Ton Application - Engine Mounting station.,1.0,300000.0,0.0,15,16
53,Sapl0005,1,1,ontrol Panel Assembly Manipulator Weight carrying capacity - 40 to 80 Kg Mounted on KBK rail with telescopic arrangement. 360 degree rotation. Accessibility upto 4 meter from Genset side,1.0,250000.0,0.0,15,16
54,Sapl0005,1,1,Battery Manipulator Weight carrying from 40 to 45 kgs Mounted on KBK rail with telescopic arrangement. 360 degree rotation. Accessibility upto 4 meter from Genset side,1.0,250000.0,0.0,15,16
55,Sapl0005,1,1,"Hoist - 250 Kgs and its accessories Application - Air Cleaner, fan & Radiator Load display facility. Parts life details All Safety features.",3.0,125000.0,0.0,15,16
56,Sapl0005,1,1,"Boom Assembly with trolley Applications -Air Cleaner, Fan 360 degree rotation facility. Maximum reach upto 4 m wrt genset side",3.0,150000.0,0.0,15,16
57,Sapl0005,1,1,Structure - ISMB 150 - 30 meters,4.0,50000.0,0.0,15,16
58,Sapl0005,1,1,Structure - Mounting Plate - 500 Kg per line,500.0,140.0,0.0,15,2
59,Sapl0005,1,1,Long rail 3.5mtrs with its accessories - of Kone or Knight or Demag make only. Section of 150 mm and point load carrying capacity should be 500 Kg Application- Engine & Alternator mounting Stn (or Single piece of 7 meters x 2),4.0,56250.0,0.0,15,16
60,Sapl0005,1,1,3024-05-21 R & L-L Bracket,2.0,689.0,0.0,16,1
61,Sapl0005,1,1,## 3024-01-31L-Pad,1.0,275.0,0.0,16,1
63,Sapl0005,1,4,service charges,1.0,12500.0,0.0,18,30
64,Sapl0005,1,6,Deburring Fixture forQSK23&60 connecting rod & cap,1.0,140000.0,0.0,19,1
65,Sapl0005,1,6,Deburring Fixture forQSK23&60 connecting rod & tool stand,1.0,175000.0,0.0,19,1
66,Sapl0005,1,6,Gantry for Pick & Place System,1.0,6640000.0,0.0,20,1
67,Sapl0005,1,6,SIMULATOR/ TEST BENCH DEVELOPMENT,1.0,3200000.0,0.0,21,1
68,Sapl0005,1,6,Chassis Line for Frame.,1.0,29623350.0,0.0,22,1
69,Sapl0005,1,6,Robotic Welding Machine.,1.0,6800000.0,0.0,23,1
70,Sapl0005,1,6,Manufacturing of Trolley.,1.0,119500.0,0.0,24,1
71,Sapl0005,1,6,Fabrication & Machining of Frame.,1.0,85000.0,0.0,25,1
72,Sapl0005,1,6,SLIDO Track C63S rail,6.0,2500.0,0.0,26,3
73,Sapl0005,1,6,Load Trolley,4.0,2000.0,0.0,26,1
74,Sapl0005,1,6,Slido Long Rail C63(12mtrs X 3nos. = 36mtrs),36.0,2520.0,0.0,27,3
