Id,SysDate,SysTime,SessionId,CompId,FinYearId,CustomerId,QuotationNo,PaymentTerms,PFType,PF,VATCST,Excise,OctroiType,Octroi,Warrenty,Insurance,Validity,OtherChargesType,otherCharges,Transport,NoteNo,RegistrationNo,FreightType,Freight,Remarks,DeliveryTerms,DueDate,Checked,CheckedBy,CheckedDate,CheckedTime,Approve,ApprovedBy,ApproveDate,ApproveTime,Authorize,AuthorizedBy,AuthorizeDate,AuthorizeTime,EnqId
8,2013-04-02,5:28:24 PM,Sapl0005,1,1,T002,0001,90% against material receipt & acceptance & balance10%       within 60 days after commissioning .,0,0.0,56,6,1,0.0,12 months from the date of commisioning or 18 months from the date of despatch,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,-,2013-05-30,1,Sapl0005,2013-04-02,5:29:46 PM,1,Sapl0005,2013-04-02,5:30:03 PM,1,Sapl0005,2013-04-02,5:30:20 PM,6
9,2013-04-03,11:20:05 AM,Sapl0005,1,1,C002,0002,90 DAYS,0,0.0,56,6,0,0.0,12 MONTHS,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,2 WEEKS,2013-04-03,1,Sapl0005,2013-04-03,11:20:34 AM,1,Sapl0005,2013-04-03,11:20:48 AM,1,Sapl0005,2013-04-03,11:20:58 AM,7
10,2013-04-03,2:15:34 PM,Sapl0005,1,1,C002,0003,90 days,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,within a week,2013-04-18,1,Sapl0005,2013-04-03,2:16:03 PM,1,Sapl0005,2013-04-03,2:16:20 PM,1,Sapl0005,2013-04-03,2:16:38 PM,8
11,2013-04-04,9:30:14 AM,Sapl0005,1,1,A015,0004,100% + 100% taxes against delivery,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,immediate,2013-04-09,1,Sapl0005,2013-04-04,9:30:54 AM,1,Sapl0005,2013-04-04,9:31:10 AM,1,Sapl0005,2013-04-04,9:31:22 AM,9
12,2013-04-08,11:20:34 AM,Sapl0005,1,1,P003,0005,100% AGAINST DELIVERY,1,3.0,56,6,0,0.0,12 MONTHS FROM DATE OF DISPATCH,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,IMMEDIATE,2013-04-10,1,Sapl0005,2013-04-08,11:20:58 AM,1,Sapl0005,2013-04-08,11:21:12 AM,1,Sapl0005,2013-04-08,11:21:26 AM,10
13,2013-04-08,12:09:26 PM,Sapl0005,1,1,C002,0006,90 days,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,2 weeks,2013-04-18,1,Sapl0005,2013-04-08,12:09:46 PM,1,Sapl0005,2013-04-08,12:09:57 PM,1,Sapl0005,2013-04-08,12:10:09 PM,11
14,2013-04-08,12:34:23 PM,Sapl0005,1,1,C002,0007,90 DAYS,0,0.0,56,6,0,0.0,12 MONTHS FROM DATE OF DISPATCH,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,1WEEK,2013-04-18,1,Sapl0005,2013-04-08,12:34:37 PM,1,Sapl0005,2013-04-08,12:34:47 PM,1,Sapl0005,2013-04-08,12:34:56 PM,12
15,2013-04-08,2:28:35 PM,Sapl0005,1,1,C011,0008,as per po,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,,immediate,2013-03-08,1,Sapl0005,2013-04-08,2:28:51 PM,1,Sapl0005,2013-04-08,2:29:00 PM,1,Sapl0005,2013-04-08,2:29:13 PM,13
16,2013-04-09,10:02:06 AM,Sapl0005,1,1,C002,0009,90 days,0,0.0,1,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,immediate,2013-04-11,1,Sapl0005,2013-04-09,10:02:26 AM,1,Sapl0005,2013-04-09,10:02:37 AM,1,Sapl0005,2013-04-09,10:02:49 AM,14
18,2017-03-31,2:31:43 PM,Sapl0005,1,4,M020,0001,Immediate On Receipt Of Matl,0,0.0,2,29,0,0.0,12 MONTHS FROM DATE OF DISPATCH.,0.0,30days,0,0.0,-,0,-,0,0.0,,within 1week,2017-04-30,1,Sapl0005,2017-03-31,4:13:17 PM,1,Sapl0005,2017-03-31,4:13:37 PM,1,Sapl0005,2017-03-31,4:13:47 PM,534
19,2018-06-15,9:49:57 AM,Sapl0005,1,6,C015,0001,"20% advance with PO, 70% +100% against dispatch & 10% against installation",0,0.0,1,33,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,by road,-,-,0,0.0,,Ex-works within 3-4 weeks from the date of receipt of your techno-commercial clear purchase order & advance payment.,2018-07-14,0,,,,0,,,,0,,,,598
20,2018-06-15,9:53:30 AM,Sapl0005,1,6,A002,0002,"40% Advance along with purchase order, 50% amount of order value + 100% taxes against delivery & balance 10% amount of order value after installation at your site.",1,3.0,95,32,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty,0.0,30 days from the date of offer,0,0.0,road,-,-,0,0.0,,"Ex-works within 6 to 8 weeks after Techno-commercial clear purchase order , Advance Payment.",2018-06-30,0,,,,0,,,,0,,,,599
21,2018-06-15,1:28:39 PM,Sapl0005,1,6,S032,0003,"50% advance with PO, 40% + 100% Taxes against PI before delivery of material at your site & balance 10% after delivery",1,3.0,95,32,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 8-10 weeks from the date of receipt of your techno-commercial clear Purchase Order & advance payment,2018-05-15,0,,,,0,,,,0,,,,600
22,2018-06-15,1:32:23 PM,Sapl0005,1,6,T002,0004,"50% advance with PO, 40% + 100% taxes against delivery & balance  10% after installation.",1,3.0,95,32,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 6 to 8 weeks from the date of receipt of your technocommercial clear purchase order & advance payment,2018-04-16,0,,,,0,,,,0,,,,601
23,2018-06-15,1:36:17 PM,Sapl0005,1,6,O003,0005,"30% advance with PO, 30% against DAP & 30% + 100% taxes against delivery & balance 10% after installation",1,3.0,95,33,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,3% of the order value,2018-05-15,0,,,,0,,,,0,,,,602
24,2018-06-15,1:41:09 PM,Sapl0005,1,6,M030,0006,"30% advance with PO, 30% against DAP & 30% + 100% taxes against delivery & balance 10% after installation",1,3.0,1,33,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4 weeks from the date of receipt of your technocommercial clear purchase order & advance payment,2018-05-18,0,,,,0,,,,0,,,,603
25,2018-06-15,1:44:54 PM,Sapl0005,1,6,P012,0007,100% + 100% taxes against delivery,1,3.0,95,32,0,0.0,12 months from the date of dispatch. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,7days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Immediate from the date of receipt of your techno-commercial clear purchase order,2018-05-28,0,,,,0,,,,0,,,,588
26,2018-06-15,1:47:19 PM,Sapl0005,1,6,T016,0008,100% + 100% Taxes against PI as advance before delivery of material at your site,0,0.0,94,31,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,7 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 2-3 days after receipt of your techno-commercial clear Purchase Order,2018-05-29,0,,,,0,,,,0,,,,587
27,2018-06-15,2:02:33 PM,Sapl0005,1,6,P012,0009,100% + 100% Taxes against PI as advance before delivery of material at your site.,0,0.0,94,31,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,7 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 1week after receipt of your techno-commercial clear Purchase Order.,2018-05-30,0,,,,0,,,,0,,,,590
28,2018-06-15,2:07:02 PM,Sapl0005,1,6,C004,0010,"20% advance with PO , 70% + 100% taxes after delivery & balance 10% against completion of installation.",0,0.0,95,37,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4- 6weeks from the date of receipt of your techno-commercial clear purchase order.,2018-05-22,0,,,,0,,,,0,,,,604
