Id,SysDate,SysTime,SessionId,CompId,FinYearId,DANo,WRNo,WRId,ItemId,IssuedQty,DispatchQty,FreightCharges,Vehicleby,OctroiCharges
2,2013-04-04,4:24:58 PM,Sapl0005,1,1,0001,0004,49,84,3.0,3.0,Customer,Self,Customer
3,2013-04-04,4:24:58 PM,Sapl0005,1,1,0001,0004,50,85,2.0,2.0,Customer,Self,Customer
4,2013-04-09,10:32:42 AM,Sapl0005,1,1,0002,0005,51,92,40.0,20.0,Self,Self,Self
5,2013-04-09,10:32:42 AM,Sapl0005,1,1,0002,0005,52,93,50.0,50.0,Self,Self,Self
6,2013-04-09,10:34:50 AM,Sapl0005,1,1,0003,0005,51,92,40.0,20.0,Self,Self,Self
10,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,54,95,2.0,2.0,Self,Self,Self
11,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,55,96,12.0,12.0,Self,Self,Self
12,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,56,97,1.0,1.0,Self,Self,Self
13,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,57,98,4.0,4.0,Self,Self,Self
14,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,58,99,2.0,2.0,Self,Self,Self
15,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,59,100,4.0,4.0,Self,Self,Self
16,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,61,102,5.0,5.0,Self,Self,Self
17,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,62,103,2.0,2.0,Self,Self,Self
18,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,63,104,2.0,2.0,Self,Self,Self
19,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,64,105,6.0,6.0,Self,Self,Self
20,2013-04-09,10:39:05 AM,Sapl0005,1,1,0005,0007,65,106,2.0,1.0,Self,Self,Self
21,2013-04-09,10:41:03 AM,Sapl0005,1,1,0006,0003,39,74,4.0,4.0,Self,Self,Self
22,2013-04-09,10:41:03 AM,Sapl0005,1,1,0006,0003,40,75,2.0,1.0,Self,Self,Self
