Id,MId,SessionId,CompId,FinYearId,ItemCode,Description,Qty
67,1,Sapl0005,1,1,10,Air Hoist with Tackle for Door handling,4.0
71,3,Sapl0005,1,1,501723862,3022-R302K/R302N--ROBO PEDASTAL 1,2.0
72,3,Sapl0005,1,1,501723862,3022-R302 J--ROBO PEDASTAL 2,1.0
73,3,Sapl0005,1,1,501723862,3710-R372F--ROBO PEDASTAL 3,1.0
74,4,Sapl0005,1,1,501722764,RISER-(FR-101)FOR-A265201,4.0
75,4,Sapl0005,1,1,501722764,RISER-(FR-151)FOR-A265201,2.0
76,4,Sapl0005,1,1,501722764,RISER-(FR-201)FOR-A265201,2.0
77,4,Sapl0005,1,1,501722764,RISER-(FR-251)FOR-A265201,4.0
78,4,Sapl0005,1,1,501722764,RISER-(FR-401)FOR-A265201,5.0
79,4,Sapl0005,1,1,501722764,RISER-(FR-101)FOR-A265203,8.0
80,4,Sapl0005,1,1,501722764,RISER-(FR-151)FOR-A265203,5.0
81,4,Sapl0005,1,1,501722764,RISER-(FR-201)FOR-A265203,6.0
82,4,Sapl0005,1,1,501722764,RISER-(FR-251)FOR-A265203,5.0
83,4,Sapl0005,1,1,501722764,RISER-(FR-301)FOR-A265203,2.0
84,5,Sapl0005,1,1,4817,Reverce Phase Protector (Code No.8030001011000200 ) for Synergytech Hoist,3.0
85,5,Sapl0005,1,1,4818,"Break Shoe Assembly ( Code
No.8030001010000200 ) for Synergytech Hoist",2.0
86,0,Sapl0005,1,1,0010,PVC TROLLEYS,40.0
87,0,Sapl0005,1,1,0020,Wire Rope of dia. 8mm,50.0
88,0,Sapl0005,1,1,0010,PVC TROLLEYS,40.0
89,0,Sapl0005,1,1,0020,Wire Rope of dia. 8mm,50.0
90,0,Sapl0005,1,1,0010,PVC TROLLEYS,40.0
91,0,Sapl0005,1,1,0020,Wire Rope of dia. 8mm,50.0
92,6,Sapl0005,1,1,0010,PVC TROLLEYS,40.0
93,6,Sapl0005,1,1,0020,Wire Rope of dia. 8mm,50.0
94,7,Sapl0005,1,1,501725350,8120-01-32-BASE PLATE,1.0
95,8,Sapl0005,1,1,501722752,RISER-(FR-101)FOR-A265202,2.0
96,8,Sapl0005,1,1,501722752,RISER-(FR-151)FOR-A265202,12.0
