SalesId,SysDate,SysTime,SessionId,CompId,FinYearId,EnqId,CustomerId,CustomerName,RegdAddress,RegdCountry,RegdState,RegdPinNo,RegdContactNo,RegdFaxNo,WorkAddress,WorkCountry,WorkState,WorkPinNo,WorkContactNo,WorkFaxNo,MaterialDelAddress,MaterialDelCountry,MaterialDelState,MaterialDelPinNo,MaterialDelContactNo,MaterialDelFaxNo,ContactPerson,JuridictionCode,Commissionurate,TinVatNo,Email,EccNo,Divn,TinCstNo,ContactNo,Range,PanNo,TDSCode,Remark,MaterialDelCity,RegdCity,WorkCity
1,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,T001,TATA  AUTOMATION  SOLUTION LIMITED,"TATA MOTORS CAMPUS 
CHINCHWAD",1,21,411033,91-20-4135651,91-20-4131998,"TATA MOTORS CAMPUS 
CHINCHWAD",1,21,411033,91-20-4135651,91-20-4131998,"TATA MOTORS CAMPUS 
CHINCHWAD",1,21,411033,91-20-4135651,91-20-4131998,MANDAR PHADKE,-,-,-,mandarphadke@tal.co.in,-,-,-,-,-,-,-,-,405,405,405
3,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A001,ABB LTD,"Khanijia Bhavan,2nd Floor East Wing 49,Racecourse Road",1,17,560001,080-22948358,-,"Khanijia Bhavan,2nd Floor East Wing 49,Racecourse Road",1,17,560001,080-22948358,-,"Khanijia Bhavan,2nd Floor East Wing 49,Racecourse Road",1,17,560001,-,-,Mr. Ganesh Venkates,-,-,29450069265,ganesh.m.venkatesan@in.abb.com,AAACA3834BXM018,-,00850019 DT21-07-1983,+918022948358,-,-,-,,293,293,293
4,2018-09-17,10:36:39 AM,Sapl0005,1,1,0,A002,ANUSAYA AUTO PRESS PARTS PVT LTD.,"Gat No.388,Mahalunge, Talegaon - chakan Road, Tal:Khed",1,21,410501,021-259026,02135-259090,"Gat No.388,Mahalunge, Talegaon - chakan Road, Tal:Khed",1,21,410501,021-259026,02135-259090,"Gat No.388,Mahalunge, Talegaon - chakan Road, Tal:Khed",1,21,410501,021-259026,02135-259090,Mr. Santosh Pudake,-,-,27620410014V 01/04/2006,mail@domain.com,AACCA3246KXM001,-,27AACCA3246K1ZP,9881700821,-,-,-,,405,405,405
5,2017-10-26,4:30:09 PM,Sapl0005,1,1,0,A003,AUTOCOMP CORPORATION PANSE PVT LTD ( UNIT - I ),"GAT NO.392/2 PO MAHALUNGE,TAL-KHED,TALEGAON-CHAKAN ROAD",1,21,410501,952135-259351 / 242,942135-259350,"GAT NO.392/2 PO MAHALUNGE,TAL-KHED,TALEGAON-CHAKAN ROAD",1,21,410501,952135-259351 / 242,942135-259350,"GAT NO.392/2 PO MAHALUNGE,TAL-KHED,TALEGAON-CHAKAN ROAD",1,21,410501,952135-259351 / 242,942135-259350,Mr. Yogesh Shirsat,-,-,27940527984 V w.e.f. 01.04.2005,rajeevgaikwad@rediffmail.com,AAFCA6224NXM001,Pune-III,27AAFCA6224N1ZG,-,Chakan,-,-,27940527984 c w.e.f. 01.04.2005,405,405,405
6,2020-10-28,9:35:25 AM,sapl0001,1,1,0,A004,AUTOLINE INDUSTRIES LTD,"GAT NO.291, NANEKARWADI,CHAKAN,PUNE- 410501, MAHARASHTRA,INDIA",1,21,410501,-,-,"GAT NO.291, NANEKARWADI,CHAKAN,PUNE- 410501, MAHARASHTRA,INDIA",1,21,410501,-,-,"GAT NO.291, NANEKARWADI,CHAKAN,PUNE- 410501, MAHARASHTRA,INDIA",1,21,410501,-,-,KASHINATH HIREMATH,-,-,27710410013V Dt 01/04/08,mail@domain.com,AABCA4534DXM002,PUNE - V,27AABCA4534D1Z4,-,CHAKAN,-,-,A,405,405,405
7,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A005,ABB LTD,"Neel Square,Plot No.8,Sanghvinagar,Near Parihar Chowk,Aundh",1,21,411007,91-20 66243838,91-20 66016255,"Neel Square,Plot No.8,Sanghvinagar,Near Parihar Chowk,Aundh",1,21,411007,91-20 66243838,91-20 66016255,"Neel Square,Plot No.8,Sanghvinagar,Near Parihar Chowk,Aundh",1,21,411007,91-20 66243838,91-20 66016255,Dhanaraj M,-,-,27770282813V,dhanaraj.m@in.abb.com,-,-,27770282813C,-,-,-,-,,405,405,405
8,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A006,ABB LTD,"Kashi kunj Building,Rd No -2,Contractors Area,Bistapur",1,16,831001,-,-,"Kashi kunj Building,Rd No -2,Contractors Area,Bistapur",1,16,831001,-,-,"Kashi kunj Building,Rd No -2,Contractors Area,Bistapur",1,16,831001,-,-,Mr. Dhanraj,-,-,20041405323,dhanaraj.m@in.abb.com,-,-,VK-4366(C),-,-,-,-,,673,673,673
9,2015-10-27,5:01:18 PM,Sapl0005,1,1,0,A007,AUTOMOTIVE STAMPING AND ASSEMBLIES LIMITED,"G-71/2,MIDC,BHOSARI",1,21,411 026,+91-20-6631 4300,+91-20-6631 4343,"G-71/2,MIDC,BHOSARI",1,21,411 026,+91-20-6631 4300,+91-20-6631 4343,"G-71/2,MIDC,BHOSARI",1,21,411 026,+91-20-6631 4300,+91-20-6631 4343,Mr. T.S.Rao,-,PUNE-II,27980410010V,ts.rao@autostampings.com,AAACJ2116MXM004,-,27980410010C,-,BHOSARI-III,AAACJ2116M,-,,405,405,405
10,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A008,ALF ENGINEERING PVT. LTD.,"E-60/61/62, H-25 & B 82/1,M.I.D.C,Ambad",1,21,422010,0253-2380103,2386820,"E-60/61/62, H-25 & B 82/1,M.I.D.C,Ambad",1,21,422010,0253-2380103,2386820,"E-60/61/62, H-25 & B 82/1,M.I.D.C,Ambad",1,21,422010,0253-2380103,2386820,Mr. Dinesh Raut,-,-,27180524522V,dineshraut@alfengineering.com,AAFCA6242GXM001,-,27180524522C,9325379844,-,-,-,,402,402,402
11,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A009,ARHAN TECHNOLOGIES PVT. LTD,HADAPSAR,1,21,-,-,-,HADAPSAR,1,21,-,-,-,HADAPSAR,1,21,-,-,-,ASHISH KALMEGH,-,-,-,a@arhantechnologies.com,-,-,-,9890289202,-,-,-,,405,405,405
