Id,ProformaInvNo,InvDate,PONo,Amount,Particular,WithinGroup,WONo,BG,PVEVNO,BillAgainst,MId
27,,,,6638.0,,,,,4,90,15
28,,,,17064.67,,,,,16,365,15
29,,,,6446.66,,,,,20,497,15
30,,,,34104.08,,,,,51,901,15
31,,,,15497.25,,,,,75,746,15
32,,,,6446.66,,,,,126,960,15
33,,,,18478.67,,,,,4,90,17
34,,,,6750.0,,,,,211,MGRC/002/13-14,19
35,,,,1123.6,,,,,212,GRC/032/13-14,19
36,,,,2868.75,,,,,610,WH/0671,20
37,,,,5850.0,,,,,1072,WH/1819,21
38,,,,36421.0,,,,,477,1314460,22
49,,,,63595.76,,,,,353,9930078887,36
52,,,,51480.0,,,,,595,AVS/23,38
53,,,,28812.0,,,,,574,133846116,44
54,,,,2447.28,,,,,106,1087,45
55,,,,46500.0,,,,,912,157,46
56,,,,44000.0,,,,,441,02,47
57,,,,43560.0,,,,,38,03,48
58,,,,43560.0,,,,,297,07,49
59,,,,43560.0,,,,,370,08,50
60,,,,43560.0,,,,,67,06,51
61,,,,4012.0,,,,,96,115,56
62,,,,4083.76,,,,,147,67,56
63,,,,10395.0,,,,,36,SS/06/13,60
64,,,,5940.0,,,,,158,SS-01/13,60
65,,,,10610.0,,,,,37,002,63
66,,,,3964.0,,,,,119,003,63
67,,,,8673.0,,,,,76,004,64
68,,,,5017.0,,,,,119,003,64
69,,,,10943.56,,,,,185,BOH/00066/2013,67
70,,,,14202.31,,,,,961,M 153,72
71,,,,10680.94,,,,,962,M 171,73
72,,,,25089.99,,,,,963,M 189,74
73,,,,7685.43,,,,,960,M 193,75
74,,,,4100.0,,,,,216,901,80
75,,,,3528.1,,,,,481,15094,89
76,,,,2865.18,,,,,478,P-006,90
77,,,,3286.53,,,,,479,15095,92
78,,,,693.0,,,,,413,502,96
79,,,,5544.0,,,,,713,478,96
80,,,,5544.0,,,,,838,504,96
81,,,,18711.0,,,,,839,503,96
82,,,,8815.0,,,,,840,534,96
83,,,,693.0,,,,,942,416,96
84,,,,662.0,,,,,515,30,102
85,,,,5197.0,,,,,630,29,102
86,,,,5400.0,,,,,182,154,109
87,,,,5500.0,,,,,1136,250,110
90,,,,5040.0,,,,,155,4238,116
91,,,,5993.29,,,,,281,B55/130032,117
92,,,,5103.0,,,,,90,11080,118
93,,,,9989.28,,,,,299,11120,119
94,,,,10925.15,,,,,288,11131,120
95,,,,11728.4,,,,,924,3844,124
96,,,,155.0,,,,,73,4118,125
97,,,,3645.0,,,,,99,4054,125
98,,,,6277.78,,,,,72,4121,126
99,,,,4143.07,,,,,73,4118,126
100,,,,3089.13,,,,,47,4224,127
101,,,,1397.25,,,,,150,3922,127
102,,,,1579.5,,,,,208,4134,127
103,,,,4374.0,,,,,196,4298,128
104,,,,30455.65,,,,,8,539,130
105,,,,2872.55,,,,,966,3573,131
106,,,,866128.1,,,,,996,DSI-183/184/13-14,134
107,,,,694792.82,,,,,1171,11131291,137
108,,,,7755.895,,,,,120,43657,139
109,,,,6161.4,,,,,107,43792,140
110,,,,14943.6,,,,,203,44404,141
111,,,,3564.0,,,,,184,44520,142
112,,,,2460.36,,,,,892,6237,151
113,,,,10000.0,,,,,84,084139,152
117,,,,1872.0,,,,,984,2010,154
118,,,,10374.75,,,,,907,KV/0693,161
119,,,,2733.75,,,,,552,KV/1097,162
120,,,,3500.0,,,,,624,K/4016,163
121,,,,39402.22,,,,,958,KV/2400,164
122,,,,67833.41,,,,,896,KV/2175,165
123,,,,25281.0,,,,,5,21/26,166
124,,,,3179.25,,,,,121,64,169
125,,,,441.0,,,,,145,50,169
126,,,,2774.25,,,,,146,51,169
127,,,,11466.0,,,,,243,210,170
129,,,,15000.0,,,,,359,17,175
130,,,,8000.0,,,,,359,17,176
131,,,,7100.0,,,,,400,34,177
132,,,,22189.0,,,,,691,38,178
134,,,,896.0,,,,,691,38,180
135,,,,9281.25,,,,,1126,49,180
136,,,,6541.0,,,,,1177,53,180
137,,,,12780.0,,,,,506,29,181
138,,,,44112.5,,,,,507,31,181
139,,,,6187.5,,,,,205,SI20130151,182
140,,,,7994.36,,,,,284,N00260,183
141,,,,8141.5,,,,,285,N00261,183
142,,,,3207.37,,,,,49,163,184
143,,,,5550.75,,,,,50,B063,188
144,,,,1215.0,,,,,320,79/13-14,188
147,,,,7917.0,,,,,163,102,192
148,,,,4725.0,,,,,108,102,196
149,,,,4115.3,,,,,329,958,197
150,,,,13783.71,,,,,416,1133,197
151,,,,14943.0,,,,,587,26,198
152,,,,923.63,,,,,905,243,198
153,A001,2013-12-06,"1142,",5000.0,ADV FOR MILK MONTH - DEC 1-15 DAYS,,,,,,202
154,,,,2671.86,,,,,139,04,204
155,,,,25434.0,,,,,193,72,205
156,,,,14175.0,,,,,286,80,205
157,,,,14945.0,,,,,904,85,205
158,,,,65540.0,,,,,449,SE/CM/104,207
159,,,,4315.5,,,,,450,SE/CM/105,207
160,,,,5145.0,,,,,451,SE/CM/123,207
161,,,,9731.25,,,,,1162,678,211
162,,,,19908.79,,,,,250,551314193,212
163,,,,3378.81,,,,,251,6613140227,212
164,,,,50000.0,,,,,252,6613140228,213
165,,,,101150.94,,,,,452,2313022597,214
166,,,,79942.82,,,,,686,2313022897,215
167,,,,47417.12,,,,,498,1579,216
169,,,,97503.0,,,,,10,16,218
170,,,,5309.01,,,,,34,130,220
171,,,,6581.57,,,,,239,01981,221
172,,,,1959.28,,,,,179,34,226
173,,,,12721.4,,,,,3,15,227
174,,,,20884.12,,,,,617,084,228
183,,,,17803.12,,,,,443,SE/I/158/2013-14,232
184,,,,5940.0,,,,,597,SE/I/191,233
185,,,,19171.64,,,,,1021,SE/DC/219,234
186,,,,22479.41,,,,,983,0221/13-14,235
187,,,,1687.5,,,,,631,250,238
188,,,,9450.0,,,,,786,M-0094,240
189,,,,388.12,,,,,142,94,241
190,,,,1778.63,,,,,143,174,241
191,,,,3155.62,,,,,81,578,242
192,,,,1145.0,,,,,438,2341,245
193,,,,3480.0,,,,,607,2282,245
194,,,,15000.0,,,,,811,LC/06,246
195,,,,15000.0,,,,,811,LC/06,246
196,,,,15000.0,,,,,613,49,247
197,,,,11458.0,,,,,195,VR23/13/2518,255
198,,,,9988.22,,,,,499,C-27100,256
200,,,,7456.31,,,,,866,C-28560,258
201,,,,47488.35,,,,,1030,C-28726,259
202,,,,4046.67,,,,,501,C-27794,260
203,,,,3350.0,,,,,282,463,262
204,,,,27098.4,,,,,701,1766,263
205,,,,49360.5,,,,,710,1765,263
206,,,,2079.36,,,,,1259,N00562,264
207,,,,7087.5,,,,,442,2433/13-14,265
208,,,,19057.5,,,,,1189,069,266
