Id,SysDate,SysTime,SessionId,CompId,FinYearId,BVRNo,Types,ReceiveType,ReceivedFrom,InvoiceNo,ChequeNo,ChequeDate,ChequeReceivedBy,BankName,BankAccNo,ChequeClearanceDate,Narration,Amount,DrawnAt,TransactionType,WONo,BGGroup
1,2013-11-20,19:19:05,Sapl0050,1,1,0001,2,2,M001,0 ,904045,2013-04-01,Sapl0050,STANDARD CHARTERED,-,2013-11-06,-,834375.0,5,4,,
3,2013-12-07,17:13:16,sapl0173,1,1,0002,2,2,M007,0 ,904045,2013-04-01,Sapl0050,STANDARD CHARTERED,0,2013-04-06,-,834375.0,5,4,,
4,2013-12-07,17:15:03,sapl0173,1,1,0003,3,2,B005,1851213,025405,2013-04-02,Sapl0050,IDBI,0,2013-04-03,-,74350.0,5,4,,
5,2013-12-07,17:19:36,sapl0173,1,1,0004,3,2,C002,"110, 094, 100, 106, 105, 104, 095/12-13",0,2013-04-03,Sapl0050,-,-,2013-04-03,-,1160652.0,5,1,,
6,2013-12-07,17:20:42,sapl0173,1,1,0005,4,2,C002,S-006/12-13,0,2013-04-03,Sapl0050,-,0,2013-04-03,-,44738.0,5,1,,
7,2013-12-07,17:24:08,sapl0173,1,1,0006,3,2,A003,143/12-13,226743,2013-04-05,Sapl0050,SBI,0,2013-04-10,-,237389.0,5,4,,
8,2013-12-07,17:26:40,sapl0173,1,1,0007,4,2,A003,S-11/12-13,226743,2013-04-05,Sapl0050,SBI,0,2013-04-10,-,41357.96,5,4,,
9,2013-12-07,17:30:05,sapl0173,1,1,0008,3,2,T002,178/12-13,0,2013-04-08,Sapl0050,IDBI,0,2013-04-08,-,636123.83,5,1,,
10,2013-12-13,10:43:57,sapl0173,1,1,0009,3,2,T002,"161, 165, 166, 1678, 168, 169, 170, 171, 172, 173, 174",2000019247,2013-04-15,Sapl0050,IDBI,-,2013-04-15,-,116138.99,5,4,,
11,2013-12-13,17:55:28,sapl0173,1,1,0010,3,2,J003,"160,177",204875,2013-04-15,Sapl0050,AXIS BANK,-,2013-04-18,,92805.25,5,4,,
12,2013-12-13,17:58:18,sapl0173,1,1,0011,3,2,W003,196,258351,2013-04-18,Sapl0050,UNION BANK,-,2013-04-20,-,22294.0,3,4,,
