Id,MId,CompId,SessionId,FinYearId,FileName,FileSize,ContentType,FileData
2,2192,1,sapl0173,1,PIONEER COATS INV 3547 DTD 15.03.2014.jpg,2539374.0,image/jpeg,
3,2689,1,sapl0173,2,DANCAL INDIA PVT LTD INV 037 DTD 05.04.2014.jpg,915394.0,image/jpeg,
5,2690,1,sapl0173,2,INDUSTRIAL TRADING CO INV M09 DTD 08.04.2014 PAGE 01 OF 02.jpg,740514.0,image/jpeg,
6,2690,1,sapl0173,2,INDUSTRIAL TRADING CO INV M09 DTD 08.04.2014 PAGE 02 OF 02.jpg,986983.0,image/jpeg,
7,2688,1,sapl0173,2,CANON INDIA PVT LTD INV 14029001254 DTD 01.04.2014.jpg,958416.0,image/jpeg,
8,2687,1,sapl0173,2,VIKAS ENT INV P00052 DTD 07.04.2014.jpg,1177947.0,image/jpeg,
9,2686,1,sapl0173,2,PIONEER COATS INV 113 DTD 12.04.2014.jpg,1030927.0,image/jpeg,
10,2685,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV C 58 DTD 08.04.2014.jpg,637055.0,image/jpeg,
11,2684,1,sapl0173,2,MISUMI INDIA PVT LTD INV 4357223-1-1 DTD 11.04.2014 PAGE 02 OF 02.jpg,521262.0,image/jpeg,
12,2684,1,sapl0173,2,MISUMI INDIA PVT LTD INV 4357223-1-1D TD 11.04.2014 PAGE 01 OF 02.jpg,602065.0,image/jpeg,
13,2683,1,sapl0173,2,SNF SALES CORP INV 1175 DTD 29.03.2014.jpg,880143.0,image/jpeg,
14,2682,1,sapl0173,2,MISUMI INDIA PVT LTD INV 4373434 DTD 11.04.2014 PAGE 01 OF 02.jpg,614741.0,image/jpeg,
15,2682,1,sapl0173,2,MISUMI INDIA PVT LTD INV 4373434 DTD 11.04.2014 PAGE 02 OF 02.jpg,291400.0,image/jpeg,
16,2681,1,sapl0173,2,SNF SALES CORP INV 10 DTD 04.04.2014.jpg,871876.0,image/jpeg,
17,2680,1,sapl0173,2,SMC PNEU INDIA PVT LTD INV 058 DTD 01.04.2014.jpg,1040451.0,image/jpeg,
18,2679,1,sapl0173,2,SMC PNEU INDIA PVT LTD INV 37999 DTD 24.03.2014.jpg,977957.0,image/jpeg,
19,2678,1,sapl0173,2,SMC PNEU INDIA PVT LTD INV 0715 DTD 08.04.2014.jpg,1048729.0,image/jpeg,
20,2677,1,sapl0173,2,SMC PNEU INDIA PVT LTD 066 DTD 01.04.2014.jpg,991727.0,image/jpeg,
21,2676,1,sapl0173,2,SMC PNEU INDIA PVT LTD INV 38235 DTD  25.03.2014.jpg,1163628.0,image/jpeg,
22,2675,1,sapl0173,2,SATYAM ENT INV 237 DTD 11.04.2014.jpg,1422750.0,image/jpeg,
23,2674,1,sapl0173,2,STEEL SMITH INV 0106 DTD 10.04.2014.jpg,1383374.0,image/jpeg,
24,2673,1,sapl0173,2,STEEL SMITH INV 3946 DTD 19.03.2014.jpg,1299684.0,image/jpeg,
25,2672,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV 0033 DTD 13.04.2014.jpg,1207405.0,image/jpeg,
26,2671,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV 0032 DTD 13.04.2014.jpg,1143760.0,image/jpeg,
27,2670,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV 0029 DTD 11.04.2014.jpg,1213651.0,image/jpeg,
28,2669,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV N00821 DTD 31.03.2014.jpg,1173882.0,image/jpeg,
29,2668,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV N00820 DTD 31.03.2014.jpg,1183431.0,image/jpeg,
30,2667,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV N00733 DTD 28.02.2014.jpg,1128088.0,image/jpeg,
31,2666,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV N00819 DTD 31.03.2014.jpg,1133372.0,image/jpeg,
32,2665,1,sapl0173,2,IGUS INDIA PVT LTD INV 95384 DTD 28.03.2014.jpg,1071071.0,image/jpeg,
33,2664,1,sapl0173,2,PRECIAMAC SOLUTIONS INV 0314-15 DTD 02.04.2014.jpg,835290.0,image/jpeg,
34,2663,1,sapl0173,2,IGUS INDIA PVT LTD INV 95325 DTD 28.03.2014 PAGE 01 OF 02.jpg,931040.0,image/jpeg,
35,2663,1,sapl0173,2,IGUS INDIA PVT LTD INV 95325 DTD 28.03.2014 PAGE 02 OF 02.jpg,989295.0,image/jpeg,
36,2662,1,sapl0173,2,MAGNA CORE CLUTCHES & BREAKES PVT LTD INV 855 DTD 22.03.2014.jpg,970634.0,image/jpeg,
37,2661,1,sapl0173,2,SAI ENTERPRISES INV 07 DTD 09.04.2014.jpg,886999.0,image/jpeg,
38,2660,1,sapl0173,2,PRECISE SYSTEMS INV 058 DTD D10.04.2014.jpg,1110929.0,image/jpeg,
39,2659,1,sapl0173,2,PRECISE SYSTEMS INV 059 DTD 10.04.2014.jpg,1087520.0,image/jpeg,
40,2658,1,sapl0173,2,SURYA MARKETING CORP INV K03914-15 DTD 11.04.2014.jpg,1091753.0,image/jpeg,
41,2657,1,sapl0173,2,JAY ELECTRIC CO INV 20611 DTD 08.04.2014.jpg,1001657.0,image/jpeg,
42,2656,1,sapl0173,2,LINKARS TRADING CO INV 009 DTD D03.04.2014.jpg,845746.0,image/jpeg,
43,2655,1,sapl0173,2,KARISHMA ELECTRIC & TRADING CO INV 33996 DTD 09.04.2014.jpg,1174743.0,image/jpeg,
44,2654,1,sapl0173,2,SHIV ENGINEERS INV 029 DTD 04.04.2014.jpg,979306.0,image/jpeg,
45,2653,1,sapl0173,2,U B CORP INV 892 DTD 20.03.2014.jpg,1227345.0,image/jpeg,
46,2652,1,sapl0173,2,ARJUN ENT INV 4717 DTD 02.04.2014.jpg,867523.0,image/jpeg,
47,2691,1,sapl0173,2,SUPERWELD SOURCES PVT LTD INV 196 DTD 04.04.2014.jpg,1004941.0,image/jpeg,
48,2692,1,sapl0173,2,SMC PNEU INDIA PVT LTD INV P0155 DTD  14.04.2014.jpg,1151001.0,image/jpeg,
49,2693,1,sapl0173,2,INDUSTRIAL TRADING CO INV C57 DTD 08.04.2014.jpg,857467.0,image/jpeg,
50,2694,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV C 59 DTD 08.04.2014.jpg,726786.0,image/jpeg,
51,2695,1,sapl0173,2,PIONEER COATS INV 167 DTD 15.04.2014.jpg,1013049.0,image/jpeg,
52,2696,1,sapl0173,2,LCL LOGISTIX INDIA PVT LTD INV NOV-112 DTD 27.11.2013.jpg,598806.0,image/jpeg,
53,2697,1,sapl0173,2,SHREE ENGG INV 431 DTD 07.04.2014.jpg,730534.0,image/jpeg,
54,2698,1,sapl0173,2,DEEPAK ENTERPRISES INV 131 DTD 04.04.2014.jpg,778059.0,image/jpeg,
55,2699,1,sapl0173,2,DEEPAK ENTERPRISES INV 132 DTD 04.04.2014.jpg,744117.0,image/jpeg,
56,2700,1,sapl0173,2,DEEPAK ENTERPRISES INV 132 DTD 04.04.2014.jpg,744117.0,image/jpeg,
57,2701,1,sapl0173,2,DEEPAK ENTERPRISES INV 134 DTD 15.04.2014.jpg,713289.0,image/jpeg,
58,2702,1,sapl0173,2,PIONEER COATS INV 20 DTD 02.04.2014.jpg,1179790.0,image/jpeg,
59,2703,1,sapl0173,2,VARADRAJ TRANSPORT SERVICE INV 49 DTD 28.04.2014.jpg,907718.0,image/jpeg,
60,2704,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV M 18 DTD 14.04.2014.jpg,1115891.0,image/jpeg,
61,2705,1,sapl0173,2,INDOMAX INV 96 DTD 25.04.2014.jpg,1098333.0,image/jpeg,
62,2706,1,sapl0173,2,INDOMAX INV 75 DTD 25.04.2014.jpg,1092083.0,image/jpeg,
63,2707,1,sapl0173,2,DEEPAK ENTERPRISES INV 138 DTD 25.04.2014.jpg,930788.0,image/jpeg,
64,2708,1,sapl0173,2,GP ELECTROPNEUMATICS INV 27145 DTD 16.04.2014.jpg,768752.0,image/jpeg,
65,2709,1,sapl0173,2,VIKAS ENGG WORKS INV 57 DTD 31.03.2014.jpg,742168.0,image/jpeg,
66,2710,1,sapl0173,2,JAYSHREE SECURITY FORCE INV 17 DTD 01.04.2014.jpg,694641.0,image/jpeg,
67,2711,1,sapl0173,2,ARJUN ENTERPRISES INV 4767 DTD 25.04.2014.jpg,842961.0,image/jpeg,
68,2712,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV C 159 DTD 21.04.2014.jpg,714093.0,image/jpeg,
