Id,PODId,GQNId,GSNId,ItemId,DebitType,DebitValue,PFAmt,ExStBasicInPer,ExStEducessInPer,ExStShecessInPer,ExStBasic,ExStEducess,ExStShecess,CustomDuty,VAT,CST,Freight,TarrifNo,BCDOpt,BCD,BCDValue,ValueForCVD,ValueForEdCessCD,EdCessOnCDOpt,EdCessOnCD,EdCessOnCDValue,SHEDCessOpt,SHEDCess,SHEDCessValue,TotDuty,TotDutyEDSHED,Insurance,ValueWithDuty,MId
32375,43321,32414,0,60009,0,0.0,0.0,9.0,0.0,0.0,3672.0,0.0,0.0,0.0,4002.48,0.0,0.0,85015110,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8061
32376,42877,32425,0,59266,0,0.0,0.0,9.0,0.0,0.0,1422.0,0.0,0.0,0.0,1549.98,0.0,0.0,85381010,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8062
32377,43073,32278,0,8391,0,0.0,0.0,9.0,0.0,0.0,378.0,0.0,0.0,0.0,412.02,0.0,0.0,85052000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8063
32378,43246,32418,0,21722,0,0.0,0.0,9.0,0.0,0.0,794.48,0.0,0.0,0.0,865.98,0.0,0.0,39173290,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8064
32379,43247,32419,0,21721,0,0.0,0.0,9.0,0.0,0.0,564.3,0.0,0.0,0.0,615.09,0.0,0.0,39173290,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8064
32380,43248,32420,0,21718,0,0.0,0.0,9.0,0.0,0.0,386.1,0.0,0.0,0.0,420.85,0.0,0.0,39173290,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8064
32381,43249,32421,0,8741,0,0.0,0.0,9.0,0.0,0.0,249.48,0.0,0.0,0.0,271.93,0.0,0.0,3917,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8064
32382,43251,32422,0,9854,0,0.0,0.0,9.0,0.0,0.0,65.25,0.0,0.0,0.0,71.12,0.0,0.0,85361090,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8064
32383,43341,0,3978,60019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8065
32384,43342,32417,0,8446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8066
