Id,SysDate,SysTime,CompId,FinYearId,SessionId,WONo,AccId,Amount,BudgetCodeId
0,2014-05-05,4:58:19 PM,1,1,Sapl0001,N0015,,1576478.22,1
1,2013-12-14,3:56:34 PM,1,1,Sapl0003,N0054,,45000.0,1
2,2013-12-14,3:58:26 PM,1,1,Sapl0003,T0008,,23704.45,1
3,2013-12-14,3:58:59 PM,1,1,Sapl0003,T0009,,65502.26,1
4,2013-12-14,3:59:31 PM,1,1,Sapl0003,T0010,,35410.34,1
5,2014-05-05,6:31:08 PM,1,1,Sapl0001,N0056,,48267.46,1
6,2013-12-14,4:02:22 PM,1,1,Sapl0003,N0059,,300000.0,1
7,2013-12-14,4:02:56 PM,1,1,Sapl0003,N0060,,100000.0,1
8,2013-12-14,4:03:40 PM,1,1,Sapl0003,N0061,,100000.0,1
9,2013-12-14,4:04:42 PM,1,1,Sapl0003,N0056,,1300000.0,1
10,2013-12-14,4:06:03 PM,1,1,Sapl0003,N0056,,1200000.0,2
11,2013-12-14,4:22:50 PM,1,1,Sapl0003,J0059,,230000.0,1
12,2013-12-14,4:22:59 PM,1,1,Sapl0003,J0059,,5000.0,6
13,2013-12-14,4:26:39 PM,1,1,Sapl0003,J0058,,90000.0,1
14,2013-12-14,4:26:39 PM,1,1,Sapl0003,J0058,,13000.0,2
15,2013-12-14,4:26:39 PM,1,1,Sapl0003,J0058,,5000.0,6
16,2014-05-05,4:58:58 PM,1,1,Sapl0001,N0015,,140141.69,2
19,2013-12-16,12:10:49 PM,1,1,Sapl0001,N0021,,1800000.0,1
20,2013-12-14,4:34:47 PM,1,1,Sapl0003,N0021,,25000.0,6
21,2013-12-14,4:34:47 PM,1,1,Sapl0003,N0021,,100000.0,8
23,2013-12-16,4:58:57 PM,1,1,Sapl0161,N0054,,15000.0,4
24,2014-05-05,6:29:52 PM,1,1,Sapl0001,N0056,,33419.44,4
26,2014-05-05,4:41:15 PM,1,1,Sapl0001,J0015,,6475631.55,1
27,2013-12-16,5:08:26 PM,1,1,Sapl0161,J0015,,30000.0,2
28,2013-12-17,9:51:13 AM,1,1,Sapl0161,N0039,,5000000.0,1
29,2013-12-17,9:51:41 AM,1,1,Sapl0161,N0039,,50000.0,4
30,2013-12-17,9:51:59 AM,1,1,Sapl0161,N0039,,100000.0,2
31,2013-12-18,2:26:56 PM,1,1,Sapl0161,N0006,,530000.0,1
32,2013-12-18,2:27:29 PM,1,1,Sapl0161,N0022,,110000.0,1
33,2013-12-18,2:27:59 PM,1,1,Sapl0161,N0004,,3200000.0,1
34,2013-12-18,2:28:08 PM,1,1,Sapl0161,N0004,,20000.0,2
35,2013-12-18,2:28:18 PM,1,1,Sapl0161,N0004,,5000.0,3
36,2013-12-18,2:28:26 PM,1,1,Sapl0161,N0004,,10000.0,4
37,2013-12-18,2:29:05 PM,1,1,Sapl0161,N0039,,50000.0,4
38,2014-05-05,5:31:30 PM,1,1,Sapl0001,N0040,,63823.82,1
39,2014-05-05,5:30:41 PM,1,1,Sapl0001,N0040,,1678.89,2
41,2013-12-18,2:30:38 PM,1,1,Sapl0161,N0042,,20000.0,1
42,2013-12-18,2:30:48 PM,1,1,Sapl0161,N0042,,10000.0,2
43,2013-12-18,2:31:17 PM,1,1,Sapl0161,N0043,,250000.0,1
44,2013-12-18,2:31:43 PM,1,1,Sapl0161,N0045,,30000.0,1
45,2013-12-18,2:32:05 PM,1,1,Sapl0161,N0046,,25000.0,1
46,2013-12-18,2:32:42 PM,1,1,Sapl0161,N0049,,1000000.0,1
47,2013-12-18,2:33:26 PM,1,1,Sapl0161,N0057,,70000.0,1
48,2013-12-18,2:33:59 PM,1,1,Sapl0161,N0029,,60000.0,1
49,2013-12-18,2:34:11 PM,1,1,Sapl0161,N0029,,50000.0,2
51,2013-12-18,2:42:15 PM,1,1,Sapl0161,N0047,,25000.0,1
52,2013-12-18,2:46:26 PM,1,1,Sapl0161,N0042,,5000.0,1
53,2014-05-05,5:03:27 PM,1,1,Sapl0001,N0023,,9441351.07,1
54,2013-12-18,5:15:24 PM,1,1,Sapl0161,N0023,,50000.0,4
55,2013-12-18,5:16:14 PM,1,1,Sapl0161,N0039,,10000.0,4
56,2013-12-18,5:25:42 PM,1,1,Sapl0161,N0039,,20000.0,4
57,2013-12-18,5:26:12 PM,1,1,Sapl0161,N0023,,10000.0,4
58,2013-12-18,5:26:38 PM,1,1,Sapl0161,N0023,,10000.0,4
59,2013-12-18,5:27:00 PM,1,1,Sapl0161,N0039,,20000.0,4
60,2014-05-05,5:29:09 PM,1,1,Sapl0001,N0039,,6851.82,4
61,2013-12-18,5:28:10 PM,1,1,Sapl0161,N0023,,30000.0,4
62,2013-12-18,5:28:34 PM,1,1,Sapl0161,N0023,,30000.0,4
63,2014-05-05,5:04:43 PM,1,1,Sapl0001,N0023,,6994.52,4
64,2013-12-18,5:29:36 PM,1,1,Sapl0161,N0023,,50000.0,4
66,2013-12-19,11:52:15 AM,1,1,Sapl0161,N0047,,50000.0,2
67,2013-12-20,4:37:51 PM,1,1,Sapl0003,J0015,,100000.0,2
68,2013-12-19,12:49:47 PM,1,1,Sapl0161,N0021,,5000.0,2
69,2014-05-05,5:41:42 PM,1,1,Sapl0001,N0042,,4172.38,1
70,2013-12-19,5:30:02 PM,1,1,Sapl0161,T0007,,100000.0,1
71,2013-12-19,5:37:54 PM,1,1,Sapl0161,N0061,,20000.0,1
72,2013-12-19,5:38:15 PM,1,1,Sapl0161,N0042,,10000.0,1
73,2013-12-19,5:40:45 PM,1,1,Sapl0161,N0061,,5000.0,1
74,2013-12-20,5:14:04 PM,1,1,Sapl0003,N0044,,44000.0,1
75,2013-12-20,5:30:21 PM,1,1,Sapl0161,N0040,,20000.0,1
76,2013-12-20,5:30:51 PM,1,1,Sapl0161,N0041,,25000.0,1
77,2013-12-20,5:30:59 PM,1,1,Sapl0161,N0041,,15000.0,2
78,2013-12-20,5:31:17 PM,1,1,Sapl0161,N0042,,30000.0,1
79,2013-12-20,5:31:23 PM,1,1,Sapl0161,N0042,,10000.0,2
80,2013-12-20,5:31:53 PM,1,1,Sapl0161,N0045,,15000.0,1
81,2013-12-20,5:32:04 PM,1,1,Sapl0161,N0045,,5000.0,2
82,2013-12-20,5:32:24 PM,1,1,Sapl0161,N0047,,15000.0,1
83,2013-12-20,5:32:51 PM,1,1,Sapl0161,N0057,,30000.0,1
84,2013-12-20,5:33:29 PM,1,1,Sapl0161,N0046,,15000.0,1
85,2013-12-20,5:33:52 PM,1,1,Sapl0161,N0049,,2000.0,1
86,2013-12-20,5:39:35 PM,1,1,Sapl0161,N0026,,60000.0,1
87,2013-12-20,5:40:06 PM,1,1,Sapl0161,N0026,,15000.0,1
88,2013-12-20,5:40:29 PM,1,1,Sapl0161,N0029,,6000.0,1
89,2013-12-20,5:42:52 PM,1,1,Sapl0161,N0029,,10000.0,1
90,2013-12-20,5:44:02 PM,1,1,Sapl0161,N0029,,10000.0,1
91,2013-12-21,3:55:35 PM,1,1,Sapl0161,N0044,,5000.0,1
92,2013-12-21,3:56:16 PM,1,1,Sapl0161,N0047,,5000.0,1
93,2013-12-21,5:41:10 PM,1,1,Sapl0161,N0039,,50000.0,4
94,2013-12-21,5:41:22 PM,1,1,Sapl0161,N0039,,20000.0,4
95,2013-12-23,9:33:19 AM,1,1,Sapl0161,N0029,,100000.0,2
96,2013-12-23,12:23:10 PM,1,1,Sapl0161,N0047,,10000.0,1
97,2013-12-23,12:39:59 PM,1,1,Sapl0161,N0022,,10000.0,1
98,2013-12-23,12:40:25 PM,1,1,Sapl0161,N0030,,210000.0,1
