Id,BillNo,BillDate,PONo,PODate,Particulars,WONo,BGGroup,AcHead,Amount,BudgetCode,PVEVNo,MId
4126,056,2018-04-03,,,Ambedkar Jayanti festival exp.,NA,8,51,2000.0,0,,3487
4127,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,24,52,9000.0,0,,3488
4128,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,24,52,9000.0,0,,3489
4129,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,9,52,6571.0,0,,3490
4130,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,24,52,6750.0,0,,3491
4131,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,5,52,11607.0,0,,3492
4132,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,5,52,10982.0,0,,3493
4133,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,15,52,9400.0,0,,3494
4134,salary-feb.2018,2018-04-03,,,salary-feb.2018,NA,2,52,7607.0,0,,3495
4135,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,2,52,9400.0,0,,3496
4136,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,16050.0,0,,3497
4137,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,11250.0,0,,3498
4138,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,24,52,9752.0,0,,3499
4139,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,4371.0,0,,3500
4140,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,8607.0,0,,3501
4141,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,15,52,8036.0,0,,3502
4142,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,3,52,5707.0,0,,3503
4143,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,7554.0,0,,3504
4144,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,6000.0,0,,3505
4145,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,14071.0,0,,3506
4146,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,10214.0,0,,3507
4147,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,1982.0,0,,3508
4148,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,5,52,359.0,0,,3509
4149,Salary-Feb.18,2018-04-03,,,Salary-Feb.18,NA,24,52,17000.0,0,,3510
4150,-,2018-04-03,,,customer visit,NA,10,16,2670.0,0,,3511
