Id,MId,BillNo,BillDate,PONo,PODate,Particulars,WONo,BGGroup,AcHead,Amount,BudgetCode,PVEVNo
1,77,-,2013-06-29,,,kothrud to sapl,NA,2,26,210.0,0,
2,77,-,2013-06-29,,,kothrud to sapl,NA,2,16,180.0,0,
3,78,-,2013-06-29,,,kothrud to sapl,NA,2,26,175.0,0,
4,78,-,2013-06-29,,,kothrud to sapl,NA,2,16,180.0,0,
5,79,-,2013-06-29,,,kothrud to sapl,NA,2,26,175.0,0,
6,79,-,2013-06-29,,,kothrud to sapl,NA,2,16,60.0,0,
7,80,635269,2013-06-27,,,visit to mumbai for vmc m/c,NA,13,16,500.0,0,
8,80,015669,2013-06-27,,,visit to mumbai for vmc m/c,NA,13,25,330.0,0,
9,80,-,2013-06-28,,,visit to mumbai for vmc m/c,NA,13,26,220.0,0,
10,81,114/356,2013-06-29,,,guest lunch (mahindra),NA,8,26,615.0,0,
11,82,-,2013-06-28,,,balajinagar to sapl,NA,8,16,50.0,0,
12,83,1195/21024,2013-06-27,,,sapl to mousco,NA,4,16,270.0,0,
13,83,-,2013-06-28,,,sapl to mousco,NA,4,26,35.0,0,
14,84,-,2013-06-26,,,visit to excise dept.,NA,9,16,100.0,0,
15,85,-,2013-06-25,,,kothrud to sapl,NA,2,16,180.0,0,
16,85,-,2013-06-25,,,kothrud to sapl,NA,2,26,245.0,0,
17,86,TF0154046,2013-06-20,,,courier charges,NA,13,5,250.0,0,
18,87,1562618301 /613,2013-06-11,,,internet charges date:09/05/13 to 08/06/13,NA,8,20,1071.0,0,
19,88,-,2013-06-17,,,canteen expenses,NA,8,16,2162.0,0,
20,89,-,2013-06-22,,,bibewadi to satish kuchekar,NA,9,16,30.0,0,
21,90,-,2013-06-21,,,office works,NA,8,16,80.0,0,
22,91,4606,2013-06-20,,,towards wo.no.0788,NA,2,16,970.0,0,
23,92,104252,2013-06-20,,,western transport agencies,NA,8,16,130.0,0,
24,93,-,2013-06-20,,,"visit to musco, toll,breakfast",NA,13,16,580.0,0,
25,93,-,2013-06-20,,,"visit to musco, toll,breakfast",NA,13,25,56.0,0,
26,94,-,2013-06-08,,,towards allouance,NA,13,16,516.0,0,
27,95,-,2013-06-19,,,petrol and toll,NA,3,16,187.0,0,
28,95,-,2013-06-19,,,petrol and toll,NA,3,25,39.0,0,
29,96,-,2013-06-13,,,narhe to sapl (night shift),NA,5,16,300.0,0,
30,97,-,2013-06-13,,,dhankwadi to sapl (night shift),NA,5,16,360.0,0,
31,98,-,2013-06-05,,,travelling charges,NA,3,16,395.0,0,
32,99,-,2013-05-30,,,towards wo.no.N0006/T0003,NA,2,16,294.0,0,
33,100,-,2013-06-10,,,travelling allounce,NA,2,16,754.0,0,
34,101,-,2013-06-05,,,robotic training,NA,4,16,440.0,0,
35,102,-,2013-06-12,,,auditor tiffin,NA,8,26,416.0,0,
36,103,18,2013-06-12,,,sapl to idbi & dena to sapl,NA,8,16,100.0,0,
37,104,-,2013-06-10,,,"sagar papal,rohidas jarande,sagar mahangare wo.no.0788",NA,3,26,450.0,0,
38,105,-,2013-05-31,,,lunch,NA,5,26,35.0,0,
39,106,-,2013-05-31,,,kondit to sapl,NA,5,16,80.0,0,
40,106,-,2013-05-31,,,kondit to sapl,NA,5,26,35.0,0,
41,107,-,2013-05-31,,,comau trolly painting,NA,5,26,35.0,0,
42,108,-,2013-06-10,,,narhe to sapl,NA,5,16,340.0,0,
43,109,-,2013-06-05,,,comau trolley,NA,5,26,175.0,0,
44,110,-,2013-06-05,,,sapl to bhosari,NA,4,16,560.0,0,
45,111,-,2013-06-05,,,"katraj , dhayari",NA,5,26,105.0,0,
46,111,-,2013-06-05,,,"katraj , dhayari",NA,5,16,45.0,0,
47,112,-,2013-06-04,,,"shrikant,vinod,nilesh,sunday working",NA,5,26,105.0,0,
48,113,-,2013-06-06,,,sapl to katraj,NA,5,16,280.0,0,
49,114,185,2013-05-26,,,cargo load body,NA,3,26,100.0,0,
50,114,185,2013-05-26,,,cargo load body,NA,3,16,180.0,0,
51,115,1351095,2013-06-06,,,wo.no.N0006,NA,13,14,600.0,0,
52,116,-,2013-06-11,,,sapl to katraj,NA,8,16,50.0,0,
53,117,-,2013-06-11,,,wo.no.N0002,NA,2,26,140.0,0,
54,118,-,2013-06-08,,,diesel for 2221 and toll,NA,8,25,1187.0,0,
55,119,-,2013-06-11,,,wo.no.N0002,NA,2,16,1360.0,0,
56,119,-,2013-06-11,,,wo.no.N0002,NA,2,26,140.0,0,
57,120,-,2013-05-24,,,khed shivapur to tata motars,NA,2,16,192.0,0,
58,120,-,2013-05-24,,,khed shivapur to tata motars,NA,2,26,35.0,0,
59,121,-,2013-06-05,,,comau to sapl,NA,4,16,680.0,0,
60,121,-,2013-06-05,,,comau to sapl,NA,4,26,170.0,0,
61,122,-,2013-05-20,,,cummins to phaltan,NA,4,16,380.0,0,
62,122,-,2013-05-20,,,cummins to phaltan,NA,4,26,35.0,0,
63,123,-,2013-05-04,,,wo.no.N0006,NA,2,16,550.0,0,
64,124,-,2013-05-15,,,comau,NA,4,16,228.0,0,
65,124,-,2013-05-15,,,comau,NA,4,26,35.0,0,
66,125,-,2013-05-15,,,sapl to sai enterprises,NA,4,16,68.0,0,
67,126,67/179,2013-05-29,,,sapl to tata,NA,8,16,350.0,0,
68,126,-,2013-05-27,,,sapl to tata,NA,8,26,50.0,0,
