Id,SysDate,SysTime,CompId,FinYearId,SessionId,CVRNo,CashReceivedAgainst,CashReceivedBy,WONo,BGGroup,AcHead,Amount,Others,CodeTypeRA,CodeTypeRB,BudgetCode
286,2018-05-15,9:06:07 AM,1,6,Sapl0285,0001,Sapl0276,Sapl0031,NA,15,50,25.0,AGAINST IOU,1,1,0
287,2018-05-15,9:06:57 AM,1,6,Sapl0285,0002,Sapl0219,Sapl0031,NA,4,50,2.0,AGAINST IOU,1,1,0
288,2018-05-15,9:09:56 AM,1,6,Sapl0285,0003,Sapl0224,Sapl0031,NA,19,50,70.0,AGAINST IOU,1,1,0
289,2018-05-16,8:54:22 AM,1,6,Sapl0285,0004,Sapl0285,Sapl0031,NA,9,51,150.0,RECEIVED AGAINST IOU,1,1,0
290,2018-05-16,8:58:14 AM,1,6,Sapl0285,0005,R007,Sapl0031,NA,15,40,40500.0,RECEIVED AGAINST SALE OF SCRAP,2,1,0
291,2018-05-23,9:19:51 AM,1,6,Sapl0285,0006,Sapl0243,Sapl0031,NA,24,43,25.0,RECEIVED AGAINST IOU,1,1,0
292,2018-06-04,3:45:22 PM,1,5,sapl0031,0062,Sapl0191,Sapl0031,NA,17,51,3000.0,CASH RECEIVED TOWARDS ADV FOR SALASKAR,1,1,0
294,2018-06-13,9:37:06 AM,1,6,Sapl0285,0007,Sapl0243,Sapl0031,NA,24,51,2000.0,CASH RECEIVED AGAINST IOU,1,1,0
295,2018-06-13,9:38:47 AM,1,6,Sapl0285,0008,R007,Sapl0031,NA,15,40,10000.0,SALE OF SCRAP,2,1,0
296,2018-06-30,3:04:47 PM,1,6,Sapl0285,0009,Sapl0061,Sapl0031,NA,8,50,990.0,cash received against iou,1,1,0
297,2018-06-30,3:05:44 PM,1,6,Sapl0285,0010,Sapl0276,Sapl0031,NA,15,50,40.0,cash received against iou,1,1,0
298,2018-07-24,9:03:56 AM,1,6,Sapl0285,0011,R007,Sapl0031,NA,15,40,20000.0,SALE OF SCRAP,2,1,0
299,2018-07-24,10:10:15 AM,1,6,Sapl0285,0012,Sapl0031,Sapl0031,NA,9,51,500.0,TOWARDS IOU AGAINST,1,1,0
300,2018-07-24,10:13:33 AM,1,6,Sapl0285,0013,R007,Sapl0031,NA,15,40,15000.0,SALE OF SCRAP,2,1,0
301,2018-07-25,2:38:45 PM,1,6,Sapl0285,0014,R007,Sapl0031,NA,15,40,5000.0,SALE OF SCRAP,2,1,0
302,2018-07-31,2:49:09 PM,1,6,Sapl0285,0015,R007,Sapl0031,NA,15,40,7000.0,SALE OF SCRAP,2,1,0
303,2018-08-02,1:25:27 PM,1,6,Sapl0285,0016,Sapl0003,Sapl0031,NA,10,51,300000.0,CASH RECEIVED AGAINST SALARY JUNE-2018,1,1,0
304,2018-08-20,1:27:36 PM,1,6,Sapl0285,0017,R007,Sapl0031,NA,15,40,12700.0,SALE OF SCRAP,2,1,0
305,2018-09-26,10:12:15 AM,1,6,Sapl0285,0018,Sapl0059,Sapl0031,NA,11,20,500.0,RECEIVED AGAINST IOU,1,1,0
306,2018-09-26,10:13:05 AM,1,6,Sapl0285,0019,Sapl0264,Sapl0031,NA,19,16,400.0,RECEIVED AGAINST IOU,1,1,0
307,2018-09-26,10:34:32 AM,1,6,Sapl0285,0020,Sapl0191,Sapl0031,NA,17,5,1400.0,RECEIVED AGAINST IOU,1,1,0
309,2018-09-26,10:55:41 AM,1,6,Sapl0285,0021,Sapl0143,Sapl0031,NA,8,51,12.0,RECEIVED AGAINST IOU,1,1,0
310,2018-09-26,11:17:16 AM,1,6,Sapl0285,0022,Sapl0143,Sapl0031,NA,8,51,8000.0,RECEIVED AGAINST TRIP,1,1,0
311,2018-10-25,9:19:16 AM,1,6,Sapl0285,0023,Sapl0031,Sapl0031,NA,1,40,60190.0,AMOUNT RECEIVED AGAINST SALE OF SCRAP (KUBER ENTERPRISES),1,1,0
312,2018-10-25,9:22:15 AM,1,6,Sapl0285,0024,Sapl0143,Sapl0031,NA,8,50,86.0,RECEIVED AGAINST IOU,1,1,0
313,2018-11-02,2:34:45 PM,1,6,Sapl0285,0025,R007,Sapl0031,NA,15,40,32870.0,sale of scrap,2,1,0
