Id,SysDate,SysTime,CompId,SessionId,FinYearId,Date,Cr,Dr,Amount,Narration
16,2013-07-10,2:24:34 PM,1,Sapl0050,1,01-04-2013,3,4,50000.0,Office Purpose
17,2013-07-10,2:50:11 PM,1,Sapl0050,1,04-04-2013,5,4,50000.0,"


































































	Office Purpose


"
18,2013-07-10,2:51:42 PM,1,Sapl0050,1,2013-04-06,5,4,50000.0,	Office Purpose
19,2013-07-10,2:52:36 PM,1,Sapl0050,1,2013-04-06,5,4,200000.0,	Office Purpose
20,2013-07-10,2:53:06 PM,1,Sapl0050,1,2013-04-08,5,4,50000.0,	Office Purpose
21,2013-07-10,2:54:31 PM,1,Sapl0050,1,2013-04-10,5,4,50000.0,	Office Purpose
22,2013-07-10,2:55:11 PM,1,Sapl0050,1,2013-04-13,3,4,30000.0,	Office Purpose
24,2013-07-10,2:55:48 PM,1,Sapl0050,1,2013-04-16,5,4,50000.0,	Office Purpose
25,2013-07-10,2:57:41 PM,1,Sapl0050,1,2013-04-18,3,4,40000.0,	Office Purpose
27,2013-07-10,2:58:15 PM,1,Sapl0050,1,20-04-2013,5,4,40000.0,	Office Purpose
28,2013-07-10,2:58:50 PM,1,Sapl0050,1,2013-04-22,5,4,40000.0,	Office Purpose
29,2013-07-10,3:00:16 PM,1,Sapl0050,1,2013-04-25,5,4,50000.0,	Office Purpose
30,2013-07-10,3:00:46 PM,1,Sapl0050,1,2013-04-30,3,4,40000.0,	Office Purpose
31,2013-07-10,3:05:39 PM,1,Sapl0050,1,2013-05-04,3,4,40000.0,	Office Purpose
32,2013-07-10,3:06:14 PM,1,Sapl0050,1,2013-05-07,5,4,40000.0,	Office Purpose
33,2013-07-10,3:06:42 PM,1,Sapl0050,1,2013-05-08,3,4,30000.0,	Office Purpose
34,2013-07-10,3:07:12 PM,1,Sapl0050,1,2013-05-11,5,4,50000.0,	Office Purpose
35,2013-07-10,3:07:42 PM,1,Sapl0050,1,2013-05-30,5,4,50000.0,	Office Purpose
36,2013-07-10,3:08:51 PM,1,Sapl0050,1,2013-06-01,5,4,50000.0,	Office Purpose
37,2013-07-10,3:09:24 PM,1,Sapl0050,1,2013-06-07,3,4,22000.0,	Office Purpose
38,2013-07-10,3:10:07 PM,1,Sapl0050,1,10-06-2013,3,4,250000.0,	Office Purpose
39,2013-07-10,3:10:38 PM,1,Sapl0050,1,2013-06-12,3,4,40000.0,	Office Purpose
