Id,SysDate,SysTime,SessionId,CompId,FinYearId,SupplierId,OpeningAmt
5,2013-10-26,6:36:06 PM,Sapl0174,1,1,A007,9108.0
6,2013-10-28,5:36:19 PM,Sapl0174,1,1,A003,6280.0
7,2013-10-28,5:36:45 PM,Sapl0174,1,1,B002,60628.0
8,2013-10-28,5:37:52 PM,Sapl0174,1,1,D002,15421.0
9,2013-10-28,5:39:00 PM,Sapl0174,1,1,M002,67661.0
10,2013-10-28,5:39:20 PM,Sapl0174,1,1,M003,22912.0
11,2013-10-28,5:39:56 PM,Sapl0174,1,1,P016,10000.0
12,2013-10-28,5:40:33 PM,Sapl0174,1,1,N002,266742.0
13,2013-10-28,5:40:54 PM,Sapl0174,1,1,P004,120426.0
14,2013-10-28,5:41:40 PM,Sapl0174,1,1,R010,172743.0
15,2013-10-28,5:41:57 PM,Sapl0174,1,1,R008,6124.0
16,2013-10-28,5:46:13 PM,Sapl0174,1,1,S035,4725.0
18,2013-10-28,5:48:59 PM,Sapl0174,1,1,S007,51441.0
19,2013-10-28,5:49:21 PM,Sapl0174,1,1,S011,30716.0
20,2013-10-28,5:49:54 PM,Sapl0174,1,1,V004,62774.0
21,2013-10-28,5:50:14 PM,Sapl0174,1,1,V003,116824.0
24,2013-11-11,4:13:34 PM,Sapl0003,1,1,H001,5883402.04
25,2013-11-12,10:22:50 AM,Sapl0174,1,1,A002,139866.0
26,2013-11-12,10:23:19 AM,Sapl0174,1,1,A005,21489.0
28,2013-11-12,10:24:04 AM,Sapl0174,1,1,A001,91616.0
29,2013-11-12,10:24:25 AM,Sapl0174,1,1,A009,3102.0
30,2013-11-12,10:24:52 AM,Sapl0174,1,1,A006,44730.0
31,2013-11-12,10:25:36 AM,Sapl0174,1,1,A004,374502.0
32,2013-11-12,10:25:52 AM,Sapl0174,1,1,A010,20619.0
33,2013-11-12,10:26:43 AM,Sapl0174,1,1,A008,2789.0
35,2013-11-12,10:27:49 AM,Sapl0174,1,1,B005,34453.0
36,2013-11-12,10:28:06 AM,Sapl0174,1,1,B001,20893.0
37,2013-11-12,10:28:31 AM,Sapl0174,1,1,C005,20573.0
38,2013-11-12,10:28:51 AM,Sapl0174,1,1,D001,32189.0
39,2013-11-12,10:29:12 AM,Sapl0174,1,1,D004,75375.0
40,2013-11-12,10:29:50 AM,Sapl0174,1,1,D003,95819.0
41,2013-11-12,10:30:08 AM,Sapl0174,1,1,D010,180280.0
42,2013-11-12,10:30:34 AM,Sapl0174,1,1,D012,269296.0
43,2013-11-12,10:30:52 AM,Sapl0174,1,1,E002,5569.0
44,2013-11-12,10:31:38 AM,Sapl0174,1,1,E004,144384.0
46,2013-11-12,10:33:26 AM,Sapl0174,1,1,G005,20493.0
48,2013-11-12,10:34:36 AM,Sapl0174,1,1,I002,17192.0
49,2013-11-12,10:35:12 AM,Sapl0174,1,1,J001,34884.0
50,2013-11-12,10:35:43 AM,Sapl0174,1,1,K002,8217.0
51,2013-11-12,10:38:44 AM,Sapl0174,1,1,K004,1867850.0
52,2013-11-12,10:38:59 AM,Sapl0174,1,1,L001,13389.0
53,2013-11-12,10:39:18 AM,Sapl0174,1,1,L002,10291.0
54,2013-11-12,10:40:11 AM,Sapl0174,1,1,M004,343888.0
55,2013-11-12,10:40:41 AM,Sapl0174,1,1,M007,209003.0
56,2013-11-12,10:41:16 AM,Sapl0174,1,1,M012,2925.0
58,2013-11-12,10:45:34 AM,Sapl0174,1,1,P007,2791.0
59,2013-11-12,10:45:50 AM,Sapl0174,1,1,P019,2880.0
60,2013-11-12,10:46:05 AM,Sapl0174,1,1,P008,29085.0
61,2013-11-12,10:50:35 AM,Sapl0174,1,1,P002,154088.0
62,2013-11-12,10:50:59 AM,Sapl0174,1,1,P010,8235.0
63,2013-11-12,10:52:05 AM,Sapl0174,1,1,P005,47678.0
65,2013-11-12,10:52:56 AM,Sapl0174,1,1,P003,337035.0
66,2013-11-12,10:53:17 AM,Sapl0174,1,1,R004,86229.0
67,2013-11-12,10:53:56 AM,Sapl0174,1,1,R002,6696.0
72,2013-11-12,10:57:14 AM,Sapl0174,1,1,S006,31800.0
73,2013-11-12,11:03:44 AM,Sapl0174,1,1,S061,24258.0
74,2013-11-12,11:03:58 AM,Sapl0174,1,1,S040,15618.0
75,2013-11-12,11:04:29 AM,Sapl0174,1,1,S002,74283.0
76,2013-11-12,11:04:51 AM,Sapl0174,1,1,S033,38076.0
77,2013-11-12,11:05:10 AM,Sapl0174,1,1,S031,19843.0
78,2013-11-12,11:05:30 AM,Sapl0174,1,1,S003,94137.0
79,2013-11-12,11:05:46 AM,Sapl0174,1,1,S012,22499.0
82,2013-11-12,11:07:44 AM,Sapl0174,1,1,S018,128328.0
83,2013-11-12,11:08:22 AM,Sapl0174,1,1,S005,2849.0
84,2013-11-12,11:08:39 AM,Sapl0174,1,1,S029,31077.0
85,2013-11-12,11:09:00 AM,Sapl0174,1,1,S023,10633.0
86,2013-11-12,11:09:16 AM,Sapl0174,1,1,T007,2723.0
87,2013-11-12,11:09:32 AM,Sapl0174,1,1,T006,666259.0
88,2013-11-12,11:09:46 AM,Sapl0174,1,1,T013,201285.0
89,2013-11-12,11:09:59 AM,Sapl0174,1,1,T004,3935.0
90,2013-11-12,11:10:13 AM,Sapl0174,1,1,U001,54575.0
91,2013-11-12,11:13:22 AM,Sapl0174,1,1,V002,6500.0
92,2013-11-12,11:13:45 AM,Sapl0174,1,1,V006,119590.0
93,2013-11-12,11:14:03 AM,Sapl0174,1,1,V007,9335.0
