Id,SysDate,SysTime,CompId,SessionId,FinYearId,EmpId,PaymentDate,Amount,Reason,Narration,Authorize,AuthorizedDate,AuthorizedBy,AuthorizedTime,Recieved
4892,2021-12-27,1:34:01 PM,1,sapl0285,9,Sapl0191,2021-04-01,480.0,3,Material pur,1,2021-12-27,sapl0285,1:44:32 PM,0
4893,2021-12-27,1:34:32 PM,1,sapl0285,9,Sapl0054,2021-04-07,5000.0,3,onsite baroda,1,2021-12-27,sapl0285,1:45:16 PM,0
4894,2021-12-27,1:35:15 PM,1,sapl0285,9,Sapl0191,2021-04-07,5000.0,3,Transport Charges,1,2021-12-27,sapl0285,1:46:01 PM,0
4895,2021-12-27,1:35:40 PM,1,sapl0285,9,Sapl0191,2021-04-07,500.0,3,Material pur,1,2021-12-27,sapl0285,1:46:41 PM,0
4896,2021-12-27,1:36:07 PM,1,sapl0285,9,Sapl0304,2021-04-08,500.0,3,petrol exps,1,2021-12-27,sapl0285,1:47:26 PM,0
4897,2021-12-27,1:36:40 PM,1,sapl0285,9,Sapl0105,2021-04-09,500.0,3,petrol exps,1,2021-12-27,sapl0285,1:48:21 PM,0
4898,2021-12-27,1:37:13 PM,1,sapl0285,9,Sapl0302,2021-04-09,2000.0,3,teo wheeler rapiring,1,2021-12-27,sapl0285,1:49:00 PM,0
4899,2021-12-27,1:37:44 PM,1,sapl0285,9,Sapl0191,2021-04-14,1250.0,3,Material pur,1,2021-12-27,sapl0285,1:49:54 PM,0
4900,2021-12-27,1:38:25 PM,1,sapl0285,9,Sapl0191,2021-04-19,1200.0,3,Diesel In bolero,1,2021-12-27,sapl0285,1:50:33 PM,0
4901,2021-12-27,1:38:54 PM,1,sapl0285,9,Sapl0191,2021-04-21,1000.0,3,Diesel In bolero,1,2021-12-27,sapl0285,1:51:12 PM,0
4902,2021-12-27,1:39:29 PM,1,sapl0285,9,Sapl0191,2021-04-22,1000.0,3,petrol exps,1,2021-12-27,sapl0285,1:51:52 PM,0
4903,2021-12-27,1:39:54 PM,1,sapl0285,9,Sapl0191,2021-04-24,500.0,3,Material pur,1,2021-12-27,sapl0285,1:52:31 PM,0
4904,2021-12-27,1:40:21 PM,1,sapl0285,9,Sapl0191,2021-04-27,500.0,3,Material pur,1,2021-12-27,sapl0285,1:53:15 PM,0
4905,2021-12-27,1:40:47 PM,1,sapl0285,9,Sapl0304,2021-04-27,500.0,3,petrol exps,1,2021-12-27,sapl0285,1:54:01 PM,0
4906,2021-12-27,1:41:13 PM,1,sapl0285,9,Sapl0191,2021-04-28,500.0,3,petrol in alto,1,2021-12-27,sapl0285,1:54:45 PM,0
4907,2021-12-27,1:42:11 PM,1,sapl0285,9,Sapl0322,2021-04-30,10500.0,3,"Diesel In bolero,genset & other",1,2021-12-27,sapl0285,1:55:28 PM,0
4908,2021-12-27,1:42:43 PM,1,sapl0285,9,Sapl0191,2021-04-30,640.0,3,Material pur,1,2021-12-27,sapl0285,1:56:10 PM,0
4909,2021-12-27,1:43:10 PM,1,sapl0285,9,Sapl0191,2021-04-30,3000.0,3,Material pur,1,2021-12-27,sapl0285,1:56:50 PM,0
4910,2022-01-04,1:54:59 PM,1,Sapl0350,9,Sapl0350,2022-01-04,1500.0,3,"FOR CABLE TIE, POLYSTER PUTTI, CONNECTORS",1,2022-01-30,sapl0285,3:42:41 PM,0
4911,2022-01-05,10:04:17 AM,1,sapl0350                                         ,9,Sapl0350,2022-01-05,1500.0,3,"for janta mseal,fountain nozzle,8x90 allen bolt",1,2022-01-30,sapl0285,3:41:46 PM,0
4912,2022-01-05,1:22:08 PM,1,sapl0350                                         ,9,Sapl0350,2022-01-05,1000.0,3,"FOR CUTTING OIL,LUBRICATION OIL",1,2022-01-30,sapl0285,3:41:02 PM,0
4913,2022-01-10,9:12:10 AM,1,sapl0285,9,Sapl0327,2021-05-05,3000.0,1,personal (Sandip Jagdale),1,2022-01-10,sapl0285,9:18:46 AM,0
4914,2022-01-10,9:12:41 AM,1,sapl0285,9,Sapl0191,2021-05-08,5800.0,3,Material pur,1,2022-01-10,sapl0285,9:19:26 AM,0
