Id,InvoiceNo,ItemId,ReqQty,Qty,AmtInPer,Rate,MId,Unit
2770,0001,2193,1.0,1.0,100.0,245000.0,870,1
2771,0002,2231,12.0,12.0,100.0,2300.0,871,3
2772,0002,2232,20.0,20.0,100.0,2300.0,871,3
2773,0002,2233,4.0,4.0,100.0,4000.0,871,9
2774,0003,2237,10.0,10.0,100.0,2200.0,872,1
2775,0004,2234,6.0,6.0,100.0,2500.0,873,3
2776,0004,2235,4.0,4.0,100.0,2000.0,873,1
2778,0005,2230,1.0,1.0,100.0,45000.0,875,9
2779,0006,2238,3.0,3.0,100.0,10800.0,876,1
2780,0006,2239,15.0,15.0,100.0,2520.0,876,3
2781,0006,2240,36.0,36.0,100.0,2520.0,876,3
2782,0007,2236,1.0,1.0,100.0,85000.0,877,1
2783,0008,2191,1.0,1.0,100.0,1299400.0,878,1
2784,0009,2244,3.0,3.0,100.0,13104.0,879,3
2785,0010,2192,1.0,1.0,100.0,851000.0,880,1
2790,0011,2247,48.0,48.0,100.0,2300.0,883,3
2791,0011,2248,16.0,16.0,100.0,2300.0,883,3
2792,0011,2249,4.0,4.0,100.0,10000.0,883,9
2793,0012,2251,4.0,4.0,100.0,2000.0,884,1
2794,0013,2167,1.0,1.0,100.0,280000.0,885,1
2795,0014,2176,1.0,1.0,100.0,310000.0,886,1
2796,0015,2177,1.0,1.0,100.0,360000.0,887,1
2797,0016,2190,1.0,1.0,100.0,958000.0,888,16
2798,0017,2250,1.0,1.0,100.0,275000.0,889,1
2799,0018,2253,5.0,5.0,100.0,5250.0,890,1
2800,0019,2258,6.0,6.0,100.0,2200.0,891,1
2802,0020,2173,1.0,1.0,100.0,980000.0,893,1
2803,0021,2261,5.0,5.0,100.0,4100.0,894,1
2804,0021,2262,5.0,5.0,100.0,4100.0,894,1
2805,0022,2255,75.0,75.0,100.0,2496.0,895,3
2806,0022,2256,200.0,200.0,100.0,2496.0,895,3
2807,0022,2257,30.0,30.0,100.0,9600.0,895,1
2808,0023,2259,1.0,1.0,100.0,38000.0,896,1
2809,0024,2260,18.0,18.0,100.0,4000.0,897,9
2811,0025,2291,3.0,3.0,100.0,10800.0,912,9
2814,0026,2089,1.0,1.0,100.0,34851000.0,915,1
2815,0027,2300,400.0,400.0,100.0,16.51,916,3
2816,0027,2301,1000.0,1000.0,100.0,43.34,916,3
2817,0027,2302,900.0,900.0,100.0,59.3,916,3
2818,0027,2303,100.0,100.0,100.0,37.77,916,3
2819,0028,2252,1.0,1.0,100.0,4840000.0,917,1
2820,0029,2308,6.0,6.0,100.0,2200.0,918,1
2821,0030,2304,18.0,18.0,100.0,1813.0,919,16
2822,0030,2305,12.0,12.0,100.0,3063.0,919,16
2823,0031,2241,1.0,1.0,100.0,890000.0,920,16
2824,0032,2306,1.0,1.0,100.0,9000.0,921,25
2825,0033,2307,1.0,1.0,100.0,642645.0,922,16
2826,0034,2242,2.0,2.0,100.0,1617000.0,923,16
2827,0035,2309,5.0,5.0,100.0,12000.0,924,1
2828,0035,2310,5.0,5.0,100.0,12000.0,924,1
2829,0035,2311,24.0,30.0,100.0,3120.0,924,1
2830,0035,2312,30.0,30.0,100.0,3120.0,924,1
2831,0036,2313,2.0,2.0,100.0,4100.0,925,1
2832,0036,2314,8.0,8.0,100.0,4400.0,925,1
2833,0037,2315,2.0,2.0,100.0,82400.0,926,1
2834,0038,2178,1.0,1.0,100.0,300000.0,927,1
2835,0039,2321,1.0,1.0,100.0,360000.0,928,1
2836,0040,2266,19.0,20.0,100.0,3450.0,929,16
2837,0040,2268,20.0,20.0,100.0,3450.0,929,16
2839,0041,2316,1.0,1.0,100.0,300000.0,931,1
2840,0042,2287,1.0,1.0,100.0,800000.0,932,16
2841,0042,2288,1.0,1.0,100.0,825000.0,932,16
2842,0042,2289,1.0,1.0,100.0,850000.0,932,16
2843,0042,2290,1.0,1.0,100.0,300000.0,932,16
2844,0043,2324,6.0,6.0,100.0,20000.0,933,1
2845,0044,2325,37500.0,37500.0,100.0,1.0,934,1
2846,0044,2326,25000.0,25000.0,100.0,1.0,934,1
2847,0045,2317,65.0,65.0,100.0,380.0,935,1
2848,0045,2318,13.0,13.0,100.0,760.0,935,1
2849,0046,2327,8.0,8.0,100.0,3500.0,936,1
2851,0047,2286,0.25,1.0,100.0,22507000.0,938,1
2852,0048,2286,0.25,1.0,100.0,22507000.0,939,1
2853,0049,2319,1.0,5.0,100.0,620800.0,940,1
2854,0050,2286,0.5,1.0,100.0,22507000.0,941,1
2855,0051,2328,5000.0,160000.0,100.0,78.0,942,1
2856,0052,2328,5100.0,160000.0,100.0,85.0,943,2
2859,0053,2330,1.0,1.0,100.0,926000.0,946,1
2860,0054,2319,4.0,5.0,100.0,461200.0,947,1
2861,0055,2331,2.0,2.0,100.0,17000.0,948,16
2862,0055,2332,2.0,2.0,100.0,17000.0,948,16
2863,0055,2333,2.0,2.0,100.0,17000.0,948,16
2864,0055,2334,2.0,2.0,100.0,17000.0,948,16
2865,0056,2106,1.0,1.0,100.0,218376.0,949,1
2866,0056,2117,1.0,1.0,100.0,41616.0,949,1
2867,0056,2118,1.0,1.0,100.0,36700.0,949,1
2868,0056,2119,1.0,1.0,100.0,34000.0,949,1
2869,0056,2120,1.0,1.0,100.0,34000.0,949,1
2870,0056,2122,1.0,1.0,100.0,244308.0,949,1
2871,0057,2328,14240.0,160000.0,100.0,85.0,950,2
2872,0058,2320,1.0,1.0,100.0,32470000.0,951,1
2873,0059,2328,6670.0,160000.0,100.0,85.0,952,2
2874,0060,2328,15000.0,160000.0,100.0,85.0,953,2
2879,0062,2328,1356.0,160000.0,100.0,85.0,958,1
2880,0063,2328,990.0,160000.0,100.0,85.0,959,2
2882,0001,2336,4.0,4.0,100.0,2200.0,961,1
2883,0002,2337,2.0,2.0,100.0,4100.0,962,16
2884,0002,2338,8.0,8.0,100.0,4400.0,962,16
2885,0003,2339,6.0,6.0,100.0,2500.0,963,3
2886,0003,2340,4.0,4.0,100.0,2000.0,963,1
2887,0004,2341,12.0,12.0,100.0,2500.0,964,3
2888,0004,2342,16.0,16.0,100.0,2000.0,964,1
2889,0005,2343,6.0,6.0,100.0,2500.0,965,3
2890,0005,2344,12.0,12.0,100.0,2000.0,965,1
2891,0006,2346,4.0,4.0,100.0,70000.0,966,1
2892,0006,2347,2.0,2.0,100.0,45000.0,966,1
2893,0006,2348,6.0,6.0,100.0,33400.0,966,1
2896,0007,2328,1165.0,160000.0,100.0,85.0,968,1
2897,0008,2349,6.0,6.0,100.0,2800.0,969,3
2898,0008,2350,4.0,4.0,100.0,2250.0,969,1
2899,0009,2271,20.0,20.0,100.0,3400.0,970,16
2900,0010,2345,4.0,4.0,100.0,95000.0,971,16
2902,0011,2267,20.0,20.0,100.0,3800.0,973,16
2903,0011,2275,20.0,20.0,100.0,3980.0,973,16
2904,0011,2276,20.0,20.0,100.0,3800.0,973,16
2905,0011,2280,20.0,20.0,100.0,3850.0,973,16
2906,0011,2283,20.0,20.0,100.0,3800.0,973,16
2907,0012,2351,5.0,5.0,100.0,4100.0,974,16
2908,0012,2352,5.0,5.0,100.0,4400.0,974,16
2909,0013,2265,20.0,20.0,100.0,3000.0,975,16
2910,0013,2269,20.0,20.0,100.0,3450.0,975,16
2911,0013,2270,20.0,20.0,100.0,3450.0,975,16
2912,0013,2272,20.0,20.0,100.0,3400.0,975,16
2913,0013,2273,20.0,20.0,100.0,3400.0,975,16
2914,0013,2274,20.0,20.0,100.0,3200.0,975,16
2915,0013,2277,20.0,20.0,100.0,3980.0,975,16
2916,0013,2278,20.0,20.0,100.0,3980.0,975,16
2917,0013,2282,20.0,20.0,100.0,3800.0,975,16
2918,0013,2284,20.0,20.0,100.0,3800.0,975,16
