Id,SysDate,SysTime,CompId,FinYearId,SessionId,InvoiceNo,PONo,WONo,InvoiceMode,DateOfIssueInvoice,DateOfRemoval,TimeOfIssueInvoice,TimeOfRemoval,NatureOfRemoval,Commodity,TariffHeading,ModeOfTransport,RRGCNo,VehiRegNo,DutyRate,CustomerCode,CustomerCategory,Buyer_name,Buyer_add,Buyer_state,Buyer_country,Buyer_cotper,Buyer_ph,Buyer_email,Buyer_ecc,Buyer_tin,Buyer_mob,Buyer_fax,Buyer_vat,Cong_name,Cong_add,Cong_state,Cong_country,Cong_cotper,Cong_ph,Cong_email,Cong_ecc,Cong_tin,Cong_mob,Cong_fax,Cong_vat,AddType,AddAmt,DeductionType,Deduction,PFType,PF,CENVAT,SEDType,SED,AEDType,AED,VAT,SelectedCST,CST,FreightType,Freight,InsuranceType,Insurance,POId,OtherAmt,Buyer_city,Cong_city
870,2018-04-17,12:18:57 PM,1,6,sapl0031,0001,IND4130632,"565,",3,2018-04-04,2018-04-04,10:25:00 AM,10:35:00 AM,2,10,,3,-,-,-,C015,1,"CUMMINS TECHNOLOGIES INDIA PVT. LTD., PHALTAN [C015]","SEZ Unit:Plot No. B3/1, PHP/IEBU (MEGASITE Phaltan),Village Surwadi Nandal-, Taluka Phaltan,",21,1,Vijay Botre,(877) 3774357,ramchandra.b.nimbalkar@cummins.com,-,27AABCT2018B8ZR,9922932785,-,27080711399V  Dt. 27.05.2009,"CUMMINS TECHNOLOGIES INDIA PVT. LTD., PHALTAN [C015]","SEZ Unit:Plot No. B3/1, PHP/IEBU (MEGASITE Phaltan),Village Surwadi Nandal-, Taluka Phaltan,",21,1,Vijay Botre,(877) 3774357,ramchandra.b.nimbalkar@cummins.com,-,27AABCT2018B8ZR,9922932785,-,27080711399V  Dt. 27.05.2009,0,0.0,0,0.0,0,0.0,33,0,0.0,0,0.0,0,0,1,0,0.0,0,0.0,588,0.0,409,409
871,2018-04-17,12:24:15 PM,1,6,sapl0031,0002,U5BO11803000070,"575,",3,2018-04-07,2018-04-07,10:30:00 AM,10:40:00 AM,2,4,,3,-,-,-,S030,1,SHARADA INDUSTRIES UNIT 5 [S030],"KHASRA NO. 1262SA, GOYLA INDUSTRIAL AREACHINAHAT LUCKNOW 227105",33,1,Mrs. Kanchan Pant,9552503553,sharadalucknow@gmail.com,AAZPM6524EXM005,09AAZPM6524E1Z7,9552503553,-,-,SHARADA INDUSTRIES UNIT 5 [S030],"KHASRA NO. 1262SA, GOYLA INDUSTRIAL AREACHINAHAT LUCKNOW 227105",33,1,Mrs. Kanchan Pant,9552503553,sharadalucknow@gmail.com,AAZPM6524EXM005,09AAZPM6524E1Z7,9552503553,-,-,0,0.0,0,0.0,0,0.0,33,0,0.0,0,0.0,0,0,1,0,0.0,0,0.0,598,0.0,696,696
872,2018-05-07,4:11:49 PM,1,6,Sapl0031,0003,PUOR18000463,"578,",3,2018-05-07,2018-05-07,04:10:00 PM,04:20:00 PM,2,1,,3,-,-,-,S011,1,SHANTI IRON & STEEL [S011],"690, UDYAMBAG,INDUSTRIAL ESTATE,",17,1,shantilal Porwal,"0831-2440972/3, 2442122",svp@shantiiron.net,AAFFS4372N-XM001,29AAFFS4372N1ZJ,9945221972,0831-2440975,-,SHANTI IRON & STEEL [S011],"690, UDYAMBAG,INDUSTRIAL ESTATE,",17,1,shantilal Porwal,"0831-2440972/3, 2442122",svp@shantiiron.net,AAFFS4372N-XM001,29AAFFS4372N1ZJ,9945221972,0831-2440975,-,0,0.0,0,0.0,0,0.0,33,0,0.0,0,0.0,0,0,1,0,0.0,0,0.0,601,0.0,295,295
873,2018-05-08,8:49:58 AM,1,6,Sapl0031,0004,05,"576,",2,2018-05-08,2018-05-08,09:10:00 AM,09:20:00 AM,2,4,,3,-,-,-,T016,1,TECHEXPERT ENGINEERING PVT.LTD. [T016],"78, Shivane Industrial Area, Shivane,Off NDA Road, Pune -411023",21,1,Pankaj Jadhav,9890013871,info@techexpertindia.com,AAFCT7235C EM001,27AAFCT7235C1ZF,9168608340,-,27311206797V w.e.f. 11/06/2016,TECHEXPERT ENGINEERING PVT.LTD. [T016],"78, Shivane Industrial Area, Shivane,Off NDA Road, Pune -411023",21,1,Pankaj Jadhav,9890013871,info@techexpertindia.com,AAFCT7235C EM001,27AAFCT7235C1ZF,9168608340,-,27311206797V w.e.f. 11/06/2016,0,0.0,0,0.0,0,0.0,31,0,0.0,0,0.0,94,0,0,0,0.0,0,0.0,599,0.0,405,405
875,2018-05-15,8:53:17 AM,1,6,Sapl0031,0005,IND4198214,"574,",2,2018-05-15,2018-05-15,09:00:00 AM,09:10:00 AM,2,1,,3,-,-,-,C004,1,CUMMINS INDIA LIMITED [C004],KOTHRUD,21,1,Mr. Rahul Dandgule,25385435 EXT - 3135,adesh.a.sheth@cummins.com,AAACC7258BST001,27AAACC7258B1ZW,9881949602,-,27410344315/V DT 01/04/06,CUMMINS INDIA LIMITED [C004],KOTHRUD,21,1,Mr. Rahul Dandgule,25385435 EXT - 3135,adesh.a.sheth@cummins.com,AAACC7258BST001,27AAACC7258B1ZW,9881949602,-,27410344315/V DT 01/04/06,0,0.0,0,0.0,0,0.0,31,0,0.0,0,0.0,94,0,0,0,0.0,0,0.0,597,0.0,405,405
876,2018-05-17,1:50:33 PM,1,6,Sapl0031,0006,PROTOD/2018-19/-481,"579,",2,2018-05-17,2018-05-17,01:50:00 PM,02:00:00 PM,2,4,,3,-,-,-,P012,1,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,0,0.0,0,0.0,0,0.0,31,0,0.0,0,0.0,94,0,0,0,0.0,0,0.0,602,0.0,405,405
877,2018-05-17,1:52:05 PM,1,6,Sapl0031,0007,PROTOD/2018-19/-390,"577,",2,2018-05-17,2018-05-17,02:10:00 PM,02:20:00 PM,2,10,,3,-,-,-,P012,1,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,0,0.0,0,0.0,0,0.0,31,0,0.0,0,0.0,94,0,0,0,0.0,0,0.0,600,0.0,405,405
878,2018-05-17,1:56:42 PM,1,6,Sapl0031,0008,PROTOD/2017-18/-2870,"564,",2,2018-05-17,2018-05-17,02:30:00 PM,02:40:00 PM,2,10,,3,-,-,-,P012,1,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,0,0.0,0,0.0,0,0.0,32,0,0.0,0,0.0,95,0,0,0,0.0,0,0.0,587,0.0,405,405
879,2018-05-23,8:50:29 AM,1,6,Sapl0031,0009,PROTOD/2018-19/-621,"583,",2,2018-05-23,2018-05-23,08:50:00 AM,09:00:00 AM,2,4,,3,-,-,-,P012,1,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,0,0.0,0,0.0,0,0.0,31,0,0.0,0,0.0,94,0,0,0,0.0,0,0.0,606,0.0,405,405
880,2018-05-23,1:13:50 PM,1,6,Sapl0031,0010,PROTOD/2017-18/-2870,"564,",2,2018-05-23,2018-05-23,01:25:00 PM,01:35:00 PM,2,10,,3,-,-,-,P012,1,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,PROTO D ENGINEERING [P012],"Plot No-57/357,,Waghjainagar, kharabwadi chakan,Chakan,Pune-410501",21,1,Mr. Shirse,7447439712,purchase@protodengineering.com,AAKFP4660PEM004,27AAKFP4660P1ZI,7447439712,-,-,0,0.0,0,0.0,0,0.0,32,0,0.0,0,0.0,95,0,0,0,0.0,0,0.0,587,0.0,405,405
