Id,SysDate,SysTime,SessionId,CompId,FinYearId,TINo,EmpId,Type,WONo,BGGroupId,ProjectName,TourStartDate,TourStartTime,TourEndDate,TourEndTime,NoOfDays,NameAddressSerProvider,ContactPerson,ContactNo,Email,PlaceOfTourCountry,PlaceOfTourState,PlaceOfTourCity
2,2013-12-17,4:42:45 PM,Sapl0174,1,1,0001,Sapl0039,1,NA,2,INSTALLATION,2013-04-02,04:25:00:PM,2013-04-02,04:25:00:PM,7,PHALTAN wo NO 0788,-,-,-,1,21,405
3,2013-12-17,4:42:22 PM,Sapl0174,1,1,0002,Sapl0103,1,NA,2,iNSTALLATION FOR WO 0788,2013-04-02,04:40:00:PM,2013-04-02,04:40:00:PM,7,-,-,-,-,1,21,405
4,2013-12-17,4:45:00 PM,Sapl0174,1,1,0003,Sapl0097,1,NA,2,iNSTALLATION FOR WO 0788,2013-04-02,04:42:00:PM,2013-04-04,04:42:00:PM,7,-,-,-,-,1,21,405
5,2013-12-17,4:46:51 PM,Sapl0174,1,1,0004,Sapl0102,1,NA,2,iNSTALLATION FOR WO 0788,2013-04-02,04:45:00:PM,2013-04-02,04:45:00:PM,7,-,-,-,-,1,21,405
6,2013-12-17,4:49:30 PM,Sapl0174,1,1,0005,Sapl0048,1,NA,2,iNSTALLATION FOR WO 0788,2013-04-02,04:46:00:PM,2013-04-02,04:46:00:PM,7,-,-,-,-,1,21,405
7,2013-12-17,4:51:50 PM,Sapl0174,1,1,0006,Sapl0049,1,NA,2,iNSTALLATION FOR WO 0788,2013-04-02,04:49:00:PM,2013-04-02,04:49:00:PM,7,-,-,-,-,1,21,405
8,2013-12-17,4:53:50 PM,Sapl0174,1,1,0007,Sapl0077,1,NA,2,FIXTURE,2013-04-04,04:51:00:PM,2013-04-04,04:51:00:PM,10,-,-,-,-,1,21,405
9,2013-12-17,4:55:51 PM,Sapl0174,1,1,0008,Sapl0135,1,NA,2,INSTALLATION OF FIXTURE STAGE 21,2013-04-05,04:53:00:PM,2013-04-05,04:53:00:PM,10,-,-,-,-,1,21,405
10,2013-12-17,4:58:22 PM,Sapl0174,1,1,0009,Sapl0014,1,NA,2,HIGH DECK LOAD BODY,2013-04-13,04:55:00:PM,2013-04-13,04:55:00:PM,10,-,-,-,-,1,21,405
11,2013-12-17,5:00:52 PM,Sapl0174,1,1,0010,Sapl0097,1,NA,2,FLOOR LINE WO NO 0647,2013-04-13,04:58:00:PM,2013-04-13,04:58:00:PM,10,-,-,-,-,1,34,652
12,2013-12-17,5:02:39 PM,Sapl0174,1,1,0011,Sapl0040,1,NA,2,0653\0714,2013-04-13,05:00:00:PM,2013-04-20,05:00:00:PM,10,-,-,-,-,1,20,363
13,2013-12-17,5:04:14 PM,Sapl0174,1,1,0012,Sapl0080,1,NA,2,TATAMOTORS FOR WO NO 714,2013-04-13,05:02:00:PM,2013-04-13,05:02:00:PM,10,-,-,-,-,1,20,363
14,2013-12-17,5:06:34 PM,Sapl0174,1,1,0013,Sapl0003,1,NA,10,BUSINESS DEVELOPMENT,2013-04-20,05:04:00:PM,2013-04-22,05:04:00:PM,2,-,-,-,-,1,10,134
15,2013-12-17,5:08:12 PM,Sapl0174,1,1,0014,Sapl0077,1,NA,2,FIXTURE WO NO 0736,2013-05-05,05:06:00:PM,2013-05-10,05:06:00:PM,5,-,-,-,-,1,21,405
