Id,MId,TDMId,SanctionedAmount,Remarks
22,9,1,4700.0,
23,9,2,810.0,
24,9,3,1416.0,
25,9,4,745.0,
26,9,5,0.0,
27,9,6,0.0,
28,10,1,2102.0,
29,10,2,0.0,
30,10,3,0.0,
31,10,4,0.0,
32,10,5,0.0,
33,10,6,0.0,
34,11,1,1152.0,
35,11,2,540.0,
36,11,3,750.0,
37,11,4,885.0,
38,11,5,0.0,
39,11,6,0.0,
40,12,1,1766.0,
41,12,2,0.0,
42,12,3,0.0,
43,12,4,0.0,
44,12,5,0.0,
45,12,6,0.0,
46,13,1,0.0,
47,13,2,550.0,
48,13,3,0.0,
49,13,4,0.0,
50,13,5,200.0,
51,13,6,0.0,
52,14,1,580.0,
53,14,2,540.0,
54,14,3,696.0,
55,14,4,475.0,
56,14,5,0.0,
57,14,6,0.0,
58,15,1,563.0,
59,15,2,13600.0,
60,15,3,5700.0,
61,15,4,3380.0,
62,15,5,0.0,
63,15,6,0.0,
64,16,1,984.0,
65,16,2,675.0,
66,16,3,1200.0,
67,16,4,855.0,
68,16,5,0.0,
69,16,6,0.0,
70,17,1,1105.0,
71,17,2,0.0,
72,17,3,772.0,
73,17,4,0.0,
74,17,5,0.0,
75,17,6,0.0,
76,18,1,5885.0,
77,18,2,0.0,
78,18,3,187.0,
79,18,4,0.0,
80,18,5,0.0,
81,18,6,0.0,
82,19,1,3645.0,
83,19,2,1660.0,
84,19,3,0.0,
85,19,4,0.0,
86,19,5,0.0,
87,19,6,0.0,
88,20,1,14740.0,
89,20,2,3437.0,
90,20,3,0.0,
91,20,4,0.0,
92,20,5,0.0,
93,20,6,0.0,
94,21,1,6105.0,
95,21,2,2760.0,
96,21,3,0.0,
97,21,4,0.0,
98,21,5,0.0,
99,21,6,0.0,
100,22,1,0.0,
101,22,2,2430.0,
102,22,3,0.0,
103,22,4,490.0,
104,22,5,1471.0,
105,22,6,0.0,
106,23,1,2340.0,
107,23,2,600.0,
108,23,3,365.0,
109,23,4,0.0,
110,23,5,0.0,
111,23,6,0.0,
112,24,1,613.0,
113,24,2,6800.0,
114,24,3,5510.0,
115,24,4,0.0,
116,24,5,42691.0,
117,24,6,0.0,
