Id,TIMId,SysDate,SysTime,SessionId,CompId,FinYearId,TVNo,AmtBalTowardsCompany,AmtBalTowardsEmployee
9,31,2013-12-18,7:17:19 PM,Sapl0174,1,1,0001,0.0,1329.0
10,35,2013-12-18,7:22:22 PM,Sapl0174,1,1,0002,0.0,0.0
11,36,2013-12-18,7:26:46 PM,Sapl0174,1,1,0003,0.0,0.0
12,30,2013-12-18,7:29:30 PM,Sapl0174,1,1,0004,0.0,2504.0
13,37,2013-12-18,7:33:39 PM,Sapl0174,1,1,0005,0.0,250.0
14,38,2013-12-18,7:36:38 PM,Sapl0174,1,1,0006,291.0,0.0
15,39,2013-12-18,7:40:07 PM,Sapl0174,1,1,0007,2243.0,0.0
16,29,2013-12-18,7:41:25 PM,Sapl0174,1,1,0008,1714.0,0.0
17,40,2013-12-18,7:44:10 PM,Sapl0174,1,1,0009,377.0,0.0
18,41,2013-12-18,7:47:39 PM,Sapl0174,1,1,0010,0.0,1428.0
19,42,2013-12-20,4:02:42 PM,Sapl0174,1,1,0011,0.0,1695.0
20,13,2013-12-18,7:54:02 PM,Sapl0174,1,1,0012,13177.0,0.0
21,43,2013-12-18,7:57:28 PM,Sapl0174,1,1,0013,1865.0,0.0
22,25,2013-12-18,8:01:10 PM,Sapl0174,1,1,0014,0.0,609.0
23,44,2013-12-18,8:04:55 PM,Sapl0174,1,1,0015,0.0,0.0
24,45,2013-12-18,8:08:35 PM,Sapl0174,1,1,0016,0.0,1727.0
