Id,SectionNo,NatureOfPayment,PaymentRange,PayToIndividual,Others,WithOutPAN
1,193,Interest on Debentures,5000.0,10.0,10.0,20.0
2,194,Deemed Dividend,0.0,10.0,10.0,20.0
3,194 A,Interest by banks (Other than interest on securities),10000.0,10.0,10.0,20.0
4,194 B,Winnings from Lotteries / Puzzle / Game,10000.0,30.0,30.0,20.0
5,194 BB,Winnings from Horse Race,5000.0,30.0,30.0,20.0
6,194 C (1),Payment to Contractors,30000.0,1.0,2.0,20.0
7,194 C (2),Payment to Sub-Contractors / for Advertisements,30000.0,1.0,2.0,20.0
8,194 D,Payment of Insurance Commission,20000.0,10.0,10.0,20.0
9,194 EE,Out of deposits under NSS,2500.0,20.0,0.0,20.0
10,194 G,Commission on Sale of Lottery tickets,1000.0,10.0,10.0,20.0
11,194 H,Commission or Brokerage,5000.0,10.0,10.0,20.0
12,194 I,"Rent of Land, Building or Furniture",180000.0,10.0,10.0,20.0
13,194 I,Rent of Plant & Machinery,180000.0,2.0,2.0,20.0
14,194 J,"Professional / technical services, royalty",30000.0,10.0,10.0,20.0
15,194 J (1),Remuneration / commission to director of the company,0.0,10.0,10.0,20.0
16,194 J (ba),"w.e.f. 01 .07.2012, Any remuneration / fees / commission to a director of a company, other than those on which tax is deductible under section 192",0.0,10.0,10.0,20.0
17,194 LA,Compensation on acquisition of certain immovable property,200000.0,10.0,10.0,20.0
18,194 IA,Compensation on transfer of certain immovable property other than agricultural land (w.e.f. 01 .06.2013) Consideration is Rs. 50 lakh or more,0.0,1.0,1.0,20.0
19,194LD,Interest on certain bonds & Govt. securities (w.e.f. 01 .06.2013),0.0,5.0,5.0,20.0
20,194 A,Interest by Others (Other than interest on securities),5000.0,10.0,10.0,20.0
