Id,EquipmentNo,UnitNo,PartNo,PId,CId,ItemId,Qty
1,99999,1,99999-01-00,0,1,14066,1.0
2,,,,1,2,12010,6.0
3,,,,1,3,3265,0.6
4,,,,1,4,3291,2.0
5,,,,1,5,6394,2.0
6,,,,1,6,6574,2.0
7,,,,1,7,10800,2.0
8,,,,1,8,13777,2.0
9,,,,1,9,13778,2.0
10,,,,1,10,13779,4.0
11,,,,1,11,13780,1.0
12,,,,1,12,13781,4.0
13,,,,1,13,13782,2.0
14,,,,1,14,13783,1.0
15,,,,1,15,13784,1.0
16,99999,2,99999-02-00,0,16,14067,1.0
17,,,,16,17,11856,6.0
18,,,,16,18,6318,6.0
19,,,,16,19,6452,6.0
20,,,,16,20,13787,1.0
21,99999,3,99999-03-00,0,21,14068,1.0
22,,,,21,22,12010,4.0
23,,,,21,23,6574,2.0
24,,,,21,24,10800,2.0
25,,,,21,25,13778,2.0
26,,,,21,26,13779,4.0
27,,,,21,27,13780,1.0
28,,,,21,28,13782,2.0
29,,,,21,29,13783,1.0
30,,,,21,30,13790,1.0
31,99999,4,99999-04-00,0,31,14069,1.0
32,,,,31,32,11856,2.0
33,,,,31,33,6318,2.0
34,,,,31,34,13792,1.0
35,99999,5,99999-05-00,0,35,14070,1.0
36,,,,35,36,11856,6.0
37,,,,35,37,6318,6.0
38,,,,35,38,6452,6.0
39,,,,35,39,13796,1.0
40,99999,6,99999-06-00,0,40,14071,1.0
41,,,,40,41,12010,2.0
42,,,,40,42,13778,1.0
43,,,,40,43,13779,2.0
44,,,,40,44,13939,1.0
45,,,,40,45,13799,1.0
46,99999,7,99999-07-00,0,46,14072,1.0
47,,,,46,47,11858,2.0
48,,,,46,48,6073,1.0
49,,,,46,49,6325,2.0
50,,,,46,50,7218,4.0
51,,,,46,51,7269,4.0
52,,,,46,52,13802,3.0
53,,,,46,53,13803,2.0
54,,,,46,54,13804,1.0
55,99999,8,99999-08-00,0,55,14073,1.0
56,,,,55,56,7205,1.0
57,,,,55,57,6379,1.0
58,,,,55,58,7217,2.0
59,,,,55,59,13806,1.0
60,99999,9,99999-09-00,0,60,14074,1.0
61,,,,60,61,6572,1.0
62,,,,60,62,6318,6.0
63,,,,60,63,7216,6.0
64,,,,60,64,7218,1.0
65,,,,60,65,7263,2.0
66,,,,60,66,7269,1.0
67,,,,60,67,13802,1.0
68,,,,60,68,13808,1.0
69,,,,60,69,13810,1.0
70,,,,60,70,14055,0.08
71,,,,60,71,14056,2.0
72,,,,46,72,3269,1.0
73,,,,46,73,3293,2.0
74,99999,11,99999-11-00,0,74,31815,1.0
