Id,Length,No,MId
2,2.5,200.0,2
3,1.5,56.0,3
4,1.0,6.0,3
5,3.0,10.0,4
6,3.0,50.0,5
7,3.0,50.0,5
8,3.0,8.0,6
13,3.0,4.0,11
14,4.0,50.0,12
15,4.0,12.0,13
16,4.0,40.0,14
17,4.0,23.0,15
18,4.0,15.0,16
19,4.0,15.0,17
20,3.8,6.0,18
21,3.6,8.0,18
22,3.2,10.0,18
23,3.0,200.0,19
24,2.0,12.0,20
25,2.0,16.0,20
26,3.0,20.0,20
27,2.5,30.0,20
28,4.0,5.0,20
29,2.0,17.0,20
30,3.0,9.0,21
31,3.0,11.0,22
32,2.5,14.0,23
33,3.0,9.0,24
34,3.0,7.0,24
35,4.3,4.0,24
36,2.5,2.0,24
37,2.5,2.0,24
39,2.5,9.0,26
40,2.5,14.0,27
41,2.0,5.0,28
