Id,Length,No,MId
2,2.5,7.0,2
3,2.2,3.0,3
4,1.5,2.0,3
5,2.5,13.0,4
6,2.0,1.0,4
7,1.9,2.0,4
8,2.5,20.0,5
9,3.5,50.0,6
10,2.5,12.0,6
11,2.5,14.0,7
12,2.5,4.0,8
13,3.0,8.0,9
14,4.5,1.0,10
15,1.5,12.0,11
16,1.5,1.0,12
17,1.5,4.0,13
19,1.0,1.0,15
28,1.5,28.0,20
29,1.5,30.0,20
30,1.0,6.0,20
31,125.0,4.0,21
32,1.5,4.0,22
33,3.3,2.0,23
34,2.5,7.0,24
35,2.7,1.0,24
36,3.0,2.0,24
37,3.6,23.0,25
38,1.0,1.0,26
39,3.0,12.0,27
40,2.0,2.0,28
41,4.0,13.0,29
42,2.5,2.0,29
43,2.5,30.0,30
44,1.7,24.0,31
45,1.7,20.0,31
46,5.0,4.0,32
47,4.5,6.0,33
48,2.5,5.0,34
49,2.5,14.0,35
50,2.5,30.0,36
51,5.5,2.0,37
