Id,Length,No,MId
2,125.0,4.0,2
3,38.0,6.0,3
4,50.0,2.0,3
5,12.0,4.0,3
6,1.0,1.0,4
7,6.0,25.0,5
8,6.0,25.0,5
9,3.0,16.0,6
18,10.0,2.0,11
19,72.0,4.0,12
20,4.0,2.0,12
21,36.0,2.0,13
22,15.0,2.0,14
23,12.0,2.0,14
24,5.5,2.0,14
25,12.0,4.0,14
26,4.5,4.0,14
27,20.0,2.0,14
28,15.0,2.0,14
29,4.0,6.0,14
30,10.0,2.0,15
31,4.0,2.0,15
32,25.0,2.0,15
33,15.0,2.0,15
34,15.0,2.0,15
35,15.0,2.0,15
36,15.0,2.0,15
37,10.0,2.0,16
38,4.0,2.0,16
39,2.0,2.0,16
40,24.0,2.0,17
41,8.0,2.0,17
42,19.0,6.0,18
43,6.0,234.0,19
44,9.0,4.0,20
45,22.5,4.0,20
46,6.0,25.0,20
47,16.0,2.0,20
48,48.0,4.0,20
49,6.0,11.0,21
50,1.0,1.0,21
51,4.0,8.0,22
52,6.0,8.0,23
53,22.0,2.0,24
54,22.0,2.0,24
55,9.0,3.0,24
56,7.0,2.0,24
57,7.0,2.0,24
59,4.0,19.0,26
60,4.0,34.0,27
61,1.0,1.0,28
