Id,Length,No,MId
2,24.0,2.0,2
3,6.0,2.0,3
4,2.5,6.0,3
5,12.2,2.0,4
6,8.2,2.0,4
7,4.2,2.0,4
8,4.3,2.0,4
9,6.5,2.0,4
10,24.0,2.0,5
11,18.0,2.0,5
12,30.0,4.0,6
13,13.0,16.0,6
14,6.0,8.0,7
15,1.0,1.0,8
16,6.0,2.0,9
17,6.0,2.0,9
18,9.0,2.0,9
19,12.0,2.0,10
20,6.0,16.0,10
21,2.0,2.0,10
22,12.0,4.0,11
23,4.0,12.0,11
24,3.0,2.0,12
25,17.0,4.0,13
28,50.0,2.0,15
41,38.0,6.0,20
42,50.0,2.0,20
43,12.0,4.0,20
44,125.0,4.0,21
45,12.0,2.0,22
46,20.5,2.0,23
47,4.0,11.0,24
48,6.0,16.0,25
49,20.5,1.0,26
50,32.0,2.0,27
51,2.5,3.0,28
52,32.5,2.0,29
53,28.5,2.0,29
54,10.0,2.0,29
55,6.0,2.0,29
56,48.0,4.0,30
57,24.0,4.0,31
58,6.0,3.0,32
59,6.3,2.0,33
60,6.0,2.0,34
61,6.0,8.0,35
62,6.0,33.0,36
63,2.0,1.0,36
64,6.0,3.0,37
