Id,SysDate,SysTime,CompId,SessionId,FinYearId,WONo,Pitch,Type
2,2013-08-14,2:48:57 PM,1,Sapl0005,1,S0026,2.0,0
3,2013-10-02,2:38:02 PM,1,Sapl0005,1,S0030,1.5,0
4,2013-12-31,3:57:18 PM,1,Sapl0005,1,S0037,2.0,0
5,2014-02-03,6:00:24 PM,1,Sapl0005,1,S0042,2.0,1
6,2014-02-03,6:01:55 PM,1,Sapl0005,1,S0040,2.0,1
7,2014-02-11,12:40:45 PM,1,Sapl0005,1,S0043,2.0,0
8,2014-03-31,6:05:45 PM,1,Sapl0005,1,S0049,2.0,1
9,2014-05-21,10:23:31 AM,1,Sapl0005,2,S0055,2.0,0
10,2014-05-22,2:44:34 PM,1,Sapl0005,2,S0053,2.0,0
11,2014-05-22,2:45:45 PM,1,Sapl0005,2,S0054,2.0,0
12,2014-06-06,12:16:09 PM,1,Sapl0005,2,S0056,2.0,1
13,2015-01-19,2:04:33 PM,1,Sapl0005,2,S0083,2.0,1
15,2015-01-24,10:13:38 AM,1,Sapl0005,2,S0084,2.0,1
20,2015-01-30,2:06:28 PM,1,Sapl0005,2,S0086,2.0,0
21,2015-03-12,9:58:57 AM,1,Sapl0005,2,S0092,2.0,0
22,2015-03-31,2:37:57 PM,1,Sapl0005,2,S0093,2.0,1
23,2015-06-24,10:30:29 AM,1,Sapl0005,3,S0097,2.0,1
24,2015-06-29,12:26:01 PM,1,Sapl0005,3,S0098,2.0,1
25,2015-07-27,9:57:55 AM,1,Sapl0005,3,S0099,2.0,1
26,2015-08-14,9:44:04 AM,1,Sapl0005,3,S0102,2.0,1
27,2015-11-05,9:25:14 AM,1,Sapl0005,3,S0115,2.0,1
28,2015-12-02,9:23:13 AM,1,Sapl0005,3,S0119,2.0,1
29,2016-08-24,2:52:52 PM,1,Sapl0005,4,S0136,2.0,1
30,2016-08-31,12:44:21 PM,1,Sapl0005,4,S0137,2.0,1
31,2016-09-03,9:34:11 AM,1,Sapl0005,4,S0139,2.0,1
32,2016-09-19,4:30:17 PM,1,Sapl0005,4,S0140,2.0,1
33,2017-01-09,2:56:05 PM,1,Sapl0005,4,S0145,2.0,1
34,2017-01-23,2:55:22 PM,1,Sapl0005,4,S0147,2.0,1
35,2017-12-09,9:23:24 AM,1,Sapl0005,5,S0158,2.0,0
36,2018-08-29,10:22:52 AM,1,Sapl0005,6,S0167,2.0,0
37,2018-10-15,11:04:21 AM,1,Sapl0005,6,S0170,2.0,1
