Id,SysDate,SysTime,CompId,SessionId,FinYearId,WONo,Pitch,Type
2,2013-07-31,12:09:05 PM,1,Sapl0006,1,S0024,1.5,0
3,2015-01-31,6:14:09 PM,1,Sapl0005,2,S0087,2.0,0
4,2015-02-14,9:55:08 AM,1,Sapl0005,2,S0089,2.0,0
5,2015-07-28,2:48:09 PM,1,Sapl0005,3,S0100,2.0,1
6,2015-08-27,9:43:29 AM,1,Sapl0005,3,S0103,2.0,1
11,2015-10-14,12:17:26 PM,1,Sapl0005,3,S0108,2.0,1
12,2015-10-14,4:56:31 PM,1,Sapl0005,3,S0109,2.0,1
13,2015-10-14,5:01:08 PM,1,Sapl0005,3,S0110,2.0,1
14,2015-10-14,5:12:46 PM,1,Sapl0005,3,S0111,2.0,1
15,2015-10-14,5:18:58 PM,1,Sapl0005,3,S0112,2.0,1
16,2015-10-14,5:21:58 PM,1,Sapl0005,3,S0113,2.0,1
17,2015-10-14,5:22:59 PM,1,Sapl0005,3,S0114,2.0,1
18,2015-11-17,1:56:21 PM,1,Sapl0005,3,S0116,2.0,1
19,2015-11-19,12:39:53 PM,1,Sapl0005,3,S0117,2.0,1
20,2016-08-24,3:51:51 PM,1,Sapl0005,4,S0138,2.0,1
21,2017-04-15,9:41:11 AM,1,Sapl0005,5,S0121,2.0,1
22,2017-06-09,1:37:47 PM,1,Sapl0005,5,S0152,2.0,1
23,2017-12-09,1:21:43 PM,1,Sapl0005,5,P0047,2.0,1
24,2018-10-11,1:12:21 PM,1,Sapl0005,6,S0171,2.0,1
26,2022-03-23,3:54:38 PM,1,Sapl0356,9,S0202,2.0,0
27,2022-03-23,4:07:41 PM,1,Sapl0356,9,S0203,2.0,0
28,2022-03-23,4:56:32 PM,1,Sapl0356,9,S0203,2.0,0
