Id,Terms,ChapHead
0,Select,0
1,Control Panal With Accessories,85030090
2,Parts for Lift and Hydraulic Carry System,84283200
3,M.S.Scrap,85021100
4,Gunrail System,84313910
5,JIB Crane Other,84263000
6,Parts For GunRail System,84313910
7,Gantry System,84289090
8,Parts for Conveyor system,84283200
9,Parts For Jigs & Fixture,84798999
10,Jigs & Fixture Other,84799090
11,Welding GUN,85152110
12,Conveyor System,84283200
13,Other Charges,998391
14,NA,
15,MD PRC,
16,GESTAMP AUTOMOTIVE INDIA PVT LTD,73269099
17,SHARADA INDUSTRIES,998873
18,GODREJ &BOYCE MFG CO LTD.,84663020
