Id,Terms,Value,AccessableValue,EDUCess,SHECess,Live,LiveSerTax
1,NA,0.0,0.0,0.0,0.0,0,0
2,Inclusive. Excise Gate pass to be submit,0.0,0.0,0.0,0.0,0,0
3,Extra as applicable,0.0,0.0,0.0,0.0,0,0
4,Importers,0.0,0.0,0.0,0.0,0,0
5,10.30%,10.3,10.0,2.0,1.0,0,0
6,12.36%,12.36,12.0,2.0,1.0,0,0
20,10.36%,10.36,10.0,2.0,1.0,0,0
21,1.26%,1.26,0.0,0.0,0.0,0,0
23,12.5%,12.5,12.5,0.0,0.0,0,0
24,14%,14.0,14.0,0.0,0.0,0,0
25,7.5%,7.5,7.5,0.0,0.0,0,0
26,14.5%,14.5,14.5,0.0,0.0,0,0
29,15%,15.0,15.0,0.0,0.0,0,0
30,CGST@4%,4.0,4.0,0.0,0.0,0,0
31,CGST@9%,9.0,9.0,0.0,0.0,0,0
32,CGST@14%,14.0,14.0,0.0,0.0,0,0
33,IGST@18%,18.0,18.0,0.0,0.0,0,1
34,IGST@28%,28.0,28.0,0.0,0.0,0,1
35,CGST@2.5%,2.5,2.5,0.0,0.0,0,0
37,CGST@6%,6.0,6.0,0.0,0.0,0,0
38,CGST@1.5%,1.5,1.5,0.0,0.0,0,0
