FinYearId,SysDate,SysTime,SessionId,CompId,FinYearFrom,FinYearTo,FinYear,Flag
1,2013-04-01,09:28:26 AM,Sapl0001,1,2013-04-01,2014-03-31,2013-2014,0
2,2014-04-17,12:00:56 PM,Sapl0001,1,2014-04-01,2015-03-31,2014-2015,0
3,2015-04-23,4:17:12 PM,Sapl0001,1,2015-04-01,2016-03-31,2015-2016,0
4,2016-04-19,2:54:44 PM,Sapl0001,1,2016-04-01,2017-03-31,2016-2017,0
5,2017-04-14,5:15:36 PM,Sapl0001,1,2017-04-01,2018-03-31,2017-2018,0
6,2018-04-13,3:09:33 PM,Sapl0001,1,2018-04-01,2019-03-31,2018-2019,0
7,2020-10-03,12:05:13 PM,sapl0001,1,2019-04-01,2020-08-27,2019-2020,0
8,2020-08-28,1:42:24 PM,sapl0001,1,2020-08-28,2021-03-31,2020-2021,0
9,2021-05-18,3:56:02 PM,sapl0001,1,2021-05-18,2022-03-31,2021-2022,0
10,2022-04-01,9:53:04 AM,SAPL0001,1,2022-04-01,2023-03-31,2022-2023,0
11,2025-10-17,02:38:25,1,1,2023-04-01,2024-03-31,2023-2024,0
12,2025-10-17,02:38:25,1,1,2024-04-01,2025-03-31,2024-2025,0
13,2025-10-17,02:38:25,1,1,2025-04-01,2026-03-31,2025-2026,1
