Id,SysDate,SysTime,SessionId,CompId,FinYearId,GPNo,EmpId,Authorize,AuthorizedBy,AuthorizeDate,AuthorizeTime
12624,2020-08-28,3:59:18 PM,sapl0059,1,8,0001,,0,,,
12625,2020-08-29,10:02:28 AM,sapl0219,1,7,1084,,0,,,
12626,2020-09-02,3:08:42 PM,sapl0250,1,8,0002,,0,,,
12627,2020-09-02,3:09:38 PM,sapl0250,1,8,0003,,0,,,
12628,2020-09-04,10:13:38 AM,sapl0312,1,8,0004,,0,,,
12629,2020-09-04,12:51:57 PM,sapl0250,1,8,0005,,0,,,
12630,2020-09-08,9:28:53 AM,Sapl0327,1,8,0006,,0,,,
12631,2020-09-08,11:20:28 AM,sapl0312,1,8,0007,sapl0312,0,,,
12632,2020-09-11,12:59:56 PM,sapl0312,1,8,0008,sapl0312,0,,,
12633,2020-09-12,9:52:18 AM,sapl0312,1,8,0009,,0,,,
12634,2020-09-14,1:11:04 PM,sapl0312,1,8,0010,sapl0312,0,,,
12635,2020-09-15,2:50:56 PM,sapl0287,1,8,0011,sapl0287,0,,,
12636,2020-09-15,2:51:44 PM,sapl0287,1,8,0012,,0,,,
12637,2020-09-16,9:57:53 AM,sapl0312,1,8,0013,sapl0312,0,,,
12638,2020-09-16,11:10:20 AM,sapl0250,1,8,0014,,0,,,
12639,2020-09-18,9:18:11 AM,sapl0219,1,8,0015,,0,,,
12641,2020-09-18,11:20:55 AM,sapl0312,1,8,0016,sapl0312,0,,,
12642,2020-09-18,2:03:11 PM,sapl0219,1,8,0017,sapl0219,0,,,
12643,2020-09-21,9:58:42 AM,sapl0219,1,8,0018,sapl0219,0,,,
12644,2020-09-22,12:25:05 PM,sapl0250,1,8,0019,sapl0250,0,,,
12645,2020-09-23,11:13:05 AM,sapl0315,1,8,0020,,0,,,
12646,2020-09-23,4:24:22 PM,Sapl0322,1,8,0021,Sapl0322,0,,,
12647,2020-09-24,10:16:26 AM,sapl0312,1,8,0022,sapl0312,0,,,
12648,2020-09-24,10:31:54 AM,sapl0290,1,8,0023,sapl0290,0,,,
12649,2020-09-26,10:15:03 AM,Sapl0322,1,8,0024,Sapl0322,0,,,
12650,2020-09-26,10:29:43 AM,sapl0312,1,8,0025,,0,,,
12651,2020-09-26,11:36:01 AM,sapl0250,1,8,0026,sapl0250,0,,,
12652,2020-09-26,3:23:26 PM,Sapl0322,1,8,0027,Sapl0322,0,,,
12653,2020-09-28,12:28:29 PM,sapl0312,1,8,0028,sapl0312,0,,,
12655,2020-09-29,10:34:20 AM,sapl0312,1,8,0029,,0,,,
12656,2020-09-30,10:38:53 AM,sapl0287,1,8,0030,sapl0287,0,,,
12657,2020-09-30,1:50:39 PM,sapl0290,1,8,0031,sapl0290,0,,,
12658,2020-09-30,2:03:47 PM,sapl0066,1,8,0032,sapl0066,0,,,
12659,2020-10-02,12:28:22 PM,sapl0312,1,8,0033,,0,,,
12660,2020-10-02,12:29:33 PM,sapl0250,1,8,0034,sapl0250,0,,,
12661,2020-10-02,1:47:51 PM,sapl0312,1,8,0035,,0,,,
12662,2020-10-03,9:04:52 AM,sapl0312,1,8,0036,,0,,,
12663,2020-10-03,11:54:10 AM,sapl0312,1,8,0037,sapl0312,0,,,
12664,2020-10-03,1:11:35 PM,sapl0250,1,8,0038,,0,,,
12665,2020-10-05,1:33:14 PM,sapl0313,1,8,0039,sapl0313,0,,,
12666,2020-10-05,2:06:03 PM,sapl0219,1,8,0040,,0,,,
12667,2020-10-06,8:28:47 AM,sapl0219,1,8,0041,,0,,,
12668,2020-10-06,8:32:41 AM,sapl0219,1,8,0042,,0,,,
12669,2020-10-07,2:49:07 PM,sapl0312,1,8,0043,,0,,,
12670,2020-10-07,3:13:11 PM,sapl0250,1,8,0044,,0,,,
12673,2020-10-07,4:31:40 PM,sapl0250,1,8,0047,sapl0250,0,,,
12674,2020-10-08,1:26:24 PM,sapl0066,1,8,0048,sapl0066,0,,,
12675,2020-10-08,1:36:25 PM,sapl0219,1,8,0049,sapl0219,0,,,
12676,2020-10-09,11:37:16 AM,sapl0312,1,8,0050,sapl0312,0,,,
12677,2020-10-09,2:33:25 PM,sapl0219,1,8,0051,sapl0219,0,,,
12678,2020-10-10,8:57:04 AM,Sapl0285,1,8,0052,Sapl0285,0,,,
12679,2020-10-10,9:00:20 AM,sapl0059,1,8,0053,sapl0059,0,,,
12681,2020-10-10,9:20:55 AM,Sapl0331,1,8,0054,Sapl0331,0,,,
12682,2020-10-10,11:21:44 AM,sapl0219,1,8,0055,sapl0219,0,,,
12683,2020-10-10,1:38:27 PM,sapl0313,1,8,0056,sapl0313,0,,,
12684,2020-10-14,11:08:46 AM,sapl0290,1,8,0057,sapl0290,0,,,
12686,2020-10-15,10:47:12 AM,sapl0250,1,8,0058,sapl0250,0,,,
12687,2020-10-15,2:15:00 PM,sapl0290,1,8,0059,sapl0290,0,,,
12688,2020-10-16,12:19:10 PM,sapl0290,1,8,0060,sapl0290,0,,,
12689,2020-10-16,2:14:14 PM,sapl0322,1,8,0061,sapl0322,0,,,
12692,2020-10-16,3:33:13 PM,sapl0066,1,8,0062,,0,,,
12693,2020-10-17,8:45:08 AM,Sapl0285,1,8,0063,Sapl0285,0,,,
12694,2020-10-17,3:00:24 PM,sapl0312,1,8,0064,,0,,,
12695,2020-10-17,5:25:33 PM,sapl0290,1,8,0065,sapl0290,0,,,
12696,2020-10-19,10:46:41 AM,sapl0312,1,8,0066,,0,,,
12698,2020-10-19,11:26:58 AM,sapl0066,1,8,0067,,0,,,
12699,2020-10-19,2:34:24 PM,sapl0059,1,8,0068,sapl0059,0,,,
12700,2020-10-20,1:40:03 PM,Sapl0322,1,8,0069,Sapl0322,0,,,
12702,2020-10-21,9:16:18 AM,sapl0066,1,8,0070,,0,,,
12703,2020-10-21,10:22:11 AM,sapl0312,1,8,0071,sapl0312,0,,,
12704,2020-10-21,11:13:42 AM,sapl0290,1,8,0072,,0,,,
12705,2020-10-21,11:13:49 AM,sapl0290,1,8,0073,sapl0290,0,,,
12706,2020-10-21,3:34:31 PM,sapl0066,1,8,0074,,0,,,
12707,2020-10-22,9:23:32 AM,sapl0250,1,8,0075,,0,,,
12708,2020-10-22,2:47:38 PM,sapl0219,1,8,0076,,0,,,
12709,2020-10-23,9:25:57 AM,sapl0312,1,8,0077,sapl0312,0,,,
12711,2020-10-23,1:20:47 PM,Sapl0285,1,8,0078,Sapl0285,0,,,
12712,2020-10-24,2:13:05 PM,sapl0219,1,8,0079,sapl0219,0,,,
12713,2020-10-26,3:57:10 PM,sapl0290,1,8,0080,sapl0290,0,,,
12714,2020-10-27,9:43:33 AM,Sapl0281,1,8,0081,Sapl0281,0,,,
12715,2020-10-27,10:14:39 AM,sapl0250,1,8,0082,,0,,,
12716,2020-10-27,11:19:37 AM,sapl0219,1,8,0083,sapl0219,0,,,
12717,2020-10-27,3:39:13 PM,sapl0290,1,8,0084,sapl0290,0,,,
12718,2020-10-28,10:19:42 AM,sapl0219,1,8,0085,sapl0219,0,,,
12719,2020-10-28,3:11:14 PM,sapl0312,1,8,0086,,0,,,
12720,2020-10-29,9:04:23 AM,sapl0066,1,8,0087,sapl0066,0,,,
12721,2020-10-29,2:51:58 PM,sapl0250,1,8,0088,,0,,,
12723,2020-10-31,9:45:02 AM,sapl0066,1,8,0089,sapl0066,0,,,
12724,2020-10-31,10:21:06 AM,sapl0219,1,8,0090,sapl0219,0,,,
12725,2020-11-02,1:35:48 PM,sapl0312,1,7,1085,sapl0312,0,,,
