Id,MId,OfferMId,Perticulars,Qty,Amount,IncludesIn
1,92,143,Ptax ded,1.0,175.0,2
2,128,66,Performance Incentive,1.0,3000.0,3
3,129,68,Performance Incentive,1.0,3000.0,3
4,130,35,Performance Incentive,1.0,1225.0,3
5,132,32,Performance Incentive,1.0,2000.0,3
6,133,215,Performance Incentive,1.0,1500.0,3
7,134,215,Performance Incentive,1.0,1500.0,3
8,135,224,Performance Incentive,1.0,1300.0,3
9,136,232,Performance Incentive,1.0,1300.0,3
10,137,232,Performance Incentive,1.0,1300.0,3
11,138,215,Performance Incentive,1.0,1500.0,3
12,139,215,Performance Incentive,1.0,1500.0,3
13,140,215,Performance Incentive,1.0,1500.0,3
14,141,215,Performance Incentive,1.0,1500.0,3
15,142,215,Performance Incentive,1.0,1500.0,3
16,143,224,Performance Incentive,1.0,1300.0,3
17,145,224,Performance Incentive,1.0,1300.0,3
18,146,224,Performance Incentive,1.0,1300.0,3
19,147,224,Performance Incentive,1.0,1300.0,3
20,149,82,Performance Incentive,1.0,1800.0,3
21,149,82,Performance Incentive,1.0,5400.0,3
22,150,68,	Performance Incentive,1.0,3600.0,3
23,151,30,Performance Incentive,1.0,3000.0,3
24,152,30,Performance Incentive,1.0,3000.0,3
25,153,233,Performance Incentive,1.0,3000.0,3
26,154,247,Performance Incentive,1.0,1800.0,3
27,155,19,Performance Incentive,1.0,3600.0,3
28,156,113,Performance Incentive,1.0,4200.0,3
29,157,97,Performance Incentive,1.0,3600.0,3
30,158,111,Performance Incentive,1.0,4200.0,3
31,159,82,Performance Incentive,1.0,5400.0,3
32,160,76,Performance Incentive,1.0,5400.0,3
33,161,9,Performance Incentive,1.0,5100.0,3
34,162,9,Performance Incentive,1.0,5100.0,3
35,163,9,Performance Incentive,1.0,5100.0,3
36,164,109,Performance Incentive,1.0,3900.0,3
37,165,116,Performance Incentive,1.0,3600.0,3
38,166,107,Performance Incentive,1.0,660.0,3
39,167,214,Performance Incentive,1.0,3000.0,3
40,168,100,Performance Incentive,1.0,4200.0,3
41,169,27,Performance Incentive,1.0,10000.0,3
42,170,215,Performance Incentive,1.0,6000.0,3
43,171,215,Performance Incentive,1.0,6000.0,3
44,172,215,Performance Incentive,1.0,6000.0,3
45,173,242,Performance Incentive,1.0,3600.0,3
46,174,5,Performance Incentive,1.0,4500.0,3
47,175,224,Performance Incentive,1.0,4200.0,3
48,176,215,Performance Incentive,1.0,6000.0,3
49,177,233,Performance Incentive,1.0,3000.0,3
50,178,233,Performance Incentive,1.0,3000.0,3
51,179,233,Performance Incentive,1.0,3000.0,3
52,181,207,Performance incentive,1.0,3600.0,1
53,182,207,Performance incentive,1.0,3600.0,1
54,183,61,Performance Incentive,1.0,5100.0,3
55,184,247,Performance Incentive,1.0,1800.0,3
56,185,68,	Performance Incentive,1.0,3600.0,3
57,186,49,Performance Incentive,1.0,500.0,3
58,187,49,Performance Incentive,1.0,2400.0,3
59,188,90,Performance incentive,1.0,2600.0,3
60,189,90,Performance incentive,1.0,2600.0,3
61,190,90,Performance incentive,1.0,2600.0,3
62,191,90,Performance incentive,1.0,2600.0,3
63,192,68,	Performance Incentive,1.0,3600.0,3
64,193,68,	Performance Incentive,1.0,3600.0,3
65,194,68,	Performance Incentive,1.0,3600.0,3
66,195,68,	Performance Incentive,1.0,3600.0,3
67,196,68,	Performance Incentive,1.0,3600.0,3
68,197,158,Performance Incentive,1.0,3100.0,3
69,199,27,Performance Incentive,1.0,10000.0,3
70,199,27,Medical Reimbursement,1.0,1250.0,1
71,202,251,Performance incentive ,1.0,1820.0,3
72,203,251,Performance incentive ,1.0,1820.0,3
73,204,251,Performance incentive ,1.0,1820.0,3
74,205,251,Performance incentive ,1.0,1820.0,3
75,206,251,Performance incentive ,1.0,1820.0,3
76,207,251,Performance incentive ,1.0,1820.0,3
77,208,251,Performance incentive ,1.0,1820.0,3
78,210,260,Performance incentive,1.0,1820.0,3
79,211,27,Performance Incentive,1.0,10000.0,3
80,211,27,Medical Reimbursement,1.0,1250.0,1
81,212,112,Performance Incentive,1.0,4500.0,3
82,213,27,Medical Reimbursement,1.0,1250.0,1
83,213,27,Petrol Allowance,1.0,4000.0,3
84,213,27,Performance Incentive,1.0,6000.0,3
