Id,MId,Perticulars,Qty,Amount,IncludesIn
14,143,Ptax ded,1.0,175.0,2
24,190,Vehicle Contribution,1.0,4200.0,1
26,190,vehicle allowance,1.0,3200.0,3
29,59,Performance Incentive,1.0,1500.0,3
30,5,Performance Incentive,1.0,4500.0,3
31,21,Performance Incentive,1.0,3500.0,3
32,19,Performance Incentive,1.0,3600.0,3
33,7,Performance Incentive,1.0,3935.0,3
34,22,Performance Incentive,1.0,8460.0,3
35,40,Performance Incentive,1.0,2000.0,3
36,66,Performance Incentive,1.0,3000.0,3
38,71,Performance Incentive,1.0,1500.0,3
39,61,Performance Incentive,1.0,5100.0,3
40,26,Performance Incentive,1.0,1500.0,3
41,51,Performance Incentive,1.0,2000.0,3
43,13,Performance Incentive,1.0,1500.0,3
44,10,Performance Incentive,1.0,2000.0,3
46,16,Performance Incentive,1.0,9000.0,3
47,63,Performance Incentive,1.0,2430.0,3
48,30,Performance Incentive,1.0,7836.0,3
49,28,Performance Incentive,1.0,555.0,3
50,35,Performance Incentive,1.0,6700.0,3
51,49,Performance Incentive,1.0,5740.0,3
52,76,Performance Incentive,1.0,7975.0,3
53,77,Performance Incentive,1.0,875.0,3
54,78,Performance Incentive,1.0,330.0,3
55,79,Performance Incentive,1.0,910.0,3
56,80,Performance Incentive,1.0,763.0,3
57,81,Performance Incentive,1.0,500.0,3
59,83,Performance Incentive,1.0,885.0,3
60,84,Performance Incentive,1.0,750.0,3
61,85,Performance Incentive,1.0,550.0,3
62,87,Performance Incentive,1.0,500.0,3
64,88,Performance Incentive,1.0,550.0,3
65,91,Performance Incentive,1.0,1500.0,3
66,92,Performance Incentive,1.0,550.0,3
67,93,Performance Incentive,1.0,625.0,3
68,94,Performance Incentive,1.0,600.0,3
69,95,Performance Incentive,1.0,550.0,3
70,99,Performance Incentive,1.0,700.0,3
71,100,Performance Incentive,1.0,6100.0,3
72,101,Performance Incentive,1.0,1238.0,3
73,103,Performance Incentive,1.0,500.0,3
74,104,Performance Incentive,1.0,2000.0,3
75,105,Performance Incentive,1.0,6600.0,3
76,106,Performance Incentive,1.0,7920.0,3
77,107,Performance Incentive,1.0,5435.0,3
78,108,Performance Incentive,1.0,5955.0,3
79,109,Performance Incentive,1.0,5700.0,3
80,111,Performance Incentive,1.0,5615.0,3
81,112,Performance Incentive,1.0,6325.0,3
82,113,Performance Incentive,1.0,6750.0,3
83,141,Performance Incentive,1.0,570.0,3
84,116,Performance Incentive,1.0,3600.0,3
85,161,Performance Incentive,1.0,750.0,3
86,173,Performance Incentive,1.0,550.0,3
