Id,SwapCardNo
1,Not Applicable
2,00171
3,00694
4,01844
5,05620
6,05705
7,5719
8,06417
9,06520
10,06569
11,06583
12,06594
13,06717
14,07956
15,08958
16,09055
17,10061
18,10065
19,10066
20,10076
21,10140
22,011289
23,011496
24,11513
25,12643
26,12645
27,012650
28,013275
29,13301
30,13588
31,14403
32,14533
33,15436
34,15485
35,15647
36,016457
37,16478
38,016566
39,16582
40,16803
41,17038
42,17183
43,18149
44,18444
45,18620
46,18654
47,19227
48,19368
49,19716
50,21597
51,21628
52,21969
53,21972
54,22633
55,022681
56,24127
57,0011
58,24451
59,24757
60,25019
61,27554
62,27769
63,28198
64,29134
65,29387
66,29541
67,29794
68,30127
69,030542
70,31121
71,31283
72,031287
73,0104
74,31847
75,32134
76,32771
77,32811
78,32939
79,33504
80,33509
81,034432
82,34620
83,35131
84,35160
85,036190
86,36584
87,0054
88,36888
89,36925
90,37225
91,37488
92,37505
93,38534
94,38576
95,38671
96,38985
97,39512
98,39523
99,39527
100,39790
101,40391
102,40827
103,40856
104,40902
105,40974
106,41015
107,41448
108,41926
109,42288
110,0066
111,42687
112,42802
113,42900
114,43339
115,43529
116,0047
117,44104
118,044496
119,44512
120,44530
121,0191
122,44660
123,46266
124,46304
125,46487
126,046644
127,46788
128,0061
129,47488
130,47884
131,48269
132,0143
133,049102
134,49787
135,49803
136,049811
137,49814
138,51190
139,51577
140,51578
141,51883
142,52698
143,052835
144,53243
145,0102
146,0219
147,0059
148,53952
149,54006
150,0076
151,55449
152,58022
153,58735
154,59811
155,60989
156,61909
157,63910
158,64105
159,64112
160,65377
161,13329
162,46266
163,38985
164,07131
165,01864
166,005628
167,10087
168,10060
169,07956
170,05627
171,18149
172,64105
173,25953
174,25953
175,6417
176,10088
177,05625
178,31293
179,05599
180,06436
181,05626
182,22013
183,05615
184,00694
185,06569
186,08958
187,000171
188,01844
189,05617
190,022016
191,25994
192,09055
193,05619
194,11315
195,25999
196,029097
197,29086
198,39282
199,29090
200,00655
201,21343
202,021348
203,021343
204,005705
205,05626
206,039247
207,39285
208,025998
209,39246
210,0018
211,19416
212,21404
213,19419
214,12643
215,19417
216,39235
217,21361
218,21359
219,40364
220,40363
221,29094
222,21360
223,32885
224,21348
225,42671
226,07131
227,038568
228,020285
229,055387
230,054516
231,045649
232,034211
233,037540
234,0314
235,0313
236,0311
237,0310
238,0304
239,0302
240,0300
241,0299
242,0264
243,0298
244,0297
245,0295
