Id,CompId,FinYearid,MonthId,Days
2,1,1,7,27.0
3,1,1,8,26.0
4,1,1,9,24.0
5,1,1,10,27.0
6,1,1,11,22.0
7,1,1,6,25.0
8,1,1,12,26.0
9,1,1,1,27.0
10,1,1,2,24.0
11,1,1,4,25.0
12,1,1,5,26.0
13,1,1,3,25.0
14,1,2,4,26.0
15,1,2,5,26.0
16,1,2,6,25.0
17,1,2,7,27.0
18,1,2,8,24.0
19,1,2,9,26.0
20,1,2,10,19.0
21,1,2,11,25.0
22,1,2,12,27.0
23,1,2,1,26.0
24,1,2,2,24.0
25,1,2,3,25.0
26,1,3,4,24.0
27,1,3,5,23.0
28,1,3,6,25.0
29,1,3,7,25.0
30,1,3,8,24.0
31,1,3,9,23.0
32,1,3,10,24.0
33,1,3,11,20.0
34,1,3,12,27.0
35,1,3,1,25.0
36,1,3,2,25.0
37,1,3,3,27.0
38,1,4,8,26.0
39,1,4,2,24.0
40,1,5,4,25.0
41,1,5,5,26.0
42,1,5,6,26.0
44,1,5,7,26.0
45,1,5,8,25.0
46,1,5,9,25.0
47,1,5,10,23.0
48,1,5,11,26.0
49,1,5,12,26.0
50,1,5,1,23.0
51,1,5,2,24.0
52,1,5,3,27.0
53,1,6,4,25.0
54,1,6,5,26.0
55,1,6,6,26.0
56,1,6,7,26.0
57,1,6,8,26.0
58,1,6,9,25.0
59,1,6,10,26.0
60,1,6,11,26.0
61,1,6,12,26.0
62,1,6,1,26.0
63,1,6,2,24.0
64,1,7,4,25.0
65,1,7,5,26.0
66,1,7,6,25.0
67,1,7,7,27.0
68,1,7,8,26.0
69,1,7,9,23.0
70,1,7,10,24.0
71,1,7,11,26.0
72,1,7,12,26.0
73,1,7,1,26.0
74,1,7,2,24.0
75,1,7,3,26.0
76,1,6,3,27.0
77,1,9,12,31.0
78,1,9,1,27.0
79,1,9,2,24.0
80,1,9,10,31.0
81,1,10,4,30.0
82,1,10,2,28.0
83,1,10,3,31.0
84,1,10,6,31.0
85,1,10,5,31.0
86,1,10,8,31.0
87,1,10,7,30.0
88,1,10,9,30.0
