Id,SysDate,SysTime,CompId,FinYearId,SessionId,LogNo,TransType,TransNo,ItemId,Qty
13,2013-05-29,2:17:18 PM,1,1,Sapl0052,0001,2,0102,4509,4.0
14,2013-05-30,9:14:38 AM,1,1,Sapl0052,0002,2,0107,4509,4.0
15,2013-05-30,9:21:32 AM,1,1,Sapl0052,0003,2,0107,4509,4.0
16,2013-05-30,4:23:47 PM,1,1,Sapl0052,0004,2,0116,5726,4.0
17,2013-06-11,3:26:06 PM,1,1,Sapl0053,0005,2,0247,1854,1.0
18,2013-06-12,11:35:46 AM,1,1,Sapl0053,0006,2,0256,1049,6.0
19,2013-06-12,11:46:49 AM,1,1,Sapl0053,0007,2,0257,1049,6.0
20,2013-06-12,2:54:02 PM,1,1,Sapl0053,0008,2,0261,2195,30.0
21,2013-06-17,11:17:48 AM,1,1,Sapl0053,0009,2,0298,1048,6.0
22,2013-06-17,11:18:45 AM,1,1,Sapl0053,0010,2,0298,1048,6.0
23,2013-06-17,11:24:01 AM,1,1,Sapl0053,0011,2,0298,1048,6.0
24,2013-06-17,11:24:26 AM,1,1,Sapl0053,0012,2,0298,1048,6.0
25,2013-06-17,12:00:03 PM,1,1,Sapl0001,0013,2,0182,1048,60.0
26,2013-06-17,12:00:51 PM,1,1,Sapl0001,0014,1,0007,1048,60.0
27,2013-06-24,2:00:07 PM,1,1,Sapl0001,0015,0,0121,8104,11.0
28,2013-06-28,2:43:09 PM,1,1,Sapl0001,0016,0,0167,8224,4.0
29,2013-06-28,2:43:32 PM,1,1,Sapl0001,0017,0,0168,12006,2.0
30,2013-07-01,1:34:50 PM,1,1,Sapl0053,0018,2,0506,2233,10.0
31,2013-07-08,4:41:35 PM,1,1,Sapl0053,0019,2,0578,7440,4.0
32,2013-07-15,5:49:53 PM,1,1,Sapl0001,0020,0,0231,1890,1.0
33,2013-07-21,2:16:43 PM,1,1,Sapl0053,0021,2,0772,8993,1.0
34,2013-07-21,2:47:57 PM,1,1,Sapl0053,0022,2,0772,8991,1.0
35,2013-07-24,5:28:00 PM,1,1,Sapl0053,0023,2,0809,5612,4.0
36,2013-07-27,3:27:37 PM,1,1,Sapl0053,0024,2,0852,5644,30.0
37,2013-07-29,4:43:13 PM,1,1,Sapl0053,0025,2,0886,983,1.0
38,2013-07-30,9:55:36 AM,1,1,Sapl0053,0026,2,0894,1048,10.0
39,2013-07-31,10:35:25 AM,1,1,Sapl0053,0027,2,0912,3248,4.0
40,2013-07-31,10:37:19 AM,1,1,Sapl0053,0028,2,0908,3248,4.0
41,2013-07-31,10:39:13 AM,1,1,Sapl0053,0029,2,0909,3248,4.0
42,2013-07-31,10:40:02 AM,1,1,Sapl0053,0030,2,0910,3248,4.0
43,2013-07-31,12:05:23 PM,1,1,Sapl0053,0031,2,0907,7803,2.0
44,2013-08-05,4:46:47 PM,1,1,Sapl0001,0032,2,1024,237,100.0
45,2013-08-05,4:46:51 PM,1,1,Sapl0001,0033,2,1024,234,100.0
46,2013-08-05,4:46:53 PM,1,1,Sapl0001,0034,2,1024,10602,200.0
47,2013-08-05,4:46:55 PM,1,1,Sapl0001,0035,2,1024,203,100.0
48,2013-08-05,4:46:57 PM,1,1,Sapl0001,0036,2,1024,216,300.0
49,2013-08-05,4:46:59 PM,1,1,Sapl0001,0037,2,1024,188,100.0
50,2013-08-05,4:47:01 PM,1,1,Sapl0001,0038,2,1024,221,100.0
51,2013-08-05,4:53:53 PM,1,1,Sapl0001,0039,2,1018,188,100.0
52,2013-08-06,1:38:30 PM,1,1,Sapl0053,0040,2,1042,1049,8.0
53,2013-08-09,11:41:03 AM,1,1,Sapl0001,0041,0,0316,11248,1.0
54,2013-08-09,11:41:05 AM,1,1,Sapl0001,0042,0,0316,11258,1.0
55,2013-08-09,11:41:08 AM,1,1,Sapl0001,0043,0,0316,11250,1.0
56,2013-08-11,11:52:27 AM,1,1,Sapl0053,0044,2,1131,1050,3.0
57,2013-08-11,11:52:29 AM,1,1,Sapl0053,0045,2,1131,1049,18.0
58,2013-08-11,11:52:31 AM,1,1,Sapl0053,0046,2,1131,1048,8.0
59,2013-08-13,4:19:01 PM,1,1,Sapl0053,0047,2,1193,5519,4.0
60,2013-08-13,4:47:12 PM,1,1,Sapl0053,0048,2,1194,5947,4.0
61,2013-08-18,4:49:57 PM,1,1,Sapl0053,0049,2,1242,983,1.0
62,2013-09-02,9:30:04 AM,1,1,sapl0053,0050,2,1436,1048,5.0
63,2013-09-02,2:01:49 PM,1,1,sapl0053,0051,2,1410,13566,1.0
64,2013-09-08,11:27:41 AM,1,1,Sapl0053,0052,2,1538,1049,18.0
65,2013-09-11,3:55:33 PM,1,1,Sapl0053,0053,2,1561,1931,5.0
66,2013-09-17,9:53:10 AM,1,1,Sapl0053,0054,2,1593,2703,1.0
67,2013-09-27,12:25:51 PM,1,1,Sapl0001,0055,0,0520,7021,0.0
68,2013-09-27,12:28:08 PM,1,1,Sapl0001,0056,0,0521,7021,0.0
69,2013-09-27,12:28:11 PM,1,1,Sapl0001,0057,0,0521,7023,0.0
70,2013-09-27,12:28:13 PM,1,1,Sapl0001,0058,0,0521,7025,0.0
71,2013-09-27,12:28:55 PM,1,1,Sapl0001,0059,0,0522,7021,0.0
72,2013-10-08,4:38:41 PM,1,1,Sapl0053,0060,2,1950,1897,1.0
73,2013-10-09,9:20:10 AM,1,1,Sapl0053,0061,2,1964,14071,5.0
74,2013-10-09,9:20:12 AM,1,1,Sapl0053,0062,2,1964,14069,28.0
75,2013-10-09,9:20:14 AM,1,1,Sapl0053,0063,2,1964,14066,1.0
76,2013-10-09,9:20:17 AM,1,1,Sapl0053,0064,2,1964,14074,5.0
77,2013-10-09,9:20:19 AM,1,1,Sapl0053,0065,2,1964,14073,24.0
78,2013-10-09,9:20:29 AM,1,1,Sapl0053,0066,2,1963,14069,28.0
79,2013-10-09,9:20:32 AM,1,1,Sapl0053,0067,2,1963,14068,5.0
80,2013-10-09,9:20:33 AM,1,1,Sapl0053,0068,2,1963,14066,6.0
81,2013-10-09,9:20:35 AM,1,1,Sapl0053,0069,2,1963,14074,5.0
82,2013-10-09,9:20:37 AM,1,1,Sapl0053,0070,2,1963,14073,26.0
83,2013-10-09,9:20:47 AM,1,1,Sapl0053,0071,2,1962,14069,16.0
84,2013-10-11,3:32:12 PM,1,1,Sapl0053,0072,2,1999,6330,4.0
85,2013-10-23,11:40:19 AM,1,1,Sapl0053,0073,2,2144,875,3.0
86,2013-10-26,12:12:54 PM,1,1,Sapl0053,0074,2,2174,1477,15.0
87,2013-11-09,2:45:27 PM,1,1,sapl0053,0075,2,2293,1465,1.0
88,2013-11-09,3:31:44 PM,1,1,Sapl0001,0076,0,0980,1465,1.0
89,2013-11-27,4:00:29 PM,1,1,Sapl0053,0077,2,2547,1413,1.0
90,2013-12-02,12:41:33 PM,1,1,sapl0053,0078,2,2570,6007,44.0
91,2013-12-02,1:53:09 PM,1,1,Sapl0001,0079,0,1362,6007,44.0
92,2014-01-06,11:58:27 AM,1,1,Sapl0001,0080,1,0393,14401,20.0
93,2014-01-07,4:47:06 PM,1,1,Sapl0001,0081,0,1673,8872,1.0
94,2014-01-07,4:47:15 PM,1,1,Sapl0001,0082,0,1673,8875,1.0
95,2014-01-07,4:47:19 PM,1,1,Sapl0001,0083,0,1673,8877,1.0
96,2014-01-07,4:47:21 PM,1,1,Sapl0001,0084,0,1673,17538,1.0
97,2014-01-08,12:31:11 PM,1,1,Sapl0053,0085,2,3263,2774,1.0
98,2014-01-08,4:57:50 PM,1,1,sapl0053,0086,2,3265,10364,8.0
99,2014-01-10,4:55:32 PM,1,1,Sapl0053,0087,2,3316,1969,1.0
100,2014-01-17,11:47:11 AM,1,1,Sapl0001,0088,0,1989,17347,4.0
101,2014-01-27,12:31:49 PM,1,1,Sapl0001,0089,0,1973,7214,40.0
