Id,GINNo,GINId,POId,Qty,ReceivedQty,ACategoyId,ASubCategoyId
37801,0001,11473,42946,6.0,6.0,0,0
37802,0001,11473,42947,1.0,1.0,0,0
37803,0001,11473,42948,1.0,1.0,0,0
37804,0001,11473,42949,1.0,1.0,0,0
37805,0001,11473,42950,1.0,1.0,0,0
37806,0001,11473,42951,1.0,1.0,0,0
37807,0001,11473,42952,1.0,1.0,0,0
37808,0001,11473,42957,1.0,1.0,0,0
37809,0001,11473,42958,1.0,1.0,0,0
37810,0002,11474,43293,1.0,1.0,0,0
37811,0003,11475,43321,8.0,8.0,0,0
37812,0004,11476,43308,1.0,1.0,0,0
37813,0005,11477,43200,1.0,1.0,0,0
37814,0005,11477,43201,3.0,3.0,0,0
37815,0006,11478,43177,4.0,4.0,0,0
37816,0006,11478,43178,4.0,4.0,0,0
37817,0007,11479,43185,4.0,4.0,0,0
37818,0007,11479,43186,4.0,4.0,0,0
37819,0007,11479,43187,1.0,1.0,0,0
37820,0007,11479,43188,2.0,2.0,0,0
37821,0007,11479,43189,2.0,2.0,0,0
37822,0007,11479,43190,2.0,2.0,0,0
37823,0007,11479,43191,2.0,2.0,0,0
37824,0007,11479,43192,2.0,2.0,0,0
37825,0007,11479,43193,4.0,4.0,0,0
37826,0007,11479,43194,1.0,1.0,0,0
37827,0007,11479,43195,2.0,2.0,0,0
37828,0007,11479,43196,2.0,2.0,0,0
37829,0008,11480,43179,1.0,1.0,0,0
37830,0008,11480,43180,1.0,1.0,0,0
37831,0008,11480,43181,1.0,1.0,0,0
37832,0008,11480,43182,1.0,1.0,0,0
37833,0008,11480,43183,2.0,2.0,0,0
37834,0008,11480,43184,1.0,1.0,0,0
37835,0009,11481,43164,5.0,5.0,0,0
37836,0009,11481,43165,5.0,5.0,0,0
37837,0009,11481,43166,30.0,30.0,0,0
37838,0009,11481,43167,5000.0,5000.0,0,0
37839,0009,11481,43168,500.0,500.0,0,0
37840,0009,11481,43169,2000.0,2000.0,0,0
37841,0009,11481,43170,500.0,500.0,0,0
37842,0010,11482,42806,7.0,7.0,0,0
37843,0011,11483,43240,2.0,2.0,0,0
37844,0011,11483,43241,2.0,2.0,0,0
37845,0011,11483,43242,7.0,7.0,0,0
37846,0011,11483,43243,3.0,3.0,0,0
37847,0012,11484,43124,7.0,7.0,0,0
37848,0013,11485,42877,1.0,1.0,0,0
37849,0014,11486,42301,1.0,1.0,0,0
37850,0014,11486,42302,1.0,1.0,0,0
37851,0015,11487,43246,100.0,100.0,0,0
37852,0015,11487,43247,100.0,100.0,0,0
37853,0015,11487,43248,100.0,100.0,0,0
37854,0015,11487,43249,30.0,30.0,0,0
37855,0015,11487,43251,5.0,5.0,0,0
37856,0016,11488,43342,20.0,20.0,0,0
37857,0017,11489,38735,2.0,2.0,0,0
37858,0017,11489,38736,2.0,2.0,0,0
37861,0018,11491,38735,1.0,1.0,0,0
37862,0018,11491,38736,3.0,3.0,0,0
37863,0019,11492,38735,1.0,1.0,0,0
37864,0019,11492,38736,4.0,4.0,0,0
37865,0020,11493,43334,5.0,5.0,0,0
37866,0020,11493,43335,20.0,20.0,0,0
37867,0020,11493,43336,25.0,25.0,0,0
37868,0020,11493,43337,40.0,40.0,0,0
37869,0021,11494,43340,1.0,1.0,0,0
37870,0022,11495,43341,1.0,1.0,0,0
37871,0023,11496,43407,2.0,2.0,0,0
37872,0023,11496,43408,9.0,9.0,0,0
37873,0024,11497,43339,10.0,10.0,0,0
37874,0025,11498,43323,50.0,50.0,0,0
37875,0026,11499,43324,6.0,6.0,0,0
37876,0027,11500,43332,12.0,12.0,0,0
37877,0027,11500,43333,12.0,12.0,0,0
37878,0028,11501,43343,58.0,58.0,0,0
