Id,MId,MRNNo,ItemId,DeptId,WONo,RetQty,Remarks
13279,2433,0001,59160,1,N0179,1.0,-
13280,2434,0002,59028,1,N0179,6.0,-
13281,2434,0002,59236,1,N0179,1.0,-
13282,2434,0002,59237,1,N0179,1.0,-
13283,2434,0002,59169,1,N0179,1.0,-
13284,2434,0002,59177,1,N0179,1.0,-
13285,2434,0002,59193,1,N0179,1.0,-
13286,2434,0002,59099,1,N0179,1.0,-
13287,2434,0002,59238,1,N0179,1.0,-
13288,2434,0002,59239,1,N0179,1.0,-
13289,2435,0003,13697,2,,3.0,-
13290,2436,0004,13757,2,,25.0,-
13291,2437,0005,59123,1,N0179,1.0,-
13292,2437,0005,59286,1,N0179,1.0,-
13293,2437,0005,59302,1,N0179,1.0,-
13294,2437,0005,59184,1,N0179,1.0,-
13295,2437,0005,59294,1,N0179,2.0,-
13296,2437,0005,59281,1,N0179,1.0,-
13297,2438,0006,59122,1,N0179,4.0,-
13298,2438,0006,59114,1,N0179,4.0,-
13299,2438,0006,59157,1,N0179,1.0,-
13300,2438,0006,59046,1,N0179,2.0,-
13301,2438,0006,59195,1,N0179,2.0,-
13302,2438,0006,59105,1,N0179,2.0,-
13303,2438,0006,59288,1,N0179,2.0,-
13304,2438,0006,59179,1,N0179,2.0,-
13305,2438,0006,59301,1,N0179,4.0,-
13306,2438,0006,59253,1,N0179,1.0,-
13307,2438,0006,59172,1,N0179,2.0,-
13308,2438,0006,59162,1,N0179,2.0,-
13309,2439,0007,59151,1,N0179,4.0,-
13310,2439,0007,59296,1,N0179,4.0,-
13311,2440,0008,59260,1,N0179,1.0,-
13312,2440,0008,59117,1,N0179,3.0,-
13313,2441,0009,4840,2,,52.0,-
13314,2441,0009,23783,2,,32.0,-
13315,2441,0009,14289,2,,210.0,-
13316,2442,0010,14289,2,,210.0,-
13317,2442,0010,23783,2,,32.0,-
13318,2442,0010,4840,2,,52.0,-
13319,2443,0011,4543,2,,17.0,-
13320,2444,0012,4571,2,,11.0,-
13321,2444,0012,17407,2,,12.0,-
13322,2445,0013,7007,2,,175.0,-
13323,2446,0014,865,2,,3.0,-
13324,2447,0015,9506,4,,340.0,
13325,2447,0015,59249,4,,22.0,
13326,2447,0015,59657,1,n0179,4.0,
13327,2447,0015,59659,1,n0179,2.0,
13328,2447,0015,9480,1,n0179,50.0,
13329,2447,0015,9852,1,n0179,4.0,
13330,2447,0015,59313,1,n0179,32.0,
13331,2447,0015,59311,1,n0179,22.0,
13332,2447,0015,59310,1,n0179,138.0,
13333,2447,0015,6244,1,n0179,58.0,
13334,2447,0015,6590,1,n0179,26.0,
13335,2447,0015,6587,1,n0179,14.0,
13336,2447,0015,9650,1,n0179,3.0,
13337,2447,0015,9668,1,n0179,6.0,
13338,2447,0015,1988,1,n0179,43.0,
