Id,CompId,FinYearId,WONo,ReleaseSysDate,ReleaseSysTime,ReleaseBy
11,1,1,N0006,2013-04-13,5:20:58 PM,Sapl0001
12,1,1,T0003,2013-04-15,5:06:24 PM,Sapl0001
13,1,1,N0002,2013-04-19,4:26:34 PM,Sapl0001
14,1,1,P0004,2013-04-29,12:54:38 PM,Sapl0001
15,1,1,N0004,2013-05-10,10:41:45 AM,Sapl0002
16,1,1,T0004,2013-05-10,10:42:03 AM,Sapl0002
17,1,1,N0012,2013-05-10,10:42:18 AM,Sapl0002
18,1,1,N0001,2013-05-10,10:42:48 AM,Sapl0002
19,1,1,J0015,2013-05-10,10:44:02 AM,Sapl0002
20,1,1,J0014,2013-05-10,10:44:18 AM,Sapl0002
21,1,1,J0016,2013-05-10,10:44:21 AM,Sapl0002
22,1,1,J0013,2013-05-10,10:44:28 AM,Sapl0002
23,1,1,S0008,2013-05-10,10:44:31 AM,Sapl0002
24,1,1,N0013,2013-05-10,10:44:37 AM,Sapl0002
25,1,1,S0007,2013-05-10,10:44:41 AM,Sapl0002
26,1,1,S0006,2013-05-10,10:44:44 AM,Sapl0002
27,1,1,J0012,2013-05-10,10:44:47 AM,Sapl0002
28,1,1,J0011,2013-05-10,10:44:49 AM,Sapl0002
29,1,1,J0010,2013-05-10,10:44:52 AM,Sapl0002
30,1,1,P0003,2013-05-10,10:44:55 AM,Sapl0002
31,1,1,N0011,2013-05-10,10:45:16 AM,Sapl0002
32,1,1,J0016,2013-05-10,11:48:31 AM,Sapl0052
33,1,1,J0015,2013-05-10,11:48:33 AM,Sapl0052
34,1,1,S0011,2013-05-22,4:31:45 PM,Sapl0001
35,1,1,N0014,2013-05-24,10:52:32 AM,Sapl0052
36,1,1,N0006,2013-05-28,10:03:54 AM,Sapl0002
37,1,1,N0016,2013-06-19,10:07:51 AM,Sapl0053
38,1,1,N0018,2013-06-19,10:08:03 AM,Sapl0053
39,1,1,N0020,2013-06-19,10:08:16 AM,Sapl0053
40,1,1,N0019,2013-06-22,11:52:49 AM,Sapl0053
41,1,1,S0019,2013-06-22,11:58:19 AM,Sapl0002
42,1,1,S0019,2013-06-22,2:26:50 PM,Sapl0053
43,1,1,J0031,2013-07-08,2:21:08 PM,Sapl0053
44,1,1,N0022,2013-07-12,10:25:43 AM,Sapl0053
45,1,1,S0021,2013-07-12,3:36:39 PM,Sapl0053
46,1,1,S0023,2013-07-29,2:40:13 PM,Sapl0053
47,1,1,S0022,2013-07-29,3:50:16 PM,Sapl0053
48,1,1,S0024,2013-07-31,2:44:49 PM,Sapl0053
49,1,1,J0039,2013-08-02,3:38:08 PM,Sapl0053
50,1,1,S0024,2013-08-06,12:15:46 PM,Sapl0001
51,1,1,S0024,2013-08-06,2:23:43 PM,Sapl0053
52,1,1,N0015,2013-08-07,12:47:20 PM,sapl0053
53,1,1,N0050,2013-08-07,3:47:26 PM,sapl0053
54,1,1,N0023,2013-08-16,3:41:07 PM,sapl0053
55,1,1,N0039,2013-08-16,3:41:29 PM,sapl0053
56,1,1,T0006,2013-08-17,2:18:49 PM,sapl0053
57,1,1,N0021,2013-08-22,10:29:01 AM,sapl0053
58,1,1,N0049,2013-08-22,3:53:55 PM,Sapl0053
59,1,1,N0049,2013-08-27,11:00:10 AM,Sapl0053
60,1,1,N0052,2013-08-27,11:07:08 AM,Sapl0053
61,1,1,S0025,2013-08-28,11:16:29 AM,sapl0053
62,1,1,S0026,2013-08-28,11:16:38 AM,sapl0053
63,1,1,S0027,2013-08-28,11:16:46 AM,sapl0053
64,1,1,N0035,2013-08-28,11:18:14 AM,sapl0053
65,1,1,N0036,2013-08-28,11:18:22 AM,sapl0053
66,1,1,N0034,2013-08-28,11:18:34 AM,sapl0053
67,1,1,N0033,2013-08-28,11:18:43 AM,sapl0053
68,1,1,N0032,2013-08-28,11:18:50 AM,sapl0053
69,1,1,N0031,2013-08-28,11:18:58 AM,sapl0053
70,1,1,N0030,2013-08-28,11:19:18 AM,sapl0053
71,1,1,N0029,2013-08-28,11:19:27 AM,sapl0053
72,1,1,N0028,2013-08-28,11:19:34 AM,sapl0053
73,1,1,N0027,2013-08-28,11:19:43 AM,sapl0053
74,1,1,N0026,2013-08-28,11:19:51 AM,sapl0053
75,1,1,N0025,2013-08-28,11:19:59 AM,sapl0053
76,1,1,N0024,2013-08-28,11:20:08 AM,sapl0053
77,1,1,J0017,2013-08-28,11:44:16 AM,Sapl0013
78,1,1,N0040,2013-09-02,12:42:32 PM,Sapl0053
79,1,1,N0043,2013-09-10,3:07:47 PM,sapl0053
80,1,1,S0028,2013-09-11,11:01:30 AM,Sapl0053
81,1,1,P0010,2013-09-12,5:14:26 PM,sapl0053
82,1,1,P0011,2013-09-14,1:45:06 PM,Sapl0053
83,1,1,N0046,2013-09-18,12:36:59 PM,Sapl0053
84,1,1,P0012,2013-09-25,2:03:43 PM,sapl0053
85,1,1,N0053,2013-09-28,11:23:02 AM,sapl0053
86,1,1,P0013,2013-09-30,4:31:20 PM,sapl0053
87,1,1,T0008,2013-10-11,10:50:36 AM,sapl0053
