Id,MId,PONo,PRNo,PRId,SPRNo,SPRId,Qty,Rate,Discount,AddDesc,PF,ExST,VAT,DelDate,AmendmentNo,BudgetCode,PODId
41456,7563,0927,0273,39672,,0,2.0,2430.0,0.0,,1,31,94,2019-12-15,0,1,54433
41457,7563,0927,0273,39673,,0,1.0,2967.0,0.0,,1,31,94,2019-12-15,0,1,54434
41458,7563,0927,0273,39674,,0,1.0,2739.0,0.0,,1,31,94,2019-12-15,0,1,54435
41459,7563,0927,0273,39675,,0,1.0,2247.0,0.0,,1,31,94,2019-12-15,0,1,54436
41460,7563,0927,0273,39676,,0,1.0,2556.0,0.0,,1,31,94,2019-12-15,0,1,54437
41461,7563,0927,0273,39677,,0,1.0,2520.0,0.0,,1,31,94,2019-12-15,0,1,54438
41462,7563,0927,0273,39678,,0,1.0,2154.0,0.0,,1,31,94,2019-12-15,0,1,54439
41463,7564,0928,0276,39693,,0,110.0,12.0,0.0,-,1,1,125,2019-12-15,0,1,54440
41464,7565,0932,0280,39709,,0,1.0,116.0,0.0,-,1,31,94,2019-12-17,0,1,54463
41465,7566,0948,0250,39570,,0,140.0,0.7,0.0,,1,31,94,2019-12-18,0,2,54581
41466,7567,0897,0217,39408,,0,500.0,117.6,0.0,,1,31,94,2019-12-09,0,4,54285
41467,7567,0897,0217,39425,,0,200.0,73.74,0.0,,1,31,94,2019-12-09,0,4,54286
41468,7567,0897,0217,39427,,0,100.0,46.12,0.0,,1,31,94,2019-12-09,0,4,54287
41469,7567,0897,0217,39428,,0,100.0,35.5,0.0,,1,31,94,2019-12-09,0,4,54288
41470,7567,0897,0217,39426,,0,200.0,65.36,0.0,,1,31,94,2019-12-09,0,4,54289
41471,7567,0897,0217,39429,,0,100.0,9.3,0.0,,1,31,94,2019-12-09,0,4,54290
41472,7567,0897,0217,39433,,0,30.0,23.15,0.0,,1,31,94,2019-12-09,0,4,54291
41473,7567,0897,0217,39435,,0,300.0,39.0,0.0,,1,31,94,2019-12-09,0,4,54292
41474,7567,0897,0217,39436,,0,43.0,1.0,0.0,,1,31,94,2019-12-09,0,4,54293
41475,7568,0928,0276,39693,,0,110.0,12.0,0.0,-,1,1,125,2019-12-16,1,1,54440
41476,7569,0965,,0,0978,19032,50.0,150.0,0.0,-,1,1,1,2019-12-24,0,0,54733
41477,7570,0974,,0,0942,18933,30.0,85.0,0.0,,1,31,94,2019-12-23,0,1,54750
41478,7571,0980,0320,39973,,0,100.0,212.0,0.0,,1,31,94,2019-12-23,0,4,54766
41479,7571,0980,0320,39972,,0,100.0,296.0,0.0,,1,31,94,2019-12-23,0,4,54767
41480,7572,0844,0206,39329,,0,15.0,170.0,40.0,,1,31,94,2019-12-02,1,2,53988
41481,7572,0844,0206,39330,,0,120.0,133.4,40.0,,1,31,94,2019-12-02,1,2,53989
41482,7572,0844,0206,39331,,0,96.0,129.0,40.0,,1,31,94,2019-12-02,1,2,53990
41483,7572,0844,0206,39332,,0,42.0,3933.0,40.0,,1,31,94,2019-12-02,1,2,53991
41484,7572,0844,0206,39333,,0,13.0,5828.0,40.0,,1,31,94,2019-12-02,1,2,53992
41485,7572,0844,0206,39334,,0,95.0,176.0,40.0,,1,31,94,2019-12-02,1,2,53993
41486,7572,0844,0206,39335,,0,40.0,692.0,40.0,,1,31,94,2019-12-02,1,2,53994
