Id,SysDate,SysTime,SessionId,CompId,FinYearId,PRSPRFlag,POId,PONo,SupplierId,Reference,ReferenceDate,ReferenceDesc,PaymentTerms,Freight,Octroi,ModeOfDispatch,Inspection,FileName,FileSize,ContentType,FileData,Remarks,Checked,CheckedBy,CheckedDate,CheckedTime,Approve,ApprovedBy,ApproveDate,ApproveTime,Authorize,AuthorizedBy,AuthorizeDate,AuthorizeTime,ShipTo,AmendmentNo,Warrenty,Insurance,TC
1,2013-05-06,4:54:29 PM,Sapl0013,1,1,0,12,0011,A012,1,2013-05-06,-,8,2,6,-,-,,,,,--,1,Sapl0013,2013-05-06,4:57:34 PM,1,Sapl0013,2013-05-06,4:57:39 PM,1,Sapl0013,2013-05-06,4:57:45 PM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
2,2013-05-15,5:00:08 PM,Sapl0013,1,1,1,13,0012,S014,2,2013-05-07,-,2,2,6,-,-,,,,,-,1,Sapl0013,2013-06-12,10:16:15 AM,1,Sapl0013,2013-06-12,10:16:55 AM,1,Sapl0013,2013-06-12,10:17:33 AM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
3,2013-06-13,4:59:13 PM,Sapl0013,1,1,1,13,0012,S014,2,2013-05-07,-,2,2,6,-,-,,,,,-,1,Sapl0013,2013-06-12,10:16:15 AM,1,Sapl0013,2013-06-12,10:16:55 AM,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,,
4,2013-06-13,4:59:31 PM,Sapl0013,1,1,1,13,0012,S014,2,2013-05-07,-,2,2,6,-,-,,,,,-,1,Sapl0013,2013-06-12,10:16:15 AM,1,Sapl0013,2013-06-12,10:16:55 AM,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",2,1,,
5,2013-05-29,12:16:46 PM,Sapl0013,1,1,1,38,0037,S001,4,2013-05-10,-,5,3,6,-,-,,,,,Sr.no.06.actual purchase 5x40 ms flat,1,Sapl0013,2013-05-10,12:34:21 PM,1,Sapl0013,2013-05-10,12:34:43 PM,1,Sapl0013,2013-05-29,12:25:34 PM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
6,2013-06-13,5:00:36 PM,Sapl0013,1,1,1,38,0037,S001,4,2013-05-10,-,5,3,6,-,-,,,,,Sr.no.06.actual purchase 5x40 ms flat,1,Sapl0013,2013-05-10,12:34:21 PM,1,Sapl0013,2013-05-10,12:34:43 PM,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,,
7,2013-05-13,1:47:22 PM,Sapl0013,1,1,0,42,0041,S018,1,2013-05-09,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
10,2013-06-05,2:35:26 PM,Sapl0013,1,1,1,66,0064,A012,2,2013-05-18,-,8,2,6,-,-,,,,,-,1,Sapl0013,2013-05-20,12:41:53 PM,1,Sapl0013,2013-05-20,12:42:21 PM,1,Sapl0013,2013-06-05,2:36:05 PM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
11,2013-06-13,5:03:42 PM,Sapl0013,1,1,1,66,0064,A012,2,2013-05-18,-,8,2,6,-,-,,,,,-,1,Sapl0013,2013-05-20,12:41:53 PM,1,Sapl0013,2013-05-20,12:42:21 PM,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,,
12,2013-06-13,5:03:50 PM,Sapl0013,1,1,1,66,0064,A012,2,2013-05-18,-,8,2,6,-,-,,,,,-,1,Sapl0013,2013-05-20,12:41:53 PM,1,Sapl0013,2013-05-20,12:42:21 PM,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",2,1,,
13,2013-05-22,1:17:16 PM,Sapl0013,1,1,0,74,0072,B006,2,2013-04-02,,5,1,6,-,-,,,,,,1,Sapl0013,2013-06-03,12:18:27 PM,1,Sapl0013,2013-06-03,12:18:47 PM,1,Sapl0013,2013-06-03,12:19:03 PM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
14,2013-05-29,10:19:20 AM,Sapl0013,1,1,0,75,0073,I003,2,2013-05-15,,6,1,6,-,-,,,,,-,1,Sapl0013,2013-06-12,10:16:15 AM,1,Sapl0013,2013-06-12,10:16:55 AM,1,Sapl0013,2013-06-12,10:17:33 AM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
16,2013-06-07,12:47:54 PM,Sapl0013,1,1,1,130,0126,K007,2,2013-06-10,-,17,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
17,2013-05-14,3:23:48 PM,Sapl0013,1,1,1,57,0056,S014,1,2013-05-01,,5,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
18,2013-05-30,5:27:32 PM,Sapl0013,1,1,0,76,0074,S038,1,2013-05-09,,10,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
