Id,MId,PONo,PRNo,PRId,SPRNo,SPRId,Qty,Rate,Discount,AddDesc,PF,ExST,VAT,DelDate,AmendmentNo,BudgetCode,flag
43322,7558,0001,0001,32994,,,24.0,580.0,0.0,,1,31,94,2018-04-14,0,1,0
43323,7559,0002,,,0812,13299,50.0,32.0,0.0,,1,31,94,2018-04-16,1,2,0
43324,7560,0003,,,0776,13190,6.0,202.66,0.0,,1,31,94,2018-04-16,2,0,0
43332,7562,0005,,,0005,13397,12.0,1356.0,0.0,,1,31,94,2018-04-17,0,0,0
43333,7562,0005,,,0776,13188,12.0,1575.83,0.0,,1,31,94,2018-04-17,1,0,0
43334,7563,0006,,,0735,13095,5.0,37.0,0.0,,1,1,125,2018-04-17,1,0,0
43335,7563,0006,,,0745,13129,20.0,37.0,0.0,,1,1,125,2018-04-17,1,0,0
43336,7563,0006,,,0796,13231,25.0,37.0,0.0,,1,1,125,2018-04-17,1,0,0
43337,7563,0006,,,0796,13232,40.0,45.0,0.0,,1,1,125,2018-04-17,1,0,0
43338,7564,0007,0003,33002,,,1.0,270.0,0.0,,1,1,125,2018-04-17,3,1,0
43339,7565,0008,,,0002,13358,10.0,170.0,0.0,,1,32,95,2018-04-18,0,2,0
43340,7566,0009,,,0001,13357,1.0,2500.0,0.0,,1,1,125,2018-04-18,0,0,0
43341,7567,0010,,,0006,13398,1.0,4170.0,0.0,,1,1,125,2018-04-18,0,1,0
43342,7568,0011,,,0002,13359,20.0,150.0,0.0,,1,1,125,2018-04-18,0,2,0
43343,7569,0012,,,0004,13393,58.0,490.0,0.0,,1,31,94,2018-04-18,0,2,0
43344,7570,0013,,,0004,13395,1.2,3035.83,0.0,,1,31,94,2018-04-18,1,2,0
43345,7571,0014,,,0004,13394,1.0,2300.0,0.0,,1,31,94,2018-04-18,0,2,0
43346,7572,0015,,,0002,13360,5.0,0.4,0.0,,1,31,94,2018-04-18,1,2,0
43347,7572,0015,,,0002,13361,699.0,0.3,0.0,,1,31,94,2018-04-18,1,2,0
43348,7572,0015,,,0002,13362,130.0,1.5,0.0,,1,31,94,2018-04-18,2,2,0
43349,7572,0015,,,0002,13363,180.0,1.5,0.0,,1,31,94,2018-04-18,1,2,0
43350,7572,0015,,,0002,13364,149.0,0.3,0.0,,1,31,94,2018-04-18,1,2,0
43351,7572,0015,,,0002,13365,799.0,0.3,0.0,,1,31,94,2018-04-18,1,2,0
43352,7572,0015,,,0002,13366,216.0,0.6,0.0,,1,31,94,2018-04-18,1,2,0
43353,7572,0015,,,0002,13367,180.0,1.2,0.0,,1,31,94,2018-04-18,1,2,0
43354,7573,0016,0004,33005,,,8.0,210.0,0.0,,1,31,94,2018-04-24,0,1,0
43355,7574,0017,,,0002,13368,6.0,1.5,0.0,,1,31,94,2018-04-18,1,2,0
43356,7574,0017,,,0002,13369,21.0,1.5,0.0,,1,31,94,2018-04-18,1,2,0
43357,7574,0017,,,0651,12825,3.0,25.0,0.0,,1,31,94,2018-04-18,1,0,0
43358,7574,0017,,,0002,13370,80.0,11.2,0.0,,1,31,94,2018-04-18,1,2,0
43359,7574,0017,,,0002,13371,20.0,13.5,0.0,,1,31,94,2018-04-18,2,2,0
43360,7574,0017,,,0002,13372,346.0,14.5,0.0,,1,31,94,2018-04-18,1,2,0
43361,7574,0017,,,0002,13373,85.0,15.5,0.0,,1,31,94,2018-04-18,1,2,0
43362,7574,0017,,,0002,13374,10.0,16.3,0.0,,1,31,94,2018-04-18,1,2,0
43363,7574,0017,,,0002,13375,460.0,17.1,0.0,,1,31,94,2018-04-18,1,2,0
43364,7575,0018,0005,33007,,,8.0,190.0,0.0,,1,31,94,2018-04-18,0,1,0
43365,7575,0018,0005,33009,,,2.0,195.0,0.0,,1,31,94,2018-04-18,0,1,0
43366,7575,0018,0005,33011,,,4.0,220.0,0.0,,1,31,94,2018-04-18,0,1,0
43367,7575,0018,0005,33013,,,2.0,210.0,0.0,,1,31,94,2018-04-18,0,1,0
43368,7575,0018,0005,33015,,,2.0,180.0,0.0,,1,31,94,2018-04-18,0,1,0
43369,7575,0018,0005,33017,,,2.0,190.0,0.0,,1,31,94,2018-04-18,0,1,0
43370,7576,0019,,,0003,13376,100.0,1.2,0.0,,1,31,94,2018-04-18,1,2,0
43371,7576,0019,,,0003,13377,20.0,1.2,0.0,,1,31,94,2018-04-18,1,2,0
43372,7576,0019,,,0003,13378,56.0,2.0,0.0,,1,31,94,2018-04-18,1,2,0
43373,7576,0019,,,0003,13379,65.0,2.5,0.0,,1,31,94,2018-04-18,1,2,0
43374,7576,0019,,,0003,13380,46.0,4.0,0.0,,1,31,94,2018-04-18,1,2,0
43375,7576,0019,,,0003,13381,359.0,8.0,0.0,,1,31,94,2018-04-18,1,2,0
43376,7576,0019,,,0003,13382,50.0,8.5,0.0,,1,31,94,2018-04-18,1,2,0
43377,7576,0019,,,0003,13383,30.0,56.0,0.0,,1,31,94,2018-04-18,1,2,0
43378,7576,0019,,,0003,13384,32.0,45.0,0.0,,1,31,94,2018-04-18,1,2,0
43379,7576,0019,,,0003,13385,13.0,1.0,0.0,,1,31,94,2018-04-18,1,2,0
43380,7576,0019,,,0003,13386,2.0,2.0,0.0,,1,31,94,2018-04-18,1,2,0
43381,7577,0020,,,0004,13387,10.0,9.0,0.0,,1,31,94,2018-04-18,1,2,0
43382,7577,0020,,,0004,13388,38.0,8.5,0.0,,1,31,94,2018-04-18,1,2,0
43383,7577,0020,,,0004,13389,750.0,2.0,0.0,,1,31,94,2018-04-18,1,2,0
43384,7577,0020,,,0004,13390,300.0,1.5,0.0,,1,31,94,2018-04-18,1,2,0
43385,7577,0020,,,0004,13391,100.0,2.0,0.0,,1,31,94,2018-04-18,1,2,0
43386,7577,0020,,,0812,13297,15.0,5.0,0.0,,1,31,94,2018-04-18,1,2,0
43387,7577,0020,,,0812,13298,40.0,15.0,0.0,,1,31,94,2018-04-18,1,2,0
43388,7577,0020,,,0812,13299,7.0,70.0,0.0,,1,31,94,2018-04-18,1,2,0
43389,7577,0020,,,0004,13392,30.0,0.4,0.0,,1,31,94,2018-04-18,1,2,0
43390,7578,0021,0006,33019,,,2.0,625.0,0.0,,1,31,94,2018-04-18,0,1,0
43391,7578,0021,0006,33021,,,6.0,650.0,0.0,,1,31,94,2018-04-18,0,1,0
43392,7578,0021,0006,33023,,,2.0,700.0,0.0,,1,31,94,2018-04-18,0,1,0
43393,7578,0021,0006,33025,,,1.0,725.0,0.0,,1,31,94,2018-04-18,0,1,0
43394,7578,0021,0006,33027,,,1.0,650.0,0.0,,1,31,94,2018-04-18,0,1,0
43395,7578,0021,0006,33029,,,1.0,725.0,0.0,,1,31,94,2018-04-18,0,1,0
43396,7579,0022,0821,32870,,,1.0,475.0,0.0,,1,31,94,2018-04-18,0,1,0
43397,7580,0023,,,0004,13396,20.0,105.0,0.0,,1,31,94,2018-04-18,1,2,0
43398,7581,0024,,,0004,13396,27.0,105.0,0.0,,1,31,94,2018-04-18,1,2,0
43399,7582,0025,0007,33030,,,4.0,92.5,0.0,,1,31,94,2018-04-19,0,1,0
43400,7582,0025,0834,32939,,,20.0,67.1,0.0,,1,31,94,2018-04-19,1,1,0
43401,7582,0025,0008,33031,,,1.0,67.1,0.0,,1,31,94,2018-04-19,1,1,0
43402,7583,0026,,,0817,13317,7.0,213.85,0.0,,1,31,94,2018-04-20,1,1,0
43403,7583,0026,,,0817,13318,14.0,24.42,0.0,,1,31,94,2018-04-20,1,1,0
43404,7583,0026,,,0008,13401,1.0,126.0,0.0,,1,31,94,2018-04-20,1,1,0
43407,7585,0027,0011,33034,,,2.0,248.0,0.0,,1,31,94,2018-04-20,0,2,0
43408,7585,0027,0012,33036,,,9.0,25.0,0.0,,1,31,94,2018-04-20,0,2,0
43409,7586,0028,0013,33037,,,2.0,1200.0,0.0,,1,1,125,2018-04-21,0,1,0
43410,7586,0028,0013,33038,,,2.0,1300.0,0.0,,1,1,125,2018-04-21,0,1,0
43411,7586,0028,0013,33039,,,2.0,230.0,0.0,,1,1,125,2018-04-21,0,1,0
43412,7586,0028,0013,33040,,,1.0,260.0,0.0,,1,1,125,2018-04-21,0,1,0
43413,7586,0028,0013,33041,,,8.0,260.0,0.0,,1,1,125,2018-04-21,0,1,0
