Id,PRNo,PId,CId,Qty,SupplierId,Rate,Discount,AHId,DelDate,Remarks,Type,ItemId,MId
32993,0001,,,38.0,S098,80.0,0.0,42,2018-04-14,,,60015,6684
32994,0001,,,38.0,S061,580.0,0.0,42,2018-04-14,,,60016,6684
32995,0002,,,2.0,L002,3865.0,40.0,28,2018-04-30,,,59219,6685
32996,0002,,,2.0,L002,785.0,40.0,28,2018-04-30,,,59220,6685
32997,0002,,,6.0,N030,13485.0,40.0,28,2018-04-30,,,59261,6685
32998,0002,,,3.0,N030,15786.0,40.0,28,2018-04-30,,,59262,6685
32999,0002,,,1.0,N030,12483.0,40.0,28,2018-04-30,,,59263,6685
33000,0002,,,7.0,N030,2690.0,40.0,28,2018-04-30,,,59342,6685
33001,0002,,,4.0,N030,4315.0,40.0,28,2018-04-30,,,59341,6685
33002,0003,,,2.0,P060,240.0,0.0,42,2018-04-17,,,59482,6686
33003,0003,,,6.0,S098,50.0,0.0,42,2018-04-17,,,60020,6686
33004,0004,,,8.0,S098,50.0,0.0,42,2018-04-18,,,60024,6687
33005,0004,,,8.0,S104,210.0,0.0,42,2018-04-24,,,60025,6687
33006,0005,,,8.0,S098,50.0,0.0,42,2018-04-18,,,60026,6688
33007,0005,,,8.0,S104,190.0,0.0,42,2018-04-18,,,60027,6688
33008,0005,,,2.0,S098,50.0,0.0,42,2018-04-18,,,60028,6688
33009,0005,,,2.0,S104,195.0,0.0,42,2018-04-18,,,60029,6688
33010,0005,,,4.0,S098,70.0,0.0,42,2018-04-18,,,60030,6688
33011,0005,,,4.0,S104,220.0,0.0,42,2018-04-18,,,60031,6688
33012,0005,,,2.0,S098,60.0,0.0,42,2018-04-18,,,60032,6688
33013,0005,,,2.0,S104,210.0,0.0,42,2018-04-18,,,60033,6688
33014,0005,,,2.0,S098,60.0,0.0,42,2018-04-18,,,60034,6688
33015,0005,,,2.0,S104,180.0,0.0,42,2018-04-18,,,60035,6688
33016,0005,,,2.0,S098,60.0,0.0,42,2018-04-18,,,60036,6688
33017,0005,,,2.0,S104,190.0,0.0,42,2018-04-18,,,60037,6688
33018,0006,,,2.0,S098,200.0,0.0,42,2018-04-18,,,60038,6689
33019,0006,,,2.0,S158,625.0,0.0,42,2018-04-18,,,60039,6689
33020,0006,,,6.0,S098,200.0,0.0,42,2018-04-18,,,60040,6689
33021,0006,,,6.0,S158,650.0,0.0,42,2018-04-18,,,60041,6689
33022,0006,,,2.0,S098,200.0,0.0,42,2018-04-18,,,60042,6689
33023,0006,,,2.0,S158,700.0,0.0,42,2018-04-18,,,60043,6689
33024,0006,,,1.0,S098,200.0,0.0,42,2018-04-18,,,60044,6689
33025,0006,,,1.0,S158,725.0,0.0,42,2018-04-18,,,60045,6689
33026,0006,,,1.0,S098,200.0,0.0,42,2018-04-18,,,60046,6689
33027,0006,,,1.0,S158,650.0,0.0,42,2018-04-18,,,60047,6689
33028,0006,,,1.0,S098,200.0,0.0,42,2018-04-18,,,60048,6689
33029,0006,,,1.0,S158,725.0,0.0,42,2018-04-18,,,60049,6689
33030,0007,,,4.0,J021,92.5,0.0,28,2018-04-19,,,58449,6690
33031,0008,,,1.0,J021,35.0,0.0,28,2018-04-19,,,58458,6691
33034,0011,,,2.0,B023,380.0,25.0,28,2018-04-20,,,10906,6694
33036,0012,,,9.0,B023,15.0,0.0,28,2018-04-20,,,11185,6696
33037,0013,,,2.0,S098,1200.0,0.0,28,2018-04-21,,,59300,6697
33038,0013,,,2.0,S098,1300.0,0.0,28,2018-04-21,,,59338,6697
33039,0013,,,2.0,S098,230.0,0.0,28,2018-04-21,,,59391,6697
33040,0013,,,1.0,S098,260.0,0.0,28,2018-04-21,,,59185,6697
33041,0013,,,8.0,S098,260.0,0.0,28,2018-04-21,,,59390,6697
33042,0013,,,2.0,S098,230.0,0.0,28,2018-04-21,,,59115,6697
33043,0013,,,1.0,S098,230.0,0.0,28,2018-04-21,,,59289,6697
33044,0013,,,2.0,S098,230.0,0.0,28,2018-04-21,,,59297,6697
33045,0013,,,1.0,S098,1105.0,0.0,28,2018-04-21,,,59339,6697
33046,0013,,,1.0,S098,230.0,0.0,28,2018-04-21,,,59106,6697
33047,0013,,,2.0,S098,230.0,0.0,28,2018-04-21,,,59121,6697
33048,0013,,,6.0,S098,230.0,0.0,28,2018-04-21,,,59031,6697
33049,0014,,,2.0,S098,1105.0,0.0,28,2018-04-21,,,59384,6698
33050,0014,,,2.0,S098,700.0,0.0,28,2018-04-21,,,59139,6698
33051,0014,,,1.0,S098,1800.0,0.0,28,2018-04-21,,,59212,6698
33052,0014,,,1.0,S098,250.0,0.0,28,2018-04-21,,,59104,6698
33053,0014,,,1.0,S098,650.0,0.0,28,2018-04-21,,,59183,6698
33054,0014,,,1.0,S098,13000.0,0.0,28,2018-04-21,,,58918,6698
33055,0014,,,2.0,S098,900.0,0.0,28,2018-04-21,,,59144,6698
33056,0014,,,2.0,S098,700.0,0.0,28,2018-04-21,,,59188,6698
33057,0014,,,2.0,S098,1300.0,0.0,28,2018-04-21,,,59034,6698
33058,0014,,,1.0,S098,1700.0,0.0,28,2018-04-21,,,59329,6698
33059,0014,,,1.0,S098,1700.0,0.0,28,2018-04-21,,,59110,6698
33060,0014,,,2.0,S098,335.0,0.0,28,2018-04-21,,,59303,6698
33061,0014,,,5.0,S098,1395.0,0.0,28,2018-04-21,,,59331,6698
33062,0014,,,1.0,S098,1653.5,0.0,28,2018-04-21,,,59282,6698
33063,0014,,,28.0,S098,100.0,0.0,42,2018-04-21,,,60057,6698
33064,0014,,,5.0,S098,390.0,0.0,42,2018-04-21,,,60058,6698
33065,0014,,,1.0,S098,2200.0,0.0,28,2018-04-21,,,59406,6698
33066,0014,,,1.0,S098,1900.0,0.0,28,2018-04-21,,,59363,6698
33067,0015,,,1.0,S098,1400.0,0.0,28,2018-04-21,,,59422,6699
33068,0015,,,1.0,S098,1300.0,0.0,28,2018-04-21,,,59429,6699
33069,0015,,,1.0,S098,1400.0,0.0,28,2018-04-21,,,59424,6699
33070,0015,,,3.0,S098,1400.0,0.0,28,2018-04-21,,,59426,6699
33071,0015,,,4.0,S098,110.0,0.0,28,2018-04-21,,,59702,6699
33072,0015,,,1.0,S098,340.0,0.0,28,2018-04-21,,,59305,6699
