Id,SysDate,SysTime,SessionId,CompId,FinYearId,WONo,PRNo,Checked,CheckedBy,CheckedDate,CheckedTime,Approve,ApprovedBy,ApproveDate,ApproveTime,Authorize,AuthorizedBy,AuthorizeDate,AuthorizeTime,PLNId
6684,2018-04-14,11:39:25 AM,Sapl0251,1,6,N0179,0001,0,,,,0,,,,0,,,,4264
6685,2018-04-17,10:43:08 AM,Sapl0251,1,6,N0175,0002,0,,,,0,,,,0,,,,
6686,2018-04-17,3:47:34 PM,sapl0272,1,6,N0179,0003,0,,,,0,,,,0,,,,4265
6687,2018-04-18,10:25:32 AM,sapl0245,1,6,N0179,0004,0,,,,0,,,,0,,,,4266
6688,2018-04-18,10:39:25 AM,sapl0245,1,6,N0179,0005,0,,,,0,,,,0,,,,4267
6689,2018-04-18,1:56:14 PM,Sapl0251,1,6,N0179,0006,0,,,,0,,,,0,,,,4268
6690,2018-04-19,2:38:16 PM,sapl0272,1,6,N0179,0007,0,,,,0,,,,0,,,,4269
6691,2018-04-19,2:55:31 PM,sapl0272,1,6,N0179,0008,0,,,,0,,,,0,,,,4270
6694,2018-04-20,4:48:00 PM,Sapl0251,1,6,N0176,0011,0,,,,0,,,,0,,,,
6696,2018-04-20,4:57:21 PM,Sapl0251,1,6,N0175,0012,0,,,,0,,,,0,,,,
6697,2018-04-21,9:18:00 AM,Sapl0251,1,6,N0179,0013,0,,,,0,,,,0,,,,4273
6698,2018-04-21,9:33:42 AM,Sapl0251,1,6,N0179,0014,0,,,,0,,,,0,,,,4274
6699,2018-04-21,11:02:58 AM,Sapl0251,1,6,N0179,0015,0,,,,0,,,,0,,,,4275
6700,2018-04-21,11:41:00 AM,Sapl0251,1,6,N0176,0016,0,,,,0,,,,0,,,,
6701,2018-04-21,11:42:20 AM,Sapl0251,1,6,N0175,0017,0,,,,0,,,,0,,,,
6702,2018-04-21,4:46:58 PM,sapl0272,1,6,N0176,0018,0,,,,0,,,,0,,,,4276
6703,2018-04-23,9:38:54 AM,Sapl0251,1,6,N0179,0019,0,,,,0,,,,0,,,,4277
6704,2018-04-23,1:28:13 PM,Sapl0251,1,6,N0179,0020,0,,,,0,,,,0,,,,4278
6705,2018-04-23,1:37:20 PM,Sapl0251,1,6,N0175,0021,0,,,,0,,,,0,,,,4279
6706,2018-04-24,9:11:36 AM,Sapl0251,1,6,N0175,0022,0,,,,0,,,,0,,,,4280
6707,2018-04-24,9:18:50 AM,Sapl0251,1,6,N0175,0023,0,,,,0,,,,0,,,,4281
6708,2018-04-24,2:36:02 PM,Sapl0251,1,6,N0179,0024,0,,,,0,,,,0,,,,4282
6710,2018-04-26,11:24:40 AM,Sapl0251,1,6,N0176,0025,0,,,,0,,,,0,,,,4284
6711,2018-04-26,11:36:44 AM,Sapl0251,1,6,N0176,0026,0,,,,0,,,,0,,,,4285
6712,2018-04-26,12:08:41 PM,Sapl0251,1,6,N0175,0027,0,,,,0,,,,0,,,,4286
6713,2018-04-26,1:46:12 PM,Sapl0251,1,6,N0176,0028,0,,,,0,,,,0,,,,4287
6714,2018-04-26,2:09:40 PM,Sapl0251,1,6,N0175,0029,0,,,,0,,,,0,,,,4288
6715,2018-04-26,2:34:08 PM,Sapl0251,1,6,N0175,0030,0,,,,0,,,,0,,,,4289
6716,2018-04-26,3:47:10 PM,Sapl0251,1,6,N0175,0031,0,,,,0,,,,0,,,,4290
6717,2018-04-26,4:07:42 PM,Sapl0251,1,6,N0175,0032,0,,,,0,,,,0,,,,4291
6718,2018-04-27,11:06:21 AM,Sapl0251,1,6,N0175,0033,0,,,,0,,,,0,,,,4292
6719,2018-04-27,11:26:42 AM,Sapl0251,1,6,N0175,0034,0,,,,0,,,,0,,,,4293
6720,2018-04-30,10:40:44 AM,Sapl0251,1,6,N0175,0035,0,,,,0,,,,0,,,,4294
6721,2018-04-30,10:49:40 AM,Sapl0251,1,6,N0175,0036,0,,,,0,,,,0,,,,4295
6722,2018-04-30,11:13:59 AM,Sapl0251,1,6,N0175,0037,0,,,,0,,,,0,,,,4296
6723,2018-04-30,11:30:31 AM,Sapl0251,1,6,N0175,0038,0,,,,0,,,,0,,,,4297
6724,2018-05-02,10:44:40 AM,Sapl0251,1,6,N0175,0039,0,,,,0,,,,0,,,,4298
6725,2018-05-02,10:50:20 AM,Sapl0251,1,6,N0176,0040,0,,,,0,,,,0,,,,4299
6726,2018-05-02,1:41:58 PM,sapl0245,1,6,N0179,0041,0,,,,0,,,,0,,,,4300
6727,2018-05-02,3:05:24 PM,sapl0245,1,6,N0179,0042,0,,,,0,,,,0,,,,4301
6728,2018-05-03,9:03:57 AM,Sapl0251,1,6,N0176,0043,0,,,,0,,,,0,,,,
6729,2018-05-03,9:46:00 AM,Sapl0251,1,6,N0175,0044,0,,,,0,,,,0,,,,4302
6730,2018-05-03,12:15:48 PM,Sapl0251,1,6,N0175,0045,0,,,,0,,,,0,,,,
6731,2018-05-03,2:00:49 PM,Sapl0251,1,6,N0175,0046,0,,,,0,,,,0,,,,4303
6732,2018-05-03,2:12:08 PM,Sapl0251,1,6,N0175,0047,0,,,,0,,,,0,,,,4304
6733,2018-05-03,2:29:07 PM,Sapl0251,1,6,N0175,0048,0,,,,0,,,,0,,,,4305
6734,2018-05-03,4:38:45 PM,Sapl0251,1,6,N0175,0049,0,,,,0,,,,0,,,,4306
6735,2018-05-03,4:46:31 PM,Sapl0251,1,6,N0176,0050,0,,,,0,,,,0,,,,4307
6736,2018-05-04,11:07:16 AM,Sapl0251,1,6,N0175,0051,0,,,,0,,,,0,,,,4308
6737,2018-05-04,2:05:24 PM,Sapl0251,1,6,N0175,0052,0,,,,0,,,,0,,,,4309
6738,2018-05-04,2:15:49 PM,Sapl0251,1,6,N0176,0053,0,,,,0,,,,0,,,,4310
6739,2018-05-04,3:55:17 PM,Sapl0251,1,6,N0176,0054,0,,,,0,,,,0,,,,4311
6740,2018-05-04,4:26:07 PM,Sapl0251,1,6,N0176,0055,0,,,,0,,,,0,,,,4312
6741,2018-05-05,9:22:28 AM,Sapl0251,1,6,N0176,0056,0,,,,0,,,,0,,,,
6742,2018-05-05,9:39:05 AM,Sapl0251,1,6,N0179,0057,0,,,,0,,,,0,,,,4313
6743,2018-05-05,10:25:12 AM,Sapl0251,1,6,N0179,0058,0,,,,0,,,,0,,,,4314
6744,2018-05-05,10:30:19 AM,Sapl0251,1,6,N0179,0059,0,,,,0,,,,0,,,,4315
6745,2018-05-05,1:28:05 PM,Sapl0251,1,6,N0176,0060,0,,,,0,,,,0,,,,
6746,2018-05-05,1:30:07 PM,Sapl0251,1,6,N0176,0061,0,,,,0,,,,0,,,,
6747,2018-05-05,2:34:30 PM,Sapl0251,1,6,N0179,0062,0,,,,0,,,,0,,,,4316
6748,2018-05-05,2:38:16 PM,Sapl0251,1,6,N0175,0063,0,,,,0,,,,0,,,,4317
6749,2018-05-05,2:42:33 PM,Sapl0251,1,6,N0176,0064,0,,,,0,,,,0,,,,4318
6750,2018-05-05,2:44:39 PM,Sapl0251,1,6,N0179,0065,0,,,,0,,,,0,,,,4319
6751,2018-05-07,9:19:45 AM,Sapl0251,1,6,N0179,0066,0,,,,0,,,,0,,,,4320
6752,2018-05-07,9:24:14 AM,Sapl0251,1,6,N0176,0067,0,,,,0,,,,0,,,,4321
6753,2018-05-07,9:27:29 AM,Sapl0251,1,6,N0175,0068,0,,,,0,,,,0,,,,4322
6754,2018-05-07,12:04:49 PM,Sapl0251,1,6,N0175,0069,0,,,,0,,,,0,,,,4323
6755,2018-05-07,2:21:07 PM,Sapl0272,1,6,N0179,0070,0,,,,0,,,,0,,,,4324
6756,2018-05-07,2:25:50 PM,Sapl0272,1,6,N0179,0071,0,,,,0,,,,0,,,,4325
6757,2018-05-08,9:04:22 AM,Sapl0251,1,6,N0176,0072,0,,,,0,,,,0,,,,
6758,2018-05-08,10:23:14 AM,Sapl0251,1,6,N0179,0073,0,,,,0,,,,0,,,,4326
6759,2018-05-08,10:38:05 AM,Sapl0251,1,6,N0179,0074,0,,,,0,,,,0,,,,4327
6760,2018-05-08,10:56:54 AM,Sapl0251,1,6,N0176,0075,0,,,,0,,,,0,,,,4328
6761,2018-05-08,10:57:48 AM,Sapl0251,1,6,N0175,0076,0,,,,0,,,,0,,,,4329
6762,2018-05-08,2:11:06 PM,sapl0219,1,6,T0031,0077,0,,,,0,,,,0,,,,
6763,2018-05-09,9:59:35 AM,Sapl0251,1,6,N0175,0078,0,,,,0,,,,0,,,,
6764,2018-05-09,10:30:53 AM,Sapl0251,1,6,N0176,0079,0,,,,0,,,,0,,,,4330
6765,2018-05-09,2:10:51 PM,sapl0272,1,6,N0175,0080,0,,,,0,,,,0,,,,4331
6766,2018-05-11,9:44:28 AM,Sapl0251,1,6,N0175,0081,0,,,,0,,,,0,,,,
6767,2018-05-11,10:31:41 AM,sapl0272,1,6,N0175,0082,0,,,,0,,,,0,,,,4332
6768,2018-05-11,4:28:41 PM,Sapl0251,1,6,N0176,0083,0,,,,0,,,,0,,,,
6769,2018-05-14,11:43:59 AM,Sapl0251,1,6,N0176,0084,0,,,,0,,,,0,,,,4333
6770,2018-05-14,4:00:16 PM,Sapl0251,1,6,N0176,0085,0,,,,0,,,,0,,,,4334
6771,2018-05-14,4:33:35 PM,Sapl0251,1,6,N0175,0086,0,,,,0,,,,0,,,,4335
6772,2018-05-15,9:00:21 AM,Sapl0251,1,6,N0175,0087,0,,,,0,,,,0,,,,4336
6773,2018-05-15,9:13:42 AM,Sapl0251,1,6,N0175,0088,0,,,,0,,,,0,,,,4337
