Id,SPRNo,Qty,Rate,Discount,SupplierId,AHId,WONo,DeptId,DelDate,Remarks,ItemId,MId
13357,0001,1.0,2500.0,0.0,P065,2,,11,2018-04-12,,60017,4097
13358,0002,10.0,170.0,15.0,B011,28,N0179,0,2018-04-14,,58439,4098
13359,0002,20.0,150.0,0.0,R002,28,N0179,0,2018-04-10,,8446,4098
13360,0002,5.0,0.08,0.0,S155,28,N0179,0,2018-04-07,,7214,4098
13361,0002,699.0,0.2,0.0,S155,28,N0179,0,2018-04-07,,7216,4098
13362,0002,130.0,0.25,0.0,S155,28,N0179,0,2018-04-07,,7217,4098
13363,0002,180.0,0.08,0.0,S155,28,N0179,0,2018-04-07,,7218,4098
13364,0002,149.0,0.15,0.0,S155,28,N0179,0,2018-04-07,,7259,4098
13365,0002,799.0,0.14,0.0,S155,28,N0179,0,2018-04-07,,7263,4098
13366,0002,216.0,0.25,0.0,S155,28,N0179,0,2018-04-07,,7268,4098
13367,0002,180.0,0.15,0.0,S155,28,N0179,0,2018-04-07,,7269,4098
13368,0002,6.0,0.1,0.0,S155,28,N0179,0,2018-04-07,,6318,4098
13369,0002,21.0,0.3,0.0,S155,28,N0179,0,2018-04-07,,55542,4098
13370,0002,80.0,4.0,0.0,S155,28,N0179,0,2018-04-07,,6992,4098
13371,0002,20.0,13.5,10.0,S155,28,N0179,0,2018-04-07,,7007,4098
13372,0002,346.0,0.5,0.0,S155,28,N0179,0,2018-04-07,,7020,4098
13373,0002,85.0,1.5,0.0,S155,28,N0179,0,2018-04-07,,7021,4098
13374,0002,10.0,11.35,0.0,S155,28,N0179,0,2018-04-07,,7023,4098
13375,0002,460.0,0.1,0.0,S155,28,N0179,0,2018-04-07,,7043,4098
13376,0003,100.0,0.45,0.0,S155,28,N0179,0,2018-04-07,,5523,4099
13377,0003,20.0,1.0,0.0,S155,28,N0179,0,2018-04-07,,5555,4099
13378,0003,56.0,2.0,0.0,S155,28,N0179,0,2018-04-07,,5598,4099
13379,0003,65.0,2.5,0.0,S155,28,N0179,0,2018-04-07,,5600,4099
13380,0003,46.0,0.5,0.0,S155,28,N0179,0,2018-04-07,,5647,4099
13381,0003,359.0,7.0,35.0,S155,28,N0179,0,2018-04-07,,5721,4099
13382,0003,50.0,0.3,0.0,S155,28,N0179,0,2018-04-07,,5722,4099
13383,0003,30.0,72.95,30.0,S155,28,N0179,0,2018-04-07,,7138,4099
13384,0003,32.0,40.0,0.0,S155,28,N0179,0,2018-04-07,,7500,4099
13385,0003,13.0,0.5,0.0,S155,28,N0179,0,2018-04-07,,7630,4099
13386,0003,2.0,3.79,45.0,S155,28,N0179,0,2018-04-07,,58952,4099
13387,0004,10.0,1.0,0.0,S155,28,N0179,0,2018-04-05,,5724,4100
13388,0004,38.0,0.3,0.0,S155,28,N0179,0,2018-04-05,,5722,4100
13389,0004,750.0,0.5,0.0,S155,28,N0179,0,2018-04-05,,5593,4100
13390,0004,300.0,0.9,0.0,S155,28,N0179,0,2018-04-05,,5552,4100
13391,0004,100.0,2.23,35.0,S155,28,N0179,0,2018-04-05,,7647,4100
13392,0004,30.0,0.15,0.0,S155,28,N0179,0,2018-04-05,,7259,4100
13393,0004,58.0,490.0,0.0,B023,28,N0179,0,2018-04-05,,58433,4100
13394,0004,1.0,2300.0,0.0,B023,28,N0179,0,2018-04-13,,59355,4100
13395,0004,1.2,2950.0,0.0,B023,28,N0179,0,2018-04-05,,59354,4100
13396,0004,27.0,32.0,20.0,S129,28,N0179,0,2018-04-04,,10470,4100
13397,0005,12.0,1356.0,0.0,X001,28,,5,2018-04-07,,60018,4101
13398,0006,1.0,4170.0,0.0,A058,11,N0175,0,2018-04-13,-,60019,4102
13399,0007,10.0,334.74,0.0,P003,33,,11,2018-04-17,,60021,4103
13400,0007,3.0,550.87,0.0,P003,33,,11,2018-04-17,,60022,4103
13401,0008,1.0,126.0,0.0,J021,28,N0179,0,2018-04-19,laser cutting bending,59409,4104
13402,0009,2.0,1.0,0.0,X001,28,,5,2018-04-19,,2226,4105
13403,0009,50.0,33.0,0.0,X001,28,,5,2018-04-19,,58812,4105
13404,0009,2.0,120.0,0.0,X001,28,,5,2018-04-19,,24410,4105
13405,0009,5.0,22.0,15.0,X001,28,,5,2018-04-19,,978,4105
13406,0009,50.0,25.0,0.0,X001,28,,5,2018-04-19,,1974,4105
