Id,ItemId,SupplierId,Qty,Rate,Discount,DelDate,DMid
6529,60016,S061,38.0,580.0,0.0,2018-04-14,24672
6530,59482,P060,2.0,240.0,0.0,2018-04-17,24673
6531,60025,S104,8.0,210.0,0.0,2018-04-24,24676
6532,60027,S104,8.0,190.0,0.0,2018-04-18,24678
6533,60029,S104,2.0,195.0,0.0,2018-04-18,24680
6534,60031,S104,4.0,220.0,0.0,2018-04-18,24682
6535,60033,S104,2.0,210.0,0.0,2018-04-18,24684
6536,60035,S104,2.0,180.0,0.0,2018-04-18,24686
6537,60037,S104,2.0,190.0,0.0,2018-04-18,24688
6538,60039,S158,2.0,625.0,0.0,2018-04-18,24690
6539,60041,S158,6.0,650.0,0.0,2018-04-18,24692
6540,60043,S158,2.0,700.0,0.0,2018-04-18,24694
6541,60045,S158,1.0,725.0,0.0,2018-04-18,24696
6542,60047,S158,1.0,650.0,0.0,2018-04-18,24698
6543,60049,S158,1.0,725.0,0.0,2018-04-18,24700
6545,60066,S104,4.0,220.0,0.0,2018-04-21,24753
6547,60096,E014,1.0,1277.0,0.0,2018-04-26,24802
6548,60098,E014,1.0,700.0,0.0,2018-04-26,24804
6549,60100,E014,1.0,700.0,0.0,2018-04-26,24806
6550,60102,E014,1.0,370.0,0.0,2018-04-26,24808
6551,60104,E014,2.0,400.0,0.0,2018-04-26,24810
6552,60106,E014,1.0,370.0,0.0,2018-04-26,24812
6553,60108,E014,1.0,810.0,0.0,2018-04-26,24814
6554,60110,E014,3.0,1098.0,0.0,2018-04-26,24816
6555,60112,E014,2.0,1098.0,0.0,2018-04-26,24818
6556,60116,S104,1.0,230.0,0.0,2018-04-26,24820
6557,60118,S104,1.0,280.0,0.0,2018-04-26,24822
6558,60120,S104,1.0,240.0,0.0,2018-04-26,24824
6559,60122,S104,1.0,260.0,0.0,2018-04-26,24826
6560,60124,S104,1.0,240.0,0.0,2018-04-26,24828
6561,60126,S104,1.0,240.0,0.0,2018-04-26,24830
6562,60128,S104,1.0,360.0,0.0,2018-04-26,24832
6563,60130,S104,2.0,360.0,0.0,2018-04-26,24834
6564,60132,S104,1.0,240.0,0.0,2018-04-26,24836
6565,60134,S104,1.0,230.0,0.0,2018-04-26,24838
6566,60136,S104,1.0,245.0,0.0,2018-04-26,24840
6567,60138,S104,1.0,235.0,0.0,2018-04-26,24842
6568,60140,S104,1.0,185.0,0.0,2018-04-26,24844
6570,60145,S104,2.0,140.0,0.0,2018-04-26,24859
6571,60147,S104,1.0,195.0,0.0,2018-04-26,24861
6572,60149,S104,1.0,255.0,0.0,2018-04-26,24863
6573,60151,S104,1.0,140.0,0.0,2018-04-26,24865
6574,60153,S104,1.0,190.0,0.0,2018-04-26,24867
6575,60155,S104,1.0,240.0,0.0,2018-04-26,24869
6576,60157,S104,1.0,165.0,0.0,2018-04-26,24871
6577,60159,R036,1.0,500.0,0.0,2018-04-26,24906
6578,60161,R036,1.0,575.0,0.0,2018-04-26,24908
6579,60163,R036,1.0,635.0,0.0,2018-04-26,24910
6580,60165,R036,1.0,535.0,0.0,2018-04-26,24912
6581,60167,R036,1.0,500.0,0.0,2018-04-26,24914
6582,60169,R036,1.0,600.0,0.0,2018-04-26,24916
6583,60171,R036,1.0,630.0,0.0,2018-04-26,24918
6584,60173,R036,1.0,580.0,0.0,2018-04-26,24920
6585,60181,G021,2.0,1.0,0.0,2018-04-30,24937
6586,60182,G021,1.0,1.0,0.0,2018-04-30,24938
6587,60183,G021,1.0,1.0,0.0,2018-04-30,24939
6588,60184,G021,1.0,1.0,0.0,2018-04-30,24940
6589,60185,G021,1.0,1.0,0.0,2018-04-30,24941
6590,60186,G021,1.0,1.0,0.0,2018-04-30,24942
6591,60187,G021,5.0,1.0,0.0,2018-04-30,24943
6592,60188,G021,1.0,1.0,0.0,2018-04-30,24944
6593,60189,G021,1.0,1.0,0.0,2018-04-30,24945
6594,60190,G021,1.0,1.0,0.0,2018-04-30,24946
6595,60191,G021,1.0,1.0,0.0,2018-04-30,24947
6596,60192,G021,1.0,1.0,0.0,2018-04-30,24948
6597,60193,G021,2.0,1.0,0.0,2018-04-30,24949
6598,60194,G021,2.0,1.0,0.0,2018-04-30,24950
6599,60195,G021,5.0,1.0,0.0,2018-04-30,24951
6600,60196,G021,2.0,1.0,0.0,2018-04-30,24952
6601,60199,G021,2.0,1.0,0.0,2018-04-30,24954
6602,60201,S061,1.0,1.0,0.0,2018-04-30,24956
6603,60203,S061,3.0,1.0,0.0,2018-04-30,24958
6604,60205,S061,1.0,1.0,0.0,2018-04-30,24960
6605,60207,S061,1.0,1.0,0.0,2018-04-30,24962
6606,60209,S061,1.0,1.0,0.0,2018-04-30,24964
6607,60211,S061,1.0,1.0,0.0,2018-04-30,24966
6608,60213,S061,1.0,1.0,0.0,2018-04-30,24968
6609,60215,S061,1.0,1.0,0.0,2018-04-30,24970
6610,60217,S061,1.0,1.0,0.0,2018-04-30,24972
6611,60219,S061,2.0,1.0,0.0,2018-04-30,24974
6612,60225,G021,1.0,1.0,0.0,2018-05-02,24975
6613,60226,G021,1.0,1.0,0.0,2018-05-02,24976
6614,60227,G021,1.0,1.0,0.0,2018-05-02,24977
6615,60228,G021,1.0,1.0,0.0,2018-05-02,24978
6616,60229,G021,1.0,1.0,0.0,2018-05-02,24979
6617,60230,G021,1.0,1.0,0.0,2018-05-02,24980
6618,60231,G021,2.0,1.0,0.0,2018-05-02,24981
6619,60232,G021,1.0,1.0,0.0,2018-05-02,24982
6620,60233,G021,1.0,1.0,0.0,2018-05-02,24983
6621,60234,G021,1.0,1.0,0.0,2018-05-02,24984
6622,60235,G021,2.0,1.0,0.0,2018-05-02,24985
6623,60236,G021,2.0,1.0,0.0,2018-05-02,24986
6624,60237,G021,1.0,1.0,0.0,2018-05-02,24987
6625,60238,G021,1.0,1.0,0.0,2018-05-02,24988
6626,60240,G021,2.0,1.0,0.0,2018-05-02,24990
6627,60244,R036,1.0,390.0,0.0,2018-05-03,24994
6628,60246,R036,1.0,250.0,0.0,2018-05-03,24996
6629,60248,R036,4.0,1.0,0.0,2018-05-03,24998
6630,60250,R036,2.0,290.0,0.0,2018-05-03,25000
6631,60252,R036,1.0,340.0,0.0,2018-05-03,25002
6632,60254,R036,1.0,290.0,0.0,2018-05-03,25004
