Id,ItemId,SupplierId,Qty,Rate,Discount,DelDate,DMid
5842,60015,S098,38.0,80.0,0.0,2018-04-14,24671
5843,60020,S098,6.0,50.0,0.0,2018-04-17,24674
5844,60024,S098,8.0,50.0,0.0,2018-04-18,24675
5845,60026,S098,8.0,50.0,0.0,2018-04-18,24677
5846,60028,S098,2.0,50.0,0.0,2018-04-18,24679
5847,60030,S098,4.0,70.0,0.0,2018-04-18,24681
5848,60032,S098,2.0,60.0,0.0,2018-04-18,24683
5849,60034,S098,2.0,60.0,0.0,2018-04-18,24685
5850,60036,S098,2.0,60.0,0.0,2018-04-18,24687
5851,60038,S098,2.0,200.0,0.0,2018-04-18,24689
5852,60040,S098,6.0,200.0,0.0,2018-04-18,24691
5853,60042,S098,2.0,200.0,0.0,2018-04-18,24693
5854,60044,S098,1.0,200.0,0.0,2018-04-18,24695
5855,60046,S098,1.0,200.0,0.0,2018-04-18,24697
5856,60048,S098,1.0,200.0,0.0,2018-04-18,24699
5858,60057,S098,28.0,100.0,0.0,2018-04-21,24731
5859,60058,S098,5.0,390.0,0.0,2018-04-21,24732
5860,60065,S098,4.0,50.0,0.0,2018-04-21,24752
5861,60070,S098,2.0,90.0,0.0,2018-04-24,24768
5862,60071,S098,1.0,30.0,0.0,2018-04-24,24769
5863,60072,S098,1.0,40.0,0.0,2018-04-24,24770
5864,60073,S098,1.0,100.0,0.0,2018-04-24,24771
5865,60074,S098,2.0,45.0,0.0,2018-04-24,24772
5866,60075,S098,5.0,60.0,0.0,2018-04-24,24773
5867,60076,S098,1.0,60.0,0.0,2018-04-24,24774
5868,60077,S098,2.0,60.0,0.0,2018-04-24,24775
5869,60078,S098,2.0,55.0,0.0,2018-04-24,24776
5870,60079,S098,2.0,50.0,0.0,2018-04-24,24777
5871,60080,S098,1.0,150.0,0.0,2018-04-24,24778
5872,60081,S098,1.0,30.0,0.0,2018-04-24,24779
5873,60082,S098,1.0,55.0,0.0,2018-04-24,24780
5874,60083,S098,5.0,80.0,0.0,2018-04-24,24781
5875,60084,S098,1.0,50.0,0.0,2018-04-24,24782
5876,60085,S098,1.0,45.0,0.0,2018-04-24,24783
5877,60086,S098,1.0,50.0,0.0,2018-04-24,24784
5878,60087,S098,1.0,50.0,0.0,2018-04-24,24785
5879,60088,S098,2.0,120.0,0.0,2018-04-24,24786
5880,60089,S098,2.0,80.0,0.0,2018-04-24,24787
5881,60090,S098,1.0,120.0,0.0,2018-04-24,24788
5882,60091,S098,1.0,120.0,0.0,2018-04-24,24789
