Id,SysDate,SysTime,CompId,FinYearId,SessionId,OnSiteDate,EmpId,Shift,Status,Onsite,FromTime,ToTime,UpSysDate,UpSysTime,UpSessionId
4,2013-06-05,10:08:21 AM,1,1,sapl0018,2013-06-01,Sapl0037,0,0,on site piaggio -work order discussion.,08:45:00 AM,09:00:00 PM,2013-06-05,10:12:16 AM,sapl0018
5,2013-06-05,10:08:21 AM,1,1,sapl0018,2013-06-01,Sapl0018,0,0,on site piaggio -work order discussion.,08:45:00 AM,08:30:00 PM,2013-06-05,10:12:30 AM,sapl0018
6,2013-06-08,2:10:24 PM,1,1,sapl0018,2013-06-06,Sapl0135,0,0,pvpl-For manul unit installation work,07:30:00 AM,07:30:00 PM,2013-06-08,2:12:29 PM,sapl0018
7,2013-06-08,2:10:24 PM,1,1,sapl0018,2013-06-06,Sapl0037,0,0,pvpl-For manul unit installation work,07:30:00 AM,07:30:00 PM,2013-06-08,2:12:16 PM,sapl0018
8,2013-06-08,2:13:24 PM,1,1,sapl0018,2013-06-07,Sapl0135,0,0,pvpl-For manul unit installation work,07:30:00 AM,06:30:00 PM,2013-06-08,2:13:44 PM,sapl0018
9,2013-06-08,2:13:24 PM,1,1,sapl0018,2013-06-07,Sapl0037,0,0,pvpl-For manul unit installation work,07:30:00 AM,06:30:00 PM,2013-06-08,2:13:51 PM,sapl0018
10,2013-06-11,10:07:02 AM,1,1,sapl0019,2013-06-01,Sapl0020,0,0,tata motors ukd,08:30:00 AM,06:00:00 PM,2013-06-15,10:27:15 AM,sapl0019
11,2013-06-13,5:01:07 PM,1,1,sapl0018,2013-06-11,Sapl0037,0,0,On sit TML-Tackle Trial-Air hoist installation.,08:30:00 AM,07:30:00 PM,2013-06-13,5:01:39 PM,sapl0018
12,2013-06-13,5:03:59 PM,1,1,sapl0018,2013-06-12,Sapl0037,0,0,On site TML-Tackle trial done.,08:00:00 AM,01:30:00 PM,2013-06-13,5:04:19 PM,sapl0018
13,2013-06-13,5:07:24 PM,1,1,sapl0018,2013-06-11,Sapl0088,0,0,ONS SITE TML,08:30:00 AM,07:30:00 PM,2013-06-13,5:07:40 PM,sapl0018
14,2013-06-13,5:08:12 PM,1,1,sapl0018,2013-06-12,Sapl0088,0,0,ON SITE TML,08:00:00 AM,01:30:00 PM,2013-06-13,5:08:29 PM,sapl0018
15,2013-06-15,10:23:34 AM,1,1,sapl0019,2013-06-01,Sapl0098,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:30:00 PM,2013-07-24,12:20:33 PM,sapl0019
16,2013-06-15,10:23:34 AM,1,1,sapl0019,2013-06-01,Sapl0021,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:27:49 AM,sapl0019
17,2013-06-15,10:30:42 AM,1,1,sapl0019,2013-06-03,Sapl0098,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:40:43 AM,sapl0019
18,2013-06-15,10:30:42 AM,1,1,sapl0019,2013-06-03,Sapl0021,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:40:55 AM,sapl0019
19,2013-06-15,10:30:42 AM,1,1,sapl0019,2013-06-03,Sapl0020,0,0,on site pananagar for tata motors.,08:30:00 AM,06:00:00 PM,2013-06-15,10:41:09 AM,sapl0019
20,2013-06-15,10:31:52 AM,1,1,sapl0019,2013-06-04,Sapl0098,0,0,on site pantanagar for auto line project.,09:00:00 AM,06:00:00 PM,2013-06-15,10:41:34 AM,sapl0019
21,2013-06-15,10:31:52 AM,1,1,sapl0019,2013-06-04,Sapl0021,0,0,on site pantanagar for auto line project.,09:00:00 AM,06:00:00 PM,2013-06-15,10:41:45 AM,sapl0019
22,2013-06-15,10:31:52 AM,1,1,sapl0019,2013-06-04,Sapl0020,0,0,on site pantanagar for auto line project.,09:00:00 AM,06:00:00 PM,2013-06-15,10:41:55 AM,sapl0019
23,2013-06-15,10:33:16 AM,1,1,sapl0019,2013-06-05,Sapl0098,0,0,on site pantanagar for auto line project.,08:30:00 AM,05:30:00 PM,2013-06-15,10:42:16 AM,sapl0019
24,2013-06-15,10:33:16 AM,1,1,sapl0019,2013-06-05,Sapl0021,0,0,on site pantanagar for auto line project.,08:30:00 AM,05:30:00 PM,2013-06-15,10:42:28 AM,sapl0019
25,2013-06-15,10:33:16 AM,1,1,sapl0019,2013-06-05,Sapl0020,0,0,on site pantanagar for tata motrs project.,08:30:00 AM,05:30:00 PM,2013-06-15,10:42:39 AM,sapl0019
26,2013-06-15,10:34:29 AM,1,1,sapl0019,2013-06-06,Sapl0098,0,0,on site pantanagar for auto line project.,08:30:00 AM,05:30:00 PM,2013-06-15,10:43:07 AM,sapl0019
27,2013-06-15,10:34:29 AM,1,1,sapl0019,2013-06-06,Sapl0021,0,0,on site pantanagar for auto line project.,08:30:00 AM,05:30:00 PM,2013-06-15,10:43:17 AM,sapl0019
28,2013-06-15,10:34:29 AM,1,1,sapl0019,2013-06-06,Sapl0020,0,0,on site pantanagar for tata motors project.,08:30:00 AM,05:30:00 PM,2013-06-15,10:43:33 AM,sapl0019
29,2013-06-15,10:35:42 AM,1,1,sapl0019,2013-06-07,Sapl0098,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:43:56 AM,sapl0019
30,2013-06-15,10:35:42 AM,1,1,sapl0019,2013-06-07,Sapl0021,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:44:07 AM,sapl0019
31,2013-06-15,10:35:42 AM,1,1,sapl0019,2013-06-07,Sapl0020,0,0,on site pantanagar for tata motors project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:44:19 AM,sapl0019
32,2013-06-15,10:36:54 AM,1,1,sapl0019,2013-06-08,Sapl0098,0,0,on site pantanagar for auto line project.,09:00:00 AM,06:00:00 PM,2013-06-15,10:45:51 AM,sapl0019
33,2013-06-15,10:36:54 AM,1,1,sapl0019,2013-06-08,Sapl0021,0,0,on site pantanagar for auto line project.,09:00:00 AM,06:00:00 PM,2013-06-15,10:46:05 AM,sapl0019
34,2013-06-15,10:36:54 AM,1,1,sapl0019,2013-06-08,Sapl0020,0,0,on site pantanagar for tata motors project.,09:00:00 AM,06:00:00 PM,2013-06-15,10:46:54 AM,sapl0019
35,2013-06-15,10:37:57 AM,1,1,sapl0019,2013-06-10,Sapl0098,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:48:27 AM,sapl0019
36,2013-06-15,10:37:57 AM,1,1,sapl0019,2013-06-10,Sapl0021,0,0,on site pantanagar for auto line project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:48:37 AM,sapl0019
37,2013-06-15,10:37:57 AM,1,1,sapl0019,2013-06-10,Sapl0020,0,0,on site pantanagar for tata motors project.,08:30:00 AM,06:00:00 PM,2013-06-15,10:48:47 AM,sapl0019
