Id,MId,MailTo,Message,FileName,FileSize,ContentType,FileData,Remarks
19,10,,,CARGO LOAD BODY PROCESS STUDY FINAL.xls,17279488.0,application/vnd.ms-excel,,
20,10,,,P601 CARGO BODY WELD LINE LAYOUT.dwg,862621.0,application/octet-stream,,
21,10,,,P601 CARGO BODY WELDLINE CONCEPTUEL DESIGN 07.07.13.rar,46053576.0,application/octet-stream,,
22,10,,,"Point Discussed during first kick off meeting on June 26-27, 2013.rar",6440131.0,application/octet-stream,,
39,27,shweta@sapl.com,-,AMTEK XUV CCB DATA 17-08-2013.rar,10513181.0,application/octet-stream,,CCB
40,28,shweta@sapl.com,-,0101BAW13960N_007.rar,82029901.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
41,29,shweta@sapl.com,-,0101BAW14220N_004.rar,28150460.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
42,30,shweta@sapl.com,-,0101BAW14850N_004.rar,44755178.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
43,31,shweta@sapl.com,-,0101BAW15020N_003.rar,786520.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
44,32,shweta@sapl.com,-,0102AAW03330N_013.rar,18089045.0,application/octet-stream,,	Welding Assembly & Checking Fixtures for W202
45,33,shweta@sapl.com,-,0102aaw03620n_009.rar,11311025.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
46,34,shweta@sapl.com,-,0101BAW02310N_015.CATPart,18634095.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
47,35,shweta@sapl.com,-,0101BAW04090N_015.CATPart,55946572.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
48,36,shweta@sapl.com,-,0101BAW04130N_005.CATPart,42163613.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
49,37,shweta@sapl.com,-,0101BAW04140N_005.CATPart,24977977.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
50,38,shweta@sapl.com,-,0101BAW05490N_004.CATPart,850028.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
51,39,shweta@sapl.com,-,0101BAW14500N_002.CATPart,26548105.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
52,40,shweta@sapl.com,-,0101BAW15140N_003.CATPart,2552340.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
53,41,shweta@sapl.com,-,0101BP1870N_002.CATPart,1295084.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
54,42,shweta@sapl.com,-,0101EAW03350N_008.CATPart,17039960.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
56,44,shweta@sapl.com,-,0101EAW05140N_001.CATPart,9237877.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
57,45,shweta@sapl.com,-,Catalog.CATMaterial,6972611.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
58,46,shweta@sapl.com,-,PMI1-0101BAW14820N_002.CATPart,12097415.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
62,50,shweta@sapl.com,-,PMI1-0101EAW05000N_003.CATPart,15041831.0,application/octet-stream,,Welding Assembly & Checking Fixtures for W202
66,54,shweta@sapl.com,-,SA 20 3D XML.rar,3847263.0,application/octet-stream,,Ladder Sub Assly P405 Cargo Load Body
70,58,joshi@synergytechs.com,-,PROJECT PLAN P 601_10_12_13.xls,119296.0,application/vnd.ms-excel,,-
75,63,,,291 21 000 200.000.STEP,19009339.0,application/octet-stream,,
76,64, 	narendra@synergytechs.com,aa,291 61 000 200.000.STEP,9317112.0,application/octet-stream,,aa
77,65,,,291 20 000 200.000.STEP,6112685.0,application/octet-stream,,
78,66,,,291 61 101_106 304.000.SLDDRW,2854912.0,application/octet-stream,,
79,67, 	narendra@synergytechs.com,aa,2 D CF                                                                                                                                               .exe,378368.0,application/octet-stream,,aa
80,68,,,291 61 000 200.000.PDF,1774582.0,application/pdf,,
81,69,,,Code of Conduct.pdf,184389.0,application/pdf,,
84,72,dhanajay@synergytechs.com,Project Milestone,Copy of MILE STONE M&M.xls,73216.0,application/vnd.ms-excel,,Project Milestone
89,77,sunil.samay@sgs.com,Revised Mechanical Spares List equipment wise,Mechanical Spares List_SGS.xlsx,15525.0,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,
