Id,SysDate,SysTime,SessionId,CompId,FinYearId,EmpId,Date,WONo,Dept,Types,AmendmentNo
26,2022-02-08,9:20:07 AM,sapl0001,1,9,Sapl0070,2022-02-08,S0201,0,1,0
28,2022-03-26,12:06:58 PM,SAPL0001,1,9,Sapl0018,2022-03-26,S0202,0,1,0
31,2022-03-29,9:41:18 AM,sapl0054,1,9,Sapl0049,2022-03-29,S0203,0,1,0
32,2022-03-29,10:12:15 AM,sapl0054,1,9,Sapl0049,2022-03-29,s0203,0,1,0
33,2022-03-29,10:15:07 AM,sapl0054,1,9,Sapl0049,2022-03-29,s0203,0,1,0
34,2022-03-29,10:15:42 AM,sapl0054,1,9,Sapl0049,2022-03-29,s0203,0,1,0
36,2022-03-29,11:22:13 AM,sapl0054,1,9,Sapl0098,2022-03-29,s0204,0,1,0
37,2022-03-29,11:23:20 AM,sapl0054,1,9,Sapl0100,2022-03-29,s0204,0,1,0
38,2022-03-29,11:24:13 AM,sapl0054,1,9,Sapl0105,2022-03-29,s0204,0,1,0
39,2022-03-30,10:10:20 AM,sapl0054,1,9,Sapl0098,2022-03-30,S0204,0,1,0
40,2022-03-30,10:11:24 AM,sapl0054,1,9,Sapl0100,2022-03-30,s0204,0,1,0
41,2022-03-30,10:21:27 AM,sapl0054,1,9,Sapl0047,2022-03-30,S0203,0,1,0
42,2022-03-30,10:22:39 AM,sapl0054,1,9,Sapl0047,2022-03-30,S0203,0,1,0
43,2022-08-26,1:44:17 PM,sapl0001,1,10,Sapl0070,2022-08-26,N0260,0,1,0
44,2022-08-26,2:20:15 PM,sapl0054,1,10,Sapl0049,2022-08-26,N0260,0,1,0
45,2022-08-26,2:32:08 PM,sapl0054,1,10,Sapl0098,2022-08-26,T0042,0,1,0
46,2022-08-28,9:29:55 AM,sapl0054,1,10,Sapl0098,2022-08-28,N0260,0,1,0
47,2022-08-28,9:31:15 AM,sapl0054,1,10,Sapl0100,2022-08-28,N0260,0,1,0
48,2022-08-29,8:50:54 AM,sapl0054,1,10,Sapl0047,2022-08-29,n0260,0,1,0
49,2022-08-29,8:52:53 AM,sapl0054,1,10,Sapl0049,2022-08-29,N0260,0,1,0
50,2022-08-29,8:54:34 AM,sapl0054,1,10,Sapl0098,2022-08-29,N0260,0,1,0
51,2022-08-29,8:56:06 AM,sapl0054,1,10,Sapl0100,2022-08-29,N0260,0,1,0
52,2022-09-05,9:29:02 AM,sapl0054,1,10,Sapl0047,2022-09-05,n0260,0,1,0
