Id,EquipId,Category,SubCategory,PlannedDesc,ActualDesc,Hour,MId
24,86759,2,1,TEST,TEST,5.0,26
26,87306,2,2,Y,Y,10.0,28
35,14066,2,2,cross trolley assembly,,2.0,31
36,14068,2,2,load trolleu assembly,,1.0,31
37,14067,2,2,,,2.0,31
38,14069,2,2,,,1.0,31
39,14070,2,2,,,1.0,31
40,14071,2,2,,,1.0,31
41,14072,2,2,,,1.0,31
42,14066,2,2,,,2.0,32
43,14068,2,2,,,2.0,32
44,14067,2,2,,,1.0,32
45,14069,2,2,,,1.0,32
46,14070,2,2,,,1.0,32
47,14071,2,2,,,1.0,32
48,14072,2,2,,,1.0,32
49,14074,2,2,,,1.0,32
50,14066,2,2,Assly of Cross Trolley C-63,,2.0,33
51,14068,2,2,Assly of Load Trolley C-63,,2.0,33
52,14067,2,2, 	Assly Cross Rail Support,,1.0,33
53,14069,2,2,Assly of Channel Suppor,,1.0,33
54,14070,2,2,Assly of Joint Coupler,,1.0,33
55,14071,2,2,Assly of Tool Trolley,,1.0,33
56,14072,2,2,Assly Beam Support,,1.0,33
57,14074,2,2,Cable Support Assembly,,1.0,33
58,14066,2,2,Assly of Cross Trolley C-63,-,2.0,34
59,14068,2,2,Assly of Load Trolley C-63,-,2.0,34
60,14067,2,2, 	Assly Cross Rail Support,-,1.0,34
61,14069,2,2,Assly of Channel Suppor,-,1.0,34
62,14070,2,2,Assly of Joint Coupler,-,1.0,34
63,14071,2,2,Assly of Tool Trolley,-,1.0,34
64,14072,2,2,Assly Beam Support,-,1.0,34
65,14074,2,2,Cable Support Assembly,-,1.0,34
76,87260,2,2,NEW TAIL GATE OUTER LOWER _5JN827106 assembly,,10.0,36
77,87260,2,2,NEW TAIL GATE OUTER LOWER _5JN827106 assembly,,10.0,37
78,87260,2,2,NEW TAIL GATE OUTER LOWER _5JN827106 assembly,,10.0,38
79,87260,2,2,NEW TAIL GATE OUTER LOWER _5JN827106,,10.0,39
80,87260,2,2, 	NEW TAIL GATE OUTER LOWER _5JN827106,,10.0,40
81,14068,2,2,Assly of Load Trolley C-63,,2.5,41
82,14067,2,2,Assly Cross Rail Support,,2.5,41
83,14069,2,2,Assly of Channel Support,,2.5,41
84,14070,2,2, 	Assly of Joint Coupler,,2.5,41
85,14067,2,2,Assly Cross Rail Support,,2.5,42
86,14069,2,2,Assly of Channel Support,,2.5,42
87,14070,2,2, 	Assly of Joint Coupler,,2.5,42
88,14071,2,2,Assly of Tool Trolley,,2.5,42
89,88872,2,1,A,A,20.0,43
90,88887,2,2,,,8.0,44
91,89939,2,2,,,10.0,45
92,88873,2,2,,,8.0,46
93,88873,2,2,,,8.0,47
94,88879,2,2,,,8.0,48
95,88879,2,2,,,8.0,49
96,88875,2,2,,,10.0,50
97,88874,2,2,,,10.0,51
98,88876,2,2,,,8.0,52
99,88876,2,2,,,8.0,53
100,88874,2,2,,,10.0,54
101,88875,2,2,,,10.0,55
102,89948,2,2,,,10.0,56
103,89939,2,2,,,10.0,57
104,88878,2,2,,,1.0,58
105,88883,2,2,4 nos,,8.0,59
106,88874,2,2,,,10.0,60
107,88884,2,2,,,10.0,61
108,88883,2,2,,,10.0,62
109,88884,2,2,,,10.0,63
110,88878,2,2,,,10.0,64
111,88878,2,2,,,10.0,65
112,88883,2,2,,,10.0,66
113,88878,2,2,,,10.0,67
114,89258,2,2,,,10.0,68
115,88876,2,2,,,8.0,69
116,88881,2,2,,,8.0,70
117,88881,2,2,,,10.0,71
118,89948,2,2,,,10.0,72
119,88884,2,2,,,8.0,73
120,88884,2,2,,,8.0,74
121,88885,2,2,,,10.0,75
122,88885,2,2,,,10.0,76
123,88877,2,2,,,8.0,77
124,88877,2,2,,,8.0,78
125,88878,2,2,,,10.0,79
126,89939,2,2,,,10.0,80
127,88886,2,2,,,4.0,81
128,88888,2,2,,,4.0,81
129,88888,2,2,,,8.0,82
130,89258,2,2,,,8.0,83
131,89948,2,2,,,10.0,84
132,89939,2,2,,,10.0,85
133,90789,2,2,chain ,-,9.0,86
134,90789,2,2,roller assembly,,9.0,87
135,90789,2,2,roller assembly,,9.0,88
136,90789,2,2,roller assembly,,9.0,89
137,90789,2,2,roller assembly,,9.0,90
138,90789,2,2,roller assembly,,9.0,91
139,90789,2,2,roller assembly,,9.0,92
