Id,Activities
1,Training
2,Installation
3,Site Readyness
4, 	Dispatch
5,Documentation
6, 	Packing
7, 	Finishing
8,Inspection/ Certification
9,Try-outs at SAPL by SAPL
10,Electrical interfacing  
11,Mechanical Assembly
12,Manufacturing
13,Bought out Purchasing
14,Design Output
15,Payment against DAP
16,DAP( Design Approval)
17,PO from Customer
18,Concept Design
19, 	LOI & advance from Customer
20, 	Estimate with commercial terms
21,Proposal of Scheme Options
23,Take Inputs data from Customer
24,Study of Customers Requirements
