Id,PRJCTNO,ItemCode,Description,UOM,BOMQ,Design,VendorPlanDate,VendorAct,WONo,VendorPlan,AssemlyDate,Remark,AssemlyNo
1,11,E100-181-015,"Type:-Gas Spring ,Type of Gas Spring:-Mounting Direction Fixed Type ,Stroke:-100MM, Min Length:-181 ,Cylinder Dia(Ø):-15, Part number:- GS142",NOS,2.0,13-03-2021,13-03-2021,14-03-2021,J0142,8,15-03-2021,,2
2,3,B032-000-010,TAPER ROLLER BEARING 32010 X - 50X80X20 - SKF,NOS,2.0,23-02-2021,05-03-2021,02-03-2021,J0139,3,08-03-2021,,3
3,3,H045-022-200,CHEMICAL ANCHORE FASTNER -22X200,NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,NA,,3
4,3,H045-120-200,CHEMICAL ANCHORE FASTNER -20X200,NOS,5.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
5,3,H023-022-250,HEX NUT- IS 1364 - M22X2.5 - GRADE-10,NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
6,3,H023-024-300,HEX NUT- IS 1364 - M24X3 - GRADE-10,NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
7,3,H023-008-125,HEX NUT- IS 1364 - M8X1.25 - GRADE-8,NOS,115.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
8,3,H023-020-150,HEX NUT- IS 1364 - M20X1.5 - GRADE-10,NOS,5.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
9,3,H004-024-080,HEX BOLT - IS 1364 - GRADE 10.9 - M24X80,NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
10,3,H004-014-050,HEX BOLT - IS 1364 - GRADE 10.9 - M14X50,NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
11,3,H001-006-010,SOC HD SCREW - IS 2269 - GRADE 12.9 - M6X10,NOS,20.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
12,3,H001-008-040,SOC HD SCREW - IS 2269 - GRADE 12.9 - M8X40,NOS,12.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
13,3,H001-010-020,SOC HD SCREW - IS 2269 - GRADE 12.9 - M10X20,NOS,16.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
14,3,H001-008-030,SOC HD SCREW - IS 2269 - GRADE 12.9 - M8X30,NOS,65.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
15,3,H001-008-016,SOC HD SCREW - IS 2269 - GRADE 12.9 - M8X16,NOS,55.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
16,3,H002-006-025,CSK ALLEN SCREW - IS 6761 - GRADE 12.9 -M6X25,NOS,6.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
17,3,H008-004-012,ALLEN GRUB SCREW - IS 6094 - M4X12,NOS,30.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
18,3,H006-020-030,"EYE BOLT MILD STEEL FORGED IS:4190 - M20X30L,EYE HOLE - 40MM SWL -570 KG",NOS,2.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
19,3,Z015-492-100,MAGNET 20X10 MM,NOS,14.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
20,3,C900-006-000,WIRE ROPE U CLAMPS WITH NUT FOR Ø6 WIRE ROPE,NOS,12.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
21,3,H061-010-050,Lock Washer MB10 - ID50 - SKF,NOS,1.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
22,3,H060-010-150,Lock Nut - KM 10 - M50 x 1.5 - SKF,NOS,2.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
23,3,K002-002-002,TURN BUCKLES,NOS,2.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,10-03-2021,,3
24,3,K004-005-005,HINGE,NOS,6.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
25,3,B008-210-000,"SQUARE FLANGE BEARING UCF 210 D1,NTN MAKE",NOS,2.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
26,3,B001-010-026,Ball Bearing - 6000 Zz - 10 x 26 x 8 - SKF,NOS,4.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
27,3,C900-000-006,WIRE ROPE - DIA 6,MTR,5.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
28,3,H042-002-022,PUNCHED WASHER TYPE A - M22,NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
29,3,H042-020-000,"PUNCHED WASHER TYPE A - M20 (OD=37, ID=22, T=3.15) - IS 2016 -1967",NOS,5.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
