Id,SysDate,SysTime,CompId,SessionId,FinYearId,PRJCTNO,WONo,GenDate,VendorPlan,VendorDate,AssemlyDate,AssemlyNo
1,,,,,,,,,1,,,1
2,2021-03-17,12:10:32 PM,1,sapl0326,8,11,J0142,17/03/2021,8,13/03/2021,17/03/2021,2
3,2021-03-17,12:16:35 PM,1,sapl0326,8,3,J0139,17/03/2021,3,04/03/2021,17/03/2021,3
4,2021-03-17,2:34:34 PM,1,sapl0326,8,13,J0141,17/03/2021,7,13/03/2021,17/03/2021,4
5,2021-03-23,3:58:14 PM,1,sapl0326,8,20,N0231,23/03/2021,19,22/03/2021,23/03/2021,5
6,2021-03-31,1:35:07 PM,1,sapl0326,8,17,N0235,31/03/2021,18,17/03/2021,31/03/2021,6
7,2021-03-31,1:36:31 PM,1,sapl0326,8,14,J0142,31/03/2021,6,13/03/2021,31/03/2021,7
8,2021-03-31,1:37:11 PM,1,sapl0326,8,7,N0231,31/03/2021,9,06/03/2021,31/03/2021,8
9,2021-03-31,1:37:38 PM,1,sapl0326,8,5,N0231,31/03/2021,11,04/03/2021,31/03/2021,9
10,2021-03-31,1:38:24 PM,1,sapl0326,8,13,J0141,31/03/2021,12,13/03/2021,31/03/2021,10
11,2021-03-31,1:44:10 PM,1,sapl0326,8,12,N0235,31/03/2021,15,13/03/2021,31/03/2021,11
12,2021-03-31,1:45:20 PM,1,sapl0326,8,20,N0231,31/03/2021,19,22/03/2021,31/03/2021,12
