Id,PRJCTNO,ItemCode,Description,UOM,BOMQ,Rdesign,Design,WONo,Remark,Vendor1,Vendor2
3,2,Z157-001-000,"Drill Bit-RL 10, Kennametal Part No. 1010785",NOS,48.0,1,05-02-2021,P0061,,,
4,3,B032-000-010,TAPER ROLLER BEARING 32010 X - 50X80X20 - SKF,NOS,2.0,1,23-02-2021,J0139,,,
5,3,H045-022-200,CHEMICAL ANCHORE FASTNER -22X200,NOS,10.0,1,03-03-2021,J0139,,,
6,3,H045-120-200,CHEMICAL ANCHORE FASTNER -20X200,NOS,5.0,1,03-03-2021,J0139,,,
7,3,H023-022-250,HEX NUT- IS 1364 - M22X2.5 - GRADE-10,NOS,10.0,1,03-03-2021,J0139,,,
8,3,H023-024-300,HEX NUT- IS 1364 - M24X3 - GRADE-10,NOS,10.0,1,03-03-2021,J0139,,,
9,3,H023-008-125,HEX NUT- IS 1364 - M8X1.25 - GRADE-8,NOS,115.0,1,03-03-2021,J0139,,,
10,3,H023-020-150,HEX NUT- IS 1364 - M20X1.5 - GRADE-10,NOS,5.0,1,03-03-2021,J0139,,,
11,3,H004-024-080,HEX BOLT - IS 1364 - GRADE 10.9 - M24X80,NOS,10.0,1,03-03-2021,J0139,,,
12,3,H004-014-050,HEX BOLT - IS 1364 - GRADE 10.9 - M14X50,NOS,10.0,1,03-03-2021,J0139,,,
13,3,H001-006-010,SOC HD SCREW - IS 2269 - GRADE 12.9 - M6X10,NOS,20.0,1,03-03-2021,J0139,,,
14,3,H001-008-040,SOC HD SCREW - IS 2269 - GRADE 12.9 - M8X40,NOS,12.0,1,03-03-2021,J0139,,,
15,3,H001-010-020,SOC HD SCREW - IS 2269 - GRADE 12.9 - M10X20,NOS,16.0,1,03-03-2021,J0139,,,
16,3,H001-008-030,SOC HD SCREW - IS 2269 - GRADE 12.9 - M8X30,NOS,65.0,1,03-03-2021,J0139,,,
17,3,H001-008-016,SOC HD SCREW - IS 2269 - GRADE 12.9 - M8X16,NOS,55.0,1,03-03-2021,J0139,,,
18,3,H002-006-025,CSK ALLEN SCREW - IS 6761 - GRADE 12.9 -M6X25,NOS,6.0,1,03-03-2021,J0139,,,
19,3,H008-004-012,ALLEN GRUB SCREW - IS 6094 - M4X12,NOS,30.0,1,03-03-2021,J0139,,,
20,3,H006-020-030,"EYE BOLT MILD STEEL FORGED IS:4190 - M20X30L,EYE HOLE - 40MM SWL -570 KG",NOS,2.0,1,03-03-2021,J0139,,,
21,3,Z015-492-100,MAGNET 20X10 MM,NOS,14.0,1,03-03-2021,J0139,,,
22,3,C900-006-000,WIRE ROPE U CLAMPS WITH NUT FOR Ø6 WIRE ROPE,NOS,12.0,1,03-03-2021,J0139,,,
23,3,H061-010-050,Lock Washer MB10 - ID50 - SKF,NOS,1.0,1,03-03-2021,J0139,,,
24,3,H060-010-150,Lock Nut - KM 10 - M50 x 1.5 - SKF,NOS,2.0,1,03-03-2021,J0139,,,
25,3,K007-007-007,PLASTIC HANDLES,NOS,4.0,1,03-03-2021,J0139,,,
26,3,K002-002-002,TURN BUCKLES,NOS,2.0,1,03-03-2021,J0139,,,
27,3,K004-005-005,HINGE,NOS,6.0,1,03-03-2021,J0139,,,
28,3,B008-210-000,"SQUARE FLANGE BEARING UCF 210 D1,NTN MAKE",NOS,2.0,1,03-03-2021,J0139,,,
29,3,B001-010-026,Ball Bearing - 6000 Zz - 10 x 26 x 8 - SKF,NOS,4.0,1,03-03-2021,J0139,,,
30,3,C900-000-006,WIRE ROPE - DIA 6,MTR,5.0,1,03-03-2021,J0139,,,
31,3,H042-002-022,PUNCHED WASHER TYPE A - M22,NOS,10.0,1,03-03-2021,J0139,,,
32,3,H042-020-000,"PUNCHED WASHER TYPE A - M20 (OD=37, ID=22, T=3.15) - IS 2016 -1967",NOS,5.0,1,03-03-2021,J0139,,,
33,3,H042-024-000,"PUNCHED WASHER TYPE A - M24 (OD=44, ID=26, T=4) - IS 2016 -1967",NOS,10.0,1,03-03-2021,J0139,,,
34,3,H042-014-000,"PUNCHED WASHER TYPE A - M14 (OD=28, ID=15.5, T=2.8) - IS 2016 -1967",NOS,10.0,1,03-03-2021,J0139,,,
35,3,H042-006-000,"PUNCHED WASHER TYPE A - M6 (OD=12.5, ID=6.6, T=1.6) - IS 2016 -1967",NOS,20.0,1,03-03-2021,J0139,,,
